,0
0,"2017-02-01,AHMEDABAD,15.0"
1,"2017-02-02,AHMEDABAD,15.0"
2,"2017-02-03,AHMEDABAD,15.0"
3,"2017-02-04,AHMEDABAD,15.0"
4,"2017-02-05,AHMEDABAD,0"
5,"2017-02-06,AHMEDABAD,15.0"
6,"2017-02-07,AHMEDABAD,15.0"
7,"2017-02-08,AHMEDABAD,15.0"
8,"2017-02-09,AHMEDABAD,15.0"
9,"2017-02-10,AHMEDABAD,12.0"
10,"2017-02-11,AHMEDABAD,0"
11,"2017-02-12,AHMEDABAD,0"
12,"2017-02-13,AHMEDABAD,20.0"
13,"2017-02-14,AHMEDABAD,15.0"
14,"2017-02-15,AHMEDABAD,15.0"
15,"2017-02-16,AHMEDABAD,18.0"
16,"2017-02-17,AHMEDABAD,18.0"
17,"2017-02-18,AHMEDABAD,20.0"
18,"2017-02-19,AHMEDABAD,0"
19,"2017-02-20,AHMEDABAD,15.0"
20,"2017-02-21,AHMEDABAD,20.0"
21,"2017-02-22,AHMEDABAD,20.0"
22,"2017-02-23,AHMEDABAD,18.0"
23,"2017-02-24,AHMEDABAD,20.0"
24,"2017-02-25,AHMEDABAD,0"
25,"2017-02-26,AHMEDABAD,0"
26,"2017-02-27,AHMEDABAD,20.0"
27,"2017-02-28,AHMEDABAD,20.0"
