,0
0,"2019-08-01,AHMEDABAD,40.0"
1,"2019-08-02,AHMEDABAD,40.0"
2,"2019-08-03,AHMEDABAD,40.0"
3,"2019-08-04,AHMEDABAD,0"
4,"2019-08-05,AHMEDABAD,30.0"
5,"2019-08-06,AHMEDABAD,50.0"
6,"2019-08-07,AHMEDABAD,40.0"
7,"2019-08-08,AHMEDABAD,40.0"
8,"2019-08-09,AHMEDABAD,40.0"
9,"2019-08-10,AHMEDABAD,40.0"
10,"2019-08-11,AHMEDABAD,0"
11,"2019-08-12,AHMEDABAD,0"
12,"2019-08-13,AHMEDABAD,40.0"
13,"2019-08-14,AHMEDABAD,50.0"
14,"2019-08-15,AHMEDABAD,0"
15,"2019-08-16,AHMEDABAD,50.0"
16,"2019-08-17,AHMEDABAD,0"
17,"2019-08-18,AHMEDABAD,0"
18,"2019-08-19,AHMEDABAD,50.0"
19,"2019-08-20,AHMEDABAD,50.0"
20,"2019-08-21,AHMEDABAD,50.0"
21,"2019-08-22,AHMEDABAD,50.0"
22,"2019-08-23,AHMEDABAD,50.0"
23,"2019-08-24,AHMEDABAD,0"
24,"2019-08-25,AHMEDABAD,0"
25,"2019-08-26,AHMEDABAD,50.0"
26,"2019-08-27,AHMEDABAD,50.0"
27,"2019-08-28,AHMEDABAD,50.0"
28,"2019-08-29,AHMEDABAD,50.0"
29,"2019-08-30,AHMEDABAD,40.0"
30,"2019-08-31,AHMEDABAD,0"
