,0
0,"2020-06-01,AHMEDABAD,50.0"
1,"2020-06-02,AHMEDABAD,50.0"
2,"2020-06-03,AHMEDABAD,0"
3,"2020-06-04,AHMEDABAD,40.0"
4,"2020-06-05,AHMEDABAD,50.0"
5,"2020-06-06,AHMEDABAD,0"
6,"2020-06-07,AHMEDABAD,0"
7,"2020-06-08,AHMEDABAD,50.0"
8,"2020-06-09,AHMEDABAD,40.0"
9,"2020-06-10,AHMEDABAD,40.0"
10,"2020-06-11,AHMEDABAD,40.0"
11,"2020-06-12,AHMEDABAD,40.0"
12,"2020-06-13,AHMEDABAD,0"
13,"2020-06-14,AHMEDABAD,0"
14,"2020-06-15,AHMEDABAD,40.0"
15,"2020-06-16,AHMEDABAD,40.0"
16,"2020-06-17,AHMEDABAD,40.0"
17,"2020-06-18,AHMEDABAD,40.0"
18,"2020-06-19,AHMEDABAD,40.0"
19,"2020-06-20,AHMEDABAD,40.0"
20,"2020-06-21,AHMEDABAD,0"
21,"2020-06-22,AHMEDABAD,30.0"
22,"2020-06-23,AHMEDABAD,0"
23,"2020-06-24,AHMEDABAD,0"
24,"2020-06-25,AHMEDABAD,0"
25,"2020-06-26,AHMEDABAD,0"
26,"2020-06-27,AHMEDABAD,0"
27,"2020-06-28,AHMEDABAD,0"
28,"2020-06-29,AHMEDABAD,0"
29,"2020-06-30,AHMEDABAD,0"
