,0
0,"2017-04-01,AMRITSAR,15.0"
1,"2017-04-02,AMRITSAR,20.0"
2,"2017-04-03,AMRITSAR,0"
3,"2017-04-04,AMRITSAR,0"
4,"2017-04-05,AMRITSAR,20.0"
5,"2017-04-06,AMRITSAR,20.0"
6,"2017-04-07,AMRITSAR,20.0"
7,"2017-04-08,AMRITSAR,25.0"
8,"2017-04-09,AMRITSAR,0"
9,"2017-04-10,AMRITSAR,20.0"
10,"2017-04-11,AMRITSAR,20.0"
11,"2017-04-12,AMRITSAR,20.0"
12,"2017-04-13,AMRITSAR,20.0"
13,"2017-04-14,AMRITSAR,0"
14,"2017-04-15,AMRITSAR,20.0"
15,"2017-04-16,AMRITSAR,0"
16,"2017-04-17,AMRITSAR,20.0"
17,"2017-04-18,AMRITSAR,20.0"
18,"2017-04-19,AMRITSAR,20.0"
19,"2017-04-20,AMRITSAR,20.0"
20,"2017-04-21,AMRITSAR,20.0"
21,"2017-04-22,AMRITSAR,30.0"
22,"2017-04-23,AMRITSAR,0"
23,"2017-04-24,AMRITSAR,20.0"
24,"2017-04-25,AMRITSAR,20.0"
25,"2017-04-26,AMRITSAR,20.0"
26,"2017-04-27,AMRITSAR,20.0"
27,"2017-04-28,AMRITSAR,30.0"
28,"2017-04-29,AMRITSAR,30.0"
29,"2017-04-30,AMRITSAR,0"
