,0
0,"2019-12-01,AMRITSAR,0"
1,"2019-12-02,AMRITSAR,20.0"
2,"2019-12-03,AMRITSAR,20.0"
3,"2019-12-04,AMRITSAR,20.0"
4,"2019-12-05,AMRITSAR,20.0"
5,"2019-12-06,AMRITSAR,25.0"
6,"2019-12-07,AMRITSAR,30.0"
7,"2019-12-08,AMRITSAR,0"
8,"2019-12-09,AMRITSAR,30.0"
9,"2019-12-10,AMRITSAR,30.0"
10,"2019-12-11,AMRITSAR,30.0"
11,"2019-12-12,AMRITSAR,30.0"
12,"2019-12-13,AMRITSAR,30.0"
13,"2019-12-14,AMRITSAR,30.0"
14,"2019-12-15,AMRITSAR,0"
15,"2019-12-16,AMRITSAR,30.0"
16,"2019-12-17,AMRITSAR,20.0"
17,"2019-12-18,AMRITSAR,20.0"
18,"2019-12-19,AMRITSAR,20.0"
19,"2019-12-20,AMRITSAR,20.0"
20,"2019-12-21,AMRITSAR,20.0"
21,"2019-12-22,AMRITSAR,0"
22,"2019-12-23,AMRITSAR,0"
23,"2019-12-24,AMRITSAR,0"
24,"2019-12-25,AMRITSAR,0"
25,"2019-12-26,AMRITSAR,20.0"
26,"2019-12-27,AMRITSAR,20.0"
27,"2019-12-28,AMRITSAR,20.0"
28,"2019-12-29,AMRITSAR,0"
29,"2019-12-30,AMRITSAR,30.0"
30,"2019-12-31,AMRITSAR,30.0"
