,0
0,"2019-01-01,AMRITSAR,25.0"
1,"2019-01-02,AMRITSAR,30.0"
2,"2019-01-03,AMRITSAR,20.0"
3,"2019-01-04,AMRITSAR,20.0"
4,"2019-01-05,AMRITSAR,20.0"
5,"2019-01-06,AMRITSAR,0"
6,"2019-01-07,AMRITSAR,20.0"
7,"2019-01-08,AMRITSAR,20.0"
8,"2019-01-09,AMRITSAR,15.0"
9,"2019-01-10,AMRITSAR,15.0"
10,"2019-01-11,AMRITSAR,20.0"
11,"2019-01-12,AMRITSAR,20.0"
12,"2019-01-13,AMRITSAR,0"
13,"2019-01-14,AMRITSAR,15.0"
14,"2019-01-15,AMRITSAR,20.0"
15,"2019-01-16,AMRITSAR,20.0"
16,"2019-01-17,AMRITSAR,20.0"
17,"2019-01-18,AMRITSAR,20.0"
18,"2019-01-19,AMRITSAR,15.0"
19,"2019-01-20,AMRITSAR,0"
20,"2019-01-21,AMRITSAR,20.0"
21,"2019-01-22,AMRITSAR,15.0"
22,"2019-01-23,AMRITSAR,15.0"
23,"2019-01-24,AMRITSAR,15.0"
24,"2019-01-25,AMRITSAR,10.0"
25,"2019-01-26,AMRITSAR,0"
26,"2019-01-27,AMRITSAR,0"
27,"2019-01-28,AMRITSAR,10.0"
28,"2019-01-29,AMRITSAR,10.0"
29,"2019-01-30,AMRITSAR,10.0"
30,"2019-01-31,AMRITSAR,15.0"
