,0
0,"2019-03-01,AMRITSAR,0"
1,"2019-03-02,AMRITSAR,10.0"
2,"2019-03-03,AMRITSAR,0"
3,"2019-03-04,AMRITSAR,0"
4,"2019-03-05,AMRITSAR,15.0"
5,"2019-03-06,AMRITSAR,15.0"
6,"2019-03-07,AMRITSAR,20.0"
7,"2019-03-08,AMRITSAR,15.0"
8,"2019-03-09,AMRITSAR,15.0"
9,"2019-03-10,AMRITSAR,0"
10,"2019-03-11,AMRITSAR,15.0"
11,"2019-03-12,AMRITSAR,30.0"
12,"2019-03-13,AMRITSAR,30.0"
13,"2019-03-14,AMRITSAR,20.0"
14,"2019-03-15,AMRITSAR,30.0"
15,"2019-03-16,AMRITSAR,30.0"
16,"2019-03-17,AMRITSAR,0"
17,"2019-03-18,AMRITSAR,30.0"
18,"2019-03-19,AMRITSAR,30.0"
19,"2019-03-20,AMRITSAR,30.0"
20,"2019-03-21,AMRITSAR,0"
21,"2019-03-22,AMRITSAR,30.0"
22,"2019-03-23,AMRITSAR,30.0"
23,"2019-03-24,AMRITSAR,0"
24,"2019-03-25,AMRITSAR,30.0"
25,"2019-03-26,AMRITSAR,30.0"
26,"2019-03-27,AMRITSAR,30.0"
27,"2019-03-28,AMRITSAR,20.0"
28,"2019-03-29,AMRITSAR,20.0"
29,"2019-03-30,AMRITSAR,20.0"
30,"2019-03-31,AMRITSAR,0"
