,0
0,"2018-04-01,AHMEDABAD,0"
1,"2018-04-02,AHMEDABAD,25.0"
2,"2018-04-03,AHMEDABAD,25.0"
3,"2018-04-04,AHMEDABAD,25.0"
4,"2018-04-05,AHMEDABAD,25.0"
5,"2018-04-06,AHMEDABAD,25.0"
6,"2018-04-07,AHMEDABAD,0"
7,"2018-04-08,AHMEDABAD,0"
8,"2018-04-09,AHMEDABAD,20.0"
9,"2018-04-10,AHMEDABAD,0"
10,"2018-04-11,AHMEDABAD,20.0"
11,"2018-04-12,AHMEDABAD,20.0"
12,"2018-04-13,AHMEDABAD,20.0"
13,"2018-04-14,AHMEDABAD,0"
14,"2018-04-15,AHMEDABAD,0"
15,"2018-04-16,AHMEDABAD,20.0"
16,"2018-04-17,AHMEDABAD,20.0"
17,"2018-04-18,AHMEDABAD,20.0"
18,"2018-04-19,AHMEDABAD,20.0"
19,"2018-04-20,AHMEDABAD,20.0"
20,"2018-04-21,AHMEDABAD,20.0"
21,"2018-04-22,AHMEDABAD,0"
22,"2018-04-23,AHMEDABAD,20.0"
23,"2018-04-24,AHMEDABAD,20.0"
24,"2018-04-25,AHMEDABAD,20.0"
25,"2018-04-26,AHMEDABAD,20.0"
26,"2018-04-27,AHMEDABAD,20.0"
27,"2018-04-28,AHMEDABAD,20.0"
28,"2018-04-29,AHMEDABAD,0"
29,"2018-04-30,AHMEDABAD,0"
