,0
0,"2018-06-01,AHMEDABAD,20.0"
1,"2018-06-02,AHMEDABAD,20.0"
2,"2018-06-03,AHMEDABAD,0"
3,"2018-06-04,AHMEDABAD,20.0"
4,"2018-06-05,AHMEDABAD,20.0"
5,"2018-06-06,AHMEDABAD,20.0"
6,"2018-06-07,AHMEDABAD,20.0"
7,"2018-06-08,AHMEDABAD,20.0"
8,"2018-06-09,AHMEDABAD,20.0"
9,"2018-06-10,AHMEDABAD,0"
10,"2018-06-11,AHMEDABAD,20.0"
11,"2018-06-12,AHMEDABAD,20.0"
12,"2018-06-13,AHMEDABAD,20.0"
13,"2018-06-14,AHMEDABAD,20.0"
14,"2018-06-15,AHMEDABAD,20.0"
15,"2018-06-16,AHMEDABAD,20.0"
16,"2018-06-17,AHMEDABAD,0"
17,"2018-06-18,AHMEDABAD,0"
18,"2018-06-19,AHMEDABAD,20.0"
19,"2018-06-20,AHMEDABAD,20.0"
20,"2018-06-21,AHMEDABAD,20.0"
21,"2018-06-22,AHMEDABAD,20.0"
22,"2018-06-23,AHMEDABAD,0"
23,"2018-06-24,AHMEDABAD,0"
24,"2018-06-25,AHMEDABAD,20.0"
25,"2018-06-26,AHMEDABAD,20.0"
26,"2018-06-27,AHMEDABAD,20.0"
27,"2018-06-28,AHMEDABAD,20.0"
28,"2018-06-29,AHMEDABAD,20.0"
29,"2018-06-30,AHMEDABAD,20.0"
