,0
0,"2016-08-01,AMRITSAR,35.0"
1,"2016-08-02,AMRITSAR,30.0"
2,"2016-08-03,AMRITSAR,30.0"
3,"2016-08-04,AMRITSAR,30.0"
4,"2016-08-05,AMRITSAR,30.0"
5,"2016-08-06,AMRITSAR,30.0"
6,"2016-08-07,AMRITSAR,0"
7,"2016-08-08,AMRITSAR,40.0"
8,"2016-08-09,AMRITSAR,40.0"
9,"2016-08-10,AMRITSAR,0"
10,"2016-08-11,AMRITSAR,30.0"
11,"2016-08-12,AMRITSAR,0"
12,"2016-08-13,AMRITSAR,30.0"
13,"2016-08-14,AMRITSAR,0"
14,"2016-08-15,AMRITSAR,0"
15,"2016-08-16,AMRITSAR,15.0"
16,"2016-08-17,AMRITSAR,0"
17,"2016-08-18,AMRITSAR,0"
18,"2016-08-19,AMRITSAR,20.0"
19,"2016-08-20,AMRITSAR,20.0"
20,"2016-08-21,AMRITSAR,0"
21,"2016-08-22,AMRITSAR,20.0"
22,"2016-08-23,AMRITSAR,20.0"
23,"2016-08-24,AMRITSAR,20.0"
24,"2016-08-25,AMRITSAR,0"
25,"2016-08-26,AMRITSAR,20.0"
26,"2016-08-27,AMRITSAR,20.0"
27,"2016-08-28,AMRITSAR,0"
28,"2016-08-29,AMRITSAR,20.0"
29,"2016-08-30,AMRITSAR,20.0"
30,"2016-08-31,AMRITSAR,20.0"
