,0
0,"2016-02-01,AMRITSAR,20.0"
1,"2016-02-02,AMRITSAR,20.0"
2,"2016-02-03,AMRITSAR,25.0"
3,"2016-02-04,AMRITSAR,20.0"
4,"2016-02-05,AMRITSAR,20.0"
5,"2016-02-06,AMRITSAR,20.0"
6,"2016-02-07,AMRITSAR,0"
7,"2016-02-08,AMRITSAR,20.0"
8,"2016-02-09,AMRITSAR,20.0"
9,"2016-02-10,AMRITSAR,20.0"
10,"2016-02-11,AMRITSAR,20.0"
11,"2016-02-12,AMRITSAR,20.0"
12,"2016-02-13,AMRITSAR,20.0"
13,"2016-02-14,AMRITSAR,0"
14,"2016-02-15,AMRITSAR,20.0"
15,"2016-02-16,AMRITSAR,25.0"
16,"2016-02-17,AMRITSAR,20.0"
17,"2016-02-18,AMRITSAR,0"
18,"2016-02-19,AMRITSAR,0"
19,"2016-02-20,AMRITSAR,0"
20,"2016-02-21,AMRITSAR,0"
21,"2016-02-22,AMRITSAR,0"
22,"2016-02-23,AMRITSAR,0"
23,"2016-02-24,AMRITSAR,0"
24,"2016-02-25,AMRITSAR,0"
25,"2016-02-26,AMRITSAR,0"
26,"2016-02-27,AMRITSAR,0"
27,"2016-02-28,AMRITSAR,0"
28,"2016-02-29,AMRITSAR,20.0"
