Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bilaspur,01/11/2016,0.1,Other,6000,8000,7000,
,10/11/2016,0.1,Other,3000,8000,4500,
,23/11/2016,0.2,Other,6000,8500,7000,
,24/11/2016,0.2, ,NR,NR,NR,
,29/11/2016,0.2,Other,6000,8500,7000,
Chail Chowk,19/11/2016,0.12,Other,3000,5000,4000,
Chamba,03/11/2016,0.1,Royal Delicious,5700,5900,5800,
,05/11/2016,0.05,Royal Delicious,6000,6500,6250,
,07/11/2016,0.17,Royal Delicious,7000,9000,8000,
,16/11/2016,0.15,Royal Delicious,6700,6900,6800,
,18/11/2016,0.11,Royal Delicious,6000,7000,6500,
,19/11/2016,0.49,Royal Delicious,1200,1500,1350,
,23/11/2016,0.05,Royal Delicious,6500,7500,7000,
Dhanotu (Mandi),01/11/2016,0.2,Other,2000,5800,3900,
,02/11/2016,0.2,Other,2500,6000,4250,
,03/11/2016,0.2, ,NR,NR,NR,
,04/11/2016,0.2,Other,2500,7000,4750,
,05/11/2016,0.1,Other,2000,7000,4500,
,07/11/2016,0.2,Other,2000,8000,5000,
,08/11/2016,0.2,Other,6000,7000,6500,
,09/11/2016,0.1,Other,6000,7000,6500,
,10/11/2016,0.2,Other,2500,7500,5000,
,11/11/2016,0.2,Other,2500,7500,5000,
,15/11/2016,0.1,Other,3000,7000,5000,
,16/11/2016,0.1,Other,2000,7000,4500,
,17/11/2016,0.1,Other,7000,8500,7750,
,18/11/2016,0.1,Other,2500,8000,5250,
,19/11/2016,0.1,Other,7000,8500,7750,
,23/11/2016,0.2,Other,5000,8000,6500,
,24/11/2016,0.2,Other,6600,8000,7300,
,26/11/2016,0.1,Other,8000,8000,8000,
,28/11/2016,0.1,Other,5000,10000,7500,
,29/11/2016,0.1,Other,7000,9000,8000,
,30/11/2016,0.1,Other,6000,10000,8000,
Hamirpur,02/11/2016,0.1, ,NR,NR,NR,
,07/11/2016,0.1,Delicious,4000,5000,5000,
,15/11/2016,0.1,Delicious,5000,7000,6000,
,16/11/2016,0.1,Delicious,4500,7000,5500,
,19/11/2016,0.1,Delicious,4000,5500,5000,
Hamirpur(Nadaun),02/11/2016,0.1, ,NR,NR,NR,
,07/11/2016,0.15,Delicious,4000,5500,5000,
,16/11/2016,0.1,Delicious,5000,7000,6000,
,19/11/2016,0.1,Delicious,4000,5000,4500,
Mandi(Mandi),01/11/2016,0.2,Other,2500,6000,4500,
,02/11/2016,1.6,Other,1600,5200,3500,
,03/11/2016,0.2,Other,2500,5500,3500,
,04/11/2016,0.7,Other,2300,8500,5000,
,05/11/2016,0.3,Other,2000,8000,5000,
,15/11/2016,0.2,Other,5300,8000,6500,
,16/11/2016,1.3,Other,3000,7000,5000,
,17/11/2016,1.2,Other,2500,6500,5000,
,18/11/2016,1,Other,5000,6800,6000,
Nahan,01/11/2016,0.15,Other,4500,5000,4800,
,02/11/2016,0.2,Other,2500,3000,2800,
,04/11/2016,0.4,Other,4500,6000,5500,
,30/11/2016,0.03,Other,6000,7000,6500,
Paonta Sahib,01/11/2016,1.04,Other,2700,6000,5000,
,02/11/2016,0.57,Other,4500,5000,4800,
,04/11/2016,0.35,Other,4500,5000,4800,
,05/11/2016,0.2,Other,4500,5000,4800,
,07/11/2016,0.4,Other,5000,6800,5500,
,08/11/2016,0.3,Other,5000,7500,6000,
,16/11/2016,0.3,Other,6000,6900,6500,
,19/11/2016,0.2, ,NR,NR,NR,
,26/11/2016,0.2,Other,4500,5000,4800,
,28/11/2016,0.35,Other,5000,7000,6000,
,29/11/2016,0.1,Other,4500,5000,4800,
Una,16/11/2016,1.2,Other,6500,13000,9000,
,17/11/2016,1.6,Other,6500,8500,7500,
,,,Other,9000,13000,11000,
,19/11/2016,1.2,Other,7000,9000,8000,
,,,Other,9500,13000,11500,
,24/11/2016,1.2,Other,8000,10000,9000,
