Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bilaspur,01/04/2017,0.2,Other,15000,19000,16500,
,11/04/2017,0.1,Other,12000,17000,14000,
,18/04/2017,0.1,Other,12000,17000,15000,
,20/04/2017,0.1,Other,12000,17000,15000,
Dhanotu (Mandi),01/04/2017,0.2,Other,8000,18000,13000,
,03/04/2017,0.2,Other,10000,15000,12750,
,05/04/2017,0.1,Other,12000,13000,12500,
,06/04/2017,0.1,Other,10000,15000,13000,
,07/04/2017,0.1, ,NR,NR,NR,
,10/04/2017,0.1,Other,10000,13000,11500,
Kangra,01/04/2017,1,Other,10000,17000,13500,
,03/04/2017,1,Other,10000,14000,12000,
,05/04/2017,1.2,Other,10000,15000,12500,
,06/04/2017,1,Other,10000,13000,11500,
,07/04/2017,1.2,Other,10000,12000,11000,
,10/04/2017,1,Other,10000,15000,12500,
,11/04/2017,1,Other,10000,14000,12000,
,12/04/2017,1,Other,9000,14000,11500,
,13/04/2017,1.2,Other,10000,15000,12500,
,17/04/2017,1.5,Other,10000,14000,12000,
,18/04/2017,1,Other,10000,14000,12000,
,20/04/2017,1.2,Other,10000,13000,11500,
,21/04/2017,1.2,Other,10000,12000,11000,
,22/04/2017,1.5,Other,10000,13000,12500,
,24/04/2017,1,Other,10000,14000,12000,
,25/04/2017,1.2,Other,10000,14000,12000,
,26/04/2017,1.2,Other,10000,14000,12000,
,27/04/2017,1,Other,10000,14000,12000,
,29/04/2017,1,Other,10000,14000,12000,
Mandi(Mandi),21/04/2017,0.2,Other,6000,12000,8000,
,24/04/2017,0.9, ,NR,NR,NR,
,25/04/2017,0.4, ,NR,NR,NR,
,27/04/2017,0.2, ,NR,NR,NR,
Paonta Sahib,01/04/2017,0.03,Other,9000,10000,9500,
,17/04/2017,0.05,Other,9000,10000,9500,
Solan,01/04/2017,0.2,Apple,12000,16000,14000,
,03/04/2017,0.66,Apple,13000,16000,14500,
,05/04/2017,0.08,Apple,10000,16000,13000,
,07/04/2017,0.24,Apple,13000,16000,14500,
,10/04/2017,0.1,Apple,14500,15000,14750,
,11/04/2017,0.3,Apple,15000,16500,15750,
,12/04/2017,0.08, ,NR,NR,NR,
,13/04/2017,0.02,Apple,12000,15000,13000,
,22/04/2017,0.14,Apple,11000,15000,13000,
,25/04/2017,0.06,Apple,13000,15000,14000,
,27/04/2017,0.16,Apple,14000,15000,14500,
,29/04/2017,0.26,Apple,10500,14500,12500,
Una,01/04/2017,0.2,Other,8000,10000,8000,
,03/04/2017,0.2,Other,8500,13000,9000,
,05/04/2017,0.3,Other,10000,13000,12000,
,07/04/2017,0.2,Other,8500,14000,11500,
,11/04/2017,0.15,Other,9000,9000,9000,
,12/04/2017,0.1, ,NR,NR,NR,
,19/04/2017,0.1, ,NR,NR,NR,
,20/04/2017,0.1,Other,11500,14000,12000,
