Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bandrol,01/09/2017,210.7,Other,1300,6000,3500,
,03/09/2017,204.7,Other,1500,5500,3500,
,04/09/2017,187.5,Other,1300,5800,3500,
,05/09/2017,131.5,Other,1500,5400,3500,
,06/09/2017,250,Other,1200,5800,3500,
,07/09/2017,25.6,Other,1400,5500,3300,
,08/09/2017,232.1,Other,1200,5100,3200,
,10/09/2017,236.3,Other,1400,5100,3200,
,11/09/2017,208.9,Other,1600,5400,3400,
,12/09/2017,231.7,Other,1500,5300,3200,
,13/09/2017,200,Other,1300,5400,3200,
,14/09/2017,281,Other,1100,5200,3200,
,15/09/2017,225.5,Other,1300,5000,3000,
,17/09/2017,185.5,Other,1200,4800,3000,
,18/09/2017,190.6,Other,1400,5400,3400,
,19/09/2017,207,Other,1000,5100,3100,
,20/09/2017,187,Other,1300,5200,3200,
,21/09/2017,168,Other,1500,5100,3000,
,22/09/2017,137.8,Other,1200,4800,2800,
,24/09/2017,75.6,Other,1000,4600,2800,
,25/09/2017,133.6,Other,1100,4900,3000,
,26/09/2017,75.2,Other,1300,5100,3200,
,27/09/2017,88.6,Other,1100,4900,2800,
,28/09/2017,86.3,Other,1000,4600,3000,
,29/09/2017,90.2,Other,1200,4800,2800,
Bhuntar,01/09/2017,32,Apple,2600,4500,3500,
,03/09/2017,25,Apple,2600,4500,3500,
,04/09/2017,20.5,Apple,2600,4500,3500,
,05/09/2017,30,Apple,2600,4500,3500,
,06/09/2017,32,Apple,2600,4500,3500,
,07/09/2017,30,Apple,2500,4500,3500,
,08/09/2017,25,Apple,2600,4500,3500,
,10/09/2017,18,Apple,2600,4500,3500,
,11/09/2017,20,Apple,2600,4500,3500,
,12/09/2017,21,Apple,2600,4500,3500,
,15/09/2017,13.5,Apple,2600,4500,3500,
,17/09/2017,2.5,Apple,2600,4500,3500,
,18/09/2017,15,Apple,3000,4500,3700,
