Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Akhnoor,01/09/2016,3,Other,5000,7000,6000,
,02/09/2016,7,Other,6000,8000,7000,
,03/09/2016,6,Other,5000,7000,6000,
,05/09/2016,18,Other,6000,8000,7000,
,06/09/2016,5,Other,5000,7000,6000,
,07/09/2016,6,Other,6000,8000,7000,
,08/09/2016,18,Other,4000,6000,5000,
,09/09/2016,15,Other,5000,7000,6000,
,10/09/2016,1.8,Other,5000,6000,5500,
,12/09/2016,18,Other,4000,5000,4500,
,15/09/2016,15,Other,3000,5000,4000,
,16/09/2016,18,Other,3000,5000,4000,
,17/09/2016,19,Other,3000,5000,4000,
,19/09/2016,20,Other,4000,5000,4500,
,20/09/2016,20,Other,3000,5000,4000,
,21/09/2016,18,Other,4000,5000,4500,
,22/09/2016,25,Other,2000,4000,3000,
,23/09/2016,25,Other,2000,4000,3000,
,24/09/2016,26,Other,2000,4000,3000,
,26/09/2016,25,Other,2000,4000,3000,
,27/09/2016,25,Other,3000,5000,4000,
,28/09/2016,22,Other,2000,4000,3000,
,29/09/2016,20,Other,3000,5000,4000,
Kathua,01/09/2016,3.2,Other,5000,7000,6000,
,02/09/2016,3.8,Other,4800,7000,5500,
,03/09/2016,3.4,Other,4500,7000,5500,
,06/09/2016,2.7,Other,4500,7000,5500,
,07/09/2016,2.8,Other,4000,6500,5500,
,08/09/2016,3,Other,5000,7000,6000,
,09/09/2016,2.8,Other,5000,7000,6500,
,10/09/2016,3.2,Other,5500,7000,6300,
,11/09/2016,3,Other,5500,7000,6000,
,12/09/2016,3.9,Other,3000,6000,4000,
,13/09/2016,3.4,Other,3500,6000,4500,
,14/09/2016,3.5,Other,3000,6000,4500,
,15/09/2016,4,Other,4000,6000,5500,
,17/09/2016,3.4,Other,3000,6500,4500,
,19/09/2016,3.5,Other,3000,6000,5000,
,20/09/2016,13.5,Other,3000,6000,4500,
,21/09/2016,14.5,Other,3500,6000,4500,
,22/09/2016,14.5,Other,3000,6000,5000,
,23/09/2016,14.8,Other,4000,6000,5400,
,24/09/2016,145,Other,3500,6000,4500,
,25/09/2016,15.5,Other,3500,6000,5500,
,26/09/2016,3.8,Other,4000,6000,5000,
,27/09/2016,14.5,Other,4000,6000,5000,
,28/09/2016,15.5,Other,3000,6000,5000,
,29/09/2016,16.7,Other,4000,6000,5000,
,30/09/2016,16.5,Other,3000,6000,4000,
Narwal Jammu (F&V),01/09/2016,51,Delicious,3500,5000,4250,
,03/09/2016,113,Delicious,4000,6500,5250,
,05/09/2016,12,Delicious,4000,6500,5250,
,06/09/2016,765,Delicious,3500,6000,4750,
,07/09/2016,1350,Delicious,2000,5500,3750,
,08/09/2016,1665,Delicious,1500,5000,3250,
,09/09/2016,1413,Delicious,1800,5000,3400,
,10/09/2016,1800,Delicious,1800,5000,3400,
,12/09/2016,1890,Delicious,1500,4800,3150,
,13/09/2016,2160,Delicious,1500,4800,3150,
,15/09/2016,135,Delicious,2000,5000,3500,
,16/09/2016,630,Delicious,2000,5000,3500,
,17/09/2016,810,Delicious,3500,5000,4250,
,19/09/2016,2187,Delicious,2000,5000,3500,
,20/09/2016,1449,Delicious,1800,4800,3300,
,22/09/2016,1368,Delicious,1800,5500,3650,
,24/09/2016,1458,Delicious,2000,5800,3900,
,26/09/2016,2007,Delicious,1800,5500,3650,
,27/09/2016,1503,Delicious,2000,5500,3750,
,28/09/2016,1431,Delicious,1800,5500,3650,
,29/09/2016,1674,Delicious,1800,5500,3650,
Reasi,01/09/2016,0.6,Delicious,4000,5000,4500,
,02/09/2016,0.6,Delicious,4000,4500,4300,
,03/09/2016,0.5,Delicious,3500,4500,4000,
,05/09/2016,0.8,Delicious,4000,5000,4500,
,06/09/2016,0.7,Delicious,4000,5000,4500,
,07/09/2016,0.9,Delicious,3500,4500,4000,
,08/09/2016,0.9,Delicious,4000,5000,4500,
,13/09/2016,1,Delicious,2500,3500,3000,
,14/09/2016,1.1,Delicious,2500,3500,3000,
,15/09/2016,1.2,Delicious,2500,3500,3000,
,16/09/2016,0.8,Delicious,2500,3500,3000,
,17/09/2016,1,Delicious,2500,3500,3000,
,19/09/2016,0.8,Delicious,2500,3500,2800,
,20/09/2016,0.6,Delicious,2500,3500,2800,
,21/09/2016,1,Delicious,2500,3500,3000,
,22/09/2016,2,Delicious,2000,2500,2200,
,,,Delicious,3000,4000,3500,
,24/09/2016,1.5,Delicious,2000,4000,2800,
,26/09/2016,2,Delicious,1500,2200,2000,
,,,Delicious,3500,4500,4000,
,27/09/2016,2,Delicious,1500,2500,2000,
,,,Delicious,3500,4500,4000,
,28/09/2016,2.5,Delicious,2000,4000,2800,
,29/09/2016,2,Delicious,2000,3000,2500,
