Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Akhnoor,01/11/2017,5, ,NR,NR,NR,
,02/11/2017,5.2, ,NR,NR,NR,
,03/11/2017,5, ,NR,NR,NR,
,04/11/2017,5, ,NR,NR,NR,
,06/11/2017,4.8, ,NR,NR,NR,
,07/11/2017,4.8, ,NR,NR,NR,
,08/11/2017,5,Other,2000,5000,3200,
,09/11/2017,4.8,Other,2000,5000,3200,
,10/11/2017,6.5,Other,2500,5000,4000,
,11/11/2017,6.5,Other,3000,5000,4200,
,13/11/2017,6,Other,2500,5000,3800,
,14/11/2017,6,Other,2500,5000,3300,
,15/11/2017,6.2,Other,3000,5000,4000,
,16/11/2017,6,Other,3000,5000,4000,
,17/11/2017,5.8,Other,3000,5000,4200,
,20/11/2017,6,Other,3000,5500,4200,
,21/11/2017,6,Other,3000,5500,4200,
,22/11/2017,5.8,Other,3000,5500,4200,
,23/11/2017,5.6,Other,3000,5000,3800,
,24/11/2017,5.8,Other,3000,5500,4200,
,27/11/2017,5.5,Other,2500,5000,3400,
,29/11/2017,5.6,Other,2500,5000,3600,
Batote,06/11/2017,80, ,NR,NR,NR,
,07/11/2017,5, ,NR,NR,NR,
,08/11/2017,10, ,NR,NR,NR,
,09/11/2017,0.9, ,NR,NR,NR,
,10/11/2017,10, ,NR,NR,NR,
,11/11/2017,1, ,NR,NR,NR,
,13/11/2017,0.9, ,NR,NR,NR,
,17/11/2017,0.8, ,NR,NR,NR,
,18/11/2017,0.8, ,NR,NR,NR,
,21/11/2017,0.8, ,NR,NR,NR,
,23/11/2017,0.8, ,NR,NR,NR,
,24/11/2017,0.8, ,NR,NR,NR,
,25/11/2017,0.9, ,NR,NR,NR,
,27/11/2017,0.9, ,NR,NR,NR,
,28/11/2017,0.8, ,NR,NR,NR,
,29/11/2017,0.8, ,NR,NR,NR,
,30/11/2017,0.9, ,NR,NR,NR,
Kathua,01/11/2017,13,Other,3000,5000,4000,
,02/11/2017,10,Other,3000,5000,4000,
,03/11/2017,9.5,Other,3000,5000,4000,
,06/11/2017,18.9,Other,4000,6000,5000,
,07/11/2017,10,Other,3000,5000,4000,
,08/11/2017,12.2,Other,3000,5000,4000,
,13/11/2017,12.8,Other,3000,6000,4000,
,14/11/2017,13,Other,4000,6000,5000,
,15/11/2017,11.9,Other,5000,7000,6000,
,16/11/2017,8.9,Other,5000,6000,6000,
,17/11/2017,18,Other,4000,6000,5000,
,20/11/2017,12.8,Other,3000,5000,3500,
,21/11/2017,8.9,Other,3500,6000,4000,
,22/11/2017,12.3,Other,3000,5000,4000,
,23/11/2017,12.3,Other,3000,6000,4000,
,24/11/2017,11.2,Other,3500,6000,4500,
,27/11/2017,9.9,Other,4500,6000,5500,
,28/11/2017,9.8,Other,4000,6000,5500,
,29/11/2017,9.5,Other,4000,5500,5000,
,30/11/2017,9.8,Other,4000,6000,5000,
Narwal Jammu (F&V),01/11/2017,1390,Delicious,3500,4500,4000,
,02/11/2017,1480,Delicious,3500,4500,4000,
,03/11/2017,1320,Delicious,3500,4500,4000,
,04/11/2017,1300,Delicious,3500,4500,4000,
,06/11/2017,1980,Delicious,4000,5000,4500,
,07/11/2017,132,Delicious,4000,5000,4500,
,08/11/2017,1070,American,3000,3500,3250,
,,,Delicious,3500,4500,4000,
,11/11/2017,1070,Delicious,2500,3500,3000,
,13/11/2017,1070,Delicious,2400,3400,2900,
,14/11/2017,570,Delicious,3600,4600,4000,
,15/11/2017,80,Delicious,3000,4000,3500,
,16/11/2017,660,Delicious,3300,4600,3950,
,18/11/2017,660,Delicious,3600,4600,4000,
,20/11/2017,1070,Delicious,4000,5000,4500,
,21/11/2017,1070,Delicious,4000,5000,4500,
,23/11/2017,1070,American,2500,4500,3500,
,,,Delicious,3600,4600,4100,
,,,Maharaji,2200,2800,2500,
,24/11/2017,570,Maharaji,2100,2800,2450,
,27/11/2017,820,American,3200,4200,3700,
,,,Delicious,3600,4600,4100,
,,,Maharaji,2500,2800,2650,
,28/11/2017,410,American,4200,5000,4600,
,,,Delicious,3600,5000,4300,
,,,Maharaji,2500,2800,2650,
