Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Dehradoon,01/01/2016,10, ,NR,NR,NR,
,02/01/2016,33.8, ,NR,NR,NR,
,03/01/2016,20.3, ,NR,NR,NR,
,04/01/2016,12, ,NR,NR,NR,
,08/01/2016,10.4, ,NR,NR,NR,
,09/01/2016,25.4, ,NR,NR,NR,
,10/01/2016,25.4, ,NR,NR,NR,
,11/01/2016,26.8, ,NR,NR,NR,
,12/01/2016,10.4, ,NR,NR,NR,
,13/01/2016,34.4, ,NR,NR,NR,
,14/01/2016,16.2, ,NR,NR,NR,
,15/01/2016,15.8, ,NR,NR,NR,
,16/01/2016,8.5, ,NR,NR,NR,
,17/01/2016,8.5, ,NR,NR,NR,
,19/01/2016,10.2, ,NR,NR,NR,
,20/01/2016,35.3, ,NR,NR,NR,
,22/01/2016,25.5, ,NR,NR,NR,
,23/01/2016,36.4, ,NR,NR,NR,
,24/01/2016,10.8, ,NR,NR,NR,
,25/01/2016,10.9, ,NR,NR,NR,
,27/01/2016,10.9, ,NR,NR,NR,
,28/01/2016,8.5, ,NR,NR,NR,
,29/01/2016,2.2, ,NR,NR,NR,
,30/01/2016,10.8, ,NR,NR,NR,
,31/01/2016,17.5, ,NR,NR,NR,
Haldwani,03/01/2016,4.3, ,NR,NR,NR,
,04/01/2016,0.6,Other,3000,5000,4000,
,05/01/2016,9.7,Other,3000,5000,4000,
,06/01/2016,5.2, ,NR,NR,NR,
,07/01/2016,4, ,NR,NR,NR,
,08/01/2016,7.2, ,NR,NR,NR,
,10/01/2016,5,Other,3000,5500,4250,
,11/01/2016,1.9,Other,3500,5500,4500,
,12/01/2016,2.6, ,NR,NR,NR,
,14/01/2016,4.5,Other,3000,4500,4250,
,15/01/2016,6.8,Other,3000,5500,4250,
,17/01/2016,1.4,Other,3000,5500,4250,
,18/01/2016,8.3,Other,3000,5500,4250,
,21/01/2016,7.8,Other,3000,5000,4250,
,22/01/2016,3.7, ,NR,NR,NR,
,25/01/2016,1.9,Other,3000,5000,4000,
,27/01/2016,1.8, ,NR,NR,NR,
,28/01/2016,1.2,Other,3500,5500,4500,
Haridwar Union,01/01/2016,2.7,Other,3000,7000,5000,
,02/01/2016,6,Other,3000,7000,5000,
,06/01/2016,2.6,Other,3000,7000,5000,
,07/01/2016,6.5, ,NR,NR,NR,
,08/01/2016,6.1,Other,3000,6000,4500,
,10/01/2016,2.3,Other,3000,7000,5000,
,11/01/2016,3.4,Other,3000,7000,5000,
,13/01/2016,4.4,Other,3000,7000,5000,
,14/01/2016,3.8,Other,3000,7000,5000,
,18/01/2016,2.5,Other,3000,7000,5000,
,21/01/2016,6.7,Other,3500,7500,5500,
,22/01/2016,6.7,Other,3500,7000,5250,
,23/01/2016,1.8,Other,3600,7000,6000,
,27/01/2016,5.3,Other,3000,7000,5000,
,28/01/2016,7.3,Other,3000,6000,4500,
,29/01/2016,3.8,Other,3200,6000,4700,
,30/01/2016,2,Other,3000,6000,4500,
Kashipur,01/01/2016,0.2,Other,4800,5000,4900,
,02/01/2016,0.2,Other,5000,5100,5050,
,05/01/2016,0.4,Other,4800,5000,4900,
,06/01/2016,0.2,Other,4700,5000,4850,
,07/01/2016,1,Other,4700,4800,4750,
,10/01/2016,1,Other,4600,4700,4650,
,11/01/2016,0.8,Other,4600,4700,4650,
,12/01/2016,0.5, ,NR,NR,NR,
,13/01/2016,1,Other,4500,4600,4550,
,14/01/2016,1.2,Other,4500,4600,4550,
,15/01/2016,1.5,Other,4500,4600,4550,
,16/01/2016,0.2,Other,4500,4600,4550,
,17/01/2016,0.4, ,NR,NR,NR,
,18/01/2016,0.4,Other,4500,4700,4600,
,19/01/2016,0.2, ,NR,NR,NR,
,20/01/2016,0.2,Other,4600,4800,4700,
,21/01/2016,0.4,Other,4600,4700,4650,
,22/01/2016,0.5, ,NR,NR,NR,
,23/01/2016,0.2,Other,4700,4800,4750,
,25/01/2016,0.4,Other,4800,4900,4850,
,27/01/2016,0.2,Other,4700,4900,4800,
,28/01/2016,0.4, ,NR,NR,NR,
,29/01/2016,0.5,Other,4700,4900,4800,
,30/01/2016,0.4,Other,4700,4900,4800,
Kicchha,01/01/2016,1,Other,3500,4500,4000,
,20/01/2016,1.5,Other,3800,4000,3900,
,21/01/2016,2,Other,3500,4000,3800,
,25/01/2016,2, ,NR,NR,NR,
,27/01/2016,2, ,NR,NR,NR,
,28/01/2016,2,Other,3000,4000,3500,
,31/01/2016,2, ,NR,NR,NR,
Kotadwara,13/01/2016,1,Apple,1800,2600,2250,
Manglaur,09/01/2016,0.3,Other,2100,2800,2500,
,10/01/2016,0.5,Other,2100,3000,2500,
,24/01/2016,1.5,Other,2500,2900,2700,
,27/01/2016,1, ,NR,NR,NR,
,30/01/2016,0.5,Other,2500,3200,2800,
Ramnagar,01/01/2016,1.1, ,NR,NR,NR,
,14/01/2016,0.5, ,NR,NR,NR,
,30/01/2016,1.3, ,NR,NR,NR,
Rishikesh,04/01/2016,1.5,Other,1600,2800,2000,
,06/01/2016,1.2,Other,1600,3000,2200,
,07/01/2016,1, ,NR,NR,NR,
,13/01/2016,1,Other,1600,3200,2000,
,23/01/2016,1,Other,1800,3200,2000,
,29/01/2016,1,Other,1800,3200,2400,
Roorkee,01/01/2016,7,Other,1200,2700,2000,
,04/01/2016,6,Other,1200,3000,2100,
,10/01/2016,16,Other,1800,3000,2500,
,18/01/2016,8,Other,1500,2800,2100,
,21/01/2016,5,Other,1000,2500,1500,
,27/01/2016,10,Other,1500,2800,2100,
,28/01/2016,5, ,NR,NR,NR,
,29/01/2016,0.8,Other,1500,2500,1800,
Rudrapur,02/01/2016,0.3,Other,6500,7500,7000,
,04/01/2016,0.2,Other,6500,7000,6750,
,06/01/2016,0.3, ,NR,NR,NR,
