Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Dehradoon,21/06/2016,0.8, ,NR,NR,NR,
,22/06/2016,1.1, ,NR,NR,NR,
,24/06/2016,1.4, ,NR,NR,NR,
Haldwani,01/06/2016,0.7, ,NR,NR,NR,
,06/06/2016,0.5, ,NR,NR,NR,
,07/06/2016,1.7, ,NR,NR,NR,
,10/06/2016,1.3, ,NR,NR,NR,
,12/06/2016,0.3, ,NR,NR,NR,
,13/06/2016,0.8, ,NR,NR,NR,
,15/06/2016,2.5, ,NR,NR,NR,
,16/06/2016,1.2,Other,5000,8000,6500,
,17/06/2016,3,Other,5000,8000,6500,
,19/06/2016,1.1, ,NR,NR,NR,
,20/06/2016,2.4, ,NR,NR,NR,
,22/06/2016,2.5, ,NR,NR,NR,
,23/06/2016,8.6, ,NR,NR,NR,
,24/06/2016,6.3,Other,5000,8000,6500,
Kashipur,16/06/2016,0.2,Other,5400,5600,5500,
,18/06/2016,0.4,Other,5600,5800,5700,
,19/06/2016,0.5,Other,5500,5700,5600,
,22/06/2016,0.5,Other,5700,5900,5800,
,23/06/2016,0.4,Other,5800,6000,5900,
,28/06/2016,0.5,Other,5700,5900,5800,
Kicchha,13/06/2016,1,Other,3000,5000,4850,
Lakshar,01/06/2016,0.8,Other,2000,3000,2500,
Nanakmatta,18/06/2016,0.2, ,NR,NR,NR,
,22/06/2016,3, ,NR,NR,NR,
Ramnagar,27/06/2016,0.5, ,NR,NR,NR,
,29/06/2016,1.5, ,NR,NR,NR,
Roorkee,10/06/2016,4,Other,1800,3500,2500,
Vikasnagar,01/06/2016,0.7,Other,2561,2571,2571,
,02/06/2016,0.2,Other,2690,2700,2700,
,03/06/2016,0.4,Other,2485,2500,2500,
,05/06/2016,0.2,Other,2985,3000,3000,
,07/06/2016,0.2,Other,1985,2000,2000,
,08/06/2016,0.2,Other,2985,3000,3000,
,14/06/2016,0.4,Other,2115,2125,2125,
,16/06/2016,0.5,Other,2385,2400,2400,
,19/06/2016,1.2,Other,2485,2500,2500,
,21/06/2016,0.3,Other,2656,2666,2666,
,22/06/2016,0.4,Other,2490,2500,2500,
,23/06/2016,0.2,Other,2987,3000,3000,
,26/06/2016,0.9,Other,2200,2222,2222,
,28/06/2016,1.3,Other,2810,2830,2830,
