Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bhagwanpur(Naveen Mandi Sthal),17/03/2016,0.5, ,NR,NR,NR,
Dehradoon,01/03/2016,4.3, ,NR,NR,NR,
,02/03/2016,8.3, ,NR,NR,NR,
,03/03/2016,7.6, ,NR,NR,NR,
,04/03/2016,4.8, ,NR,NR,NR,
,05/03/2016,2, ,NR,NR,NR,
,06/03/2016,11.3, ,NR,NR,NR,
,07/03/2016,4.5, ,NR,NR,NR,
,08/03/2016,3.3, ,NR,NR,NR,
,09/03/2016,7.4, ,NR,NR,NR,
,10/03/2016,9.2, ,NR,NR,NR,
,11/03/2016,197, ,NR,NR,NR,
,12/03/2016,11.9, ,NR,NR,NR,
,13/03/2016,3.2, ,NR,NR,NR,
,14/03/2016,1.5, ,NR,NR,NR,
,15/03/2016,18.9, ,NR,NR,NR,
,16/03/2016,1.1, ,NR,NR,NR,
,17/03/2016,14.3, ,NR,NR,NR,
,18/03/2016,2.4, ,NR,NR,NR,
,19/03/2016,8.2, ,NR,NR,NR,
,20/03/2016,3.1, ,NR,NR,NR,
,21/03/2016,2.2, ,NR,NR,NR,
,22/03/2016,1.3, ,NR,NR,NR,
,23/03/2016,4.3, ,NR,NR,NR,
,24/03/2016,9, ,NR,NR,NR,
,26/03/2016,2.3, ,NR,NR,NR,
,27/03/2016,1.6, ,NR,NR,NR,
,28/03/2016,12.3, ,NR,NR,NR,
,29/03/2016,4.8, ,NR,NR,NR,
,30/03/2016,5, ,NR,NR,NR,
,31/03/2016,16.5, ,NR,NR,NR,
Haldwani,02/03/2016,2.4, ,NR,NR,NR,
,04/03/2016,3.8,Other,3000,6000,4500,
,06/03/2016,4.5,Other,3500,4000,3750,
,08/03/2016,2.6, ,NR,NR,NR,
,10/03/2016,14.5, ,NR,NR,NR,
,11/03/2016,1, ,NR,NR,NR,
,14/03/2016,18, ,NR,NR,NR,
,15/03/2016,2, ,NR,NR,NR,
,16/03/2016,12, ,NR,NR,NR,
,17/03/2016,13, ,NR,NR,NR,
Haridwar Union,01/03/2016,5,Other,5000,10000,7000,
,04/03/2016,7.4,Other,4000,8000,5000,
,05/03/2016,1.9,Other,5000,9000,6000,
,07/03/2016,5.5,Other,5000,9000,6500,
,09/03/2016,6.2,Other,5000,8000,6000,
,10/03/2016,2.9,Other,5000,8000,6500,
,11/03/2016,1.8,Other,5500,7500,6000,
,14/03/2016,6.1,Other,5000,6200,5800,
,17/03/2016,3.5,Other,5000,7000,6000,
,18/03/2016,3.8,Other,5000,6500,5500,
,20/03/2016,3.9,Other,5000,7000,6000,
,21/03/2016,3.5,Other,5000,7000,6500,
,22/03/2016,1.1,Other,5000,7000,6000,
,30/03/2016,3.4,Other,6000,8000,7000,
Kashipur,01/03/2016,0.2,Other,5000,5200,5100,
,02/03/2016,0.2, ,NR,NR,NR,
,03/03/2016,0.4, ,NR,NR,NR,
,04/03/2016,0.5, ,NR,NR,NR,
,05/03/2016,0.3, ,NR,NR,NR,
,06/03/2016,0.1,Other,4900,5000,4950,
,08/03/2016,0.2,Other,4800,5000,4900,
,09/03/2016,0.2,Other,4800,4900,4850,
,12/03/2016,0.4,Other,4800,5000,4900,
,13/03/2016,0.2,Other,4800,5000,4900,
,15/03/2016,0.2,Other,5000,5200,5100,
,22/03/2016,0.5,Other,5500,5700,5600,
,23/03/2016,0.2,Other,5500,5700,5600,
,27/03/2016,0.2,Other,4000,6000,5000,
,28/03/2016,0.3,Other,4000,5000,4500,
,30/03/2016,0.2, ,NR,NR,NR,
Kicchha,12/03/2016,1, ,NR,NR,NR,
Manglaur,01/03/2016,0.3,Other,3000,3800,3500,
,02/03/2016,0.5,Other,3000,3800,3500,
,06/03/2016,0.5,Other,3000,3800,3200,
,12/03/2016,0.8,Other,3000,3500,3200,
,25/03/2016,104.5,Other,2200,2498,2300,
,30/03/2016,196.5,Other,2500,2865,2700,
,31/03/2016,179.1,Other,2400,2681,2500,
Ramnagar,02/03/2016,0.9, ,NR,NR,NR,
,10/03/2016,0.6, ,NR,NR,NR,
,11/03/2016,1, ,NR,NR,NR,
,17/03/2016,0.8, ,NR,NR,NR,
,21/03/2016,0.5, ,NR,NR,NR,
,31/03/2016,1, ,NR,NR,NR,
Vikasnagar,01/03/2016,1.2, ,NR,NR,NR,
,02/03/2016,1.8, ,NR,NR,NR,
,04/03/2016,1, ,NR,NR,NR,
,06/03/2016,4.6,Other,750,768,768,
,07/03/2016,0.9,Other,1980,2000,2000,
,08/03/2016,2.2,Other,2030,2045,2045,
,09/03/2016,2,Other,1880,1900,1900,
,10/03/2016,0.5,Other,1580,1600,1600,
,11/03/2016,2.5,Other,1980,2000,2000,
,13/03/2016,0.5,Other,1780,1800,1800,
,14/03/2016,1.6,Other,2052,2063,2063,
,15/03/2016,3.7,Other,2000,2027,2027,
,16/03/2016,3.8,Other,1963,1973,1973,
,17/03/2016,3, ,NR,NR,NR,
,18/03/2016,5.5,Other,980,1000,1000,
,20/03/2016,5.8,Other,2000,2017,2017,
,21/03/2016,3.2, ,NR,NR,NR,
,22/03/2016,2.5,Other,1980,2000,2000,
,23/03/2016,9,Other,1880,1888,1888,
,25/03/2016,3.9,Other,2000,2017,2017,
,27/03/2016,3.3,Other,1950,1958,1958,
,28/03/2016,3.3,Other,1980,2000,2000,
,29/03/2016,2.7,Other,1970,1981,1981,
,30/03/2016,8.9, ,NR,NR,NR,
,31/03/2016,6,Other,1980,2000,2000,
