Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Dehradoon,01/10/2016,77.6,Apple,1500,3500,2500,
,02/10/2016,207.7,Apple,1800,4000,2200,
,03/10/2016,207.7,Apple,1800,4000,2200,
,05/10/2016,71.5,Apple,1500,3500,2500,
,06/10/2016,88.1,Apple,1500,4500,3000,
,07/10/2016,106.7,Apple,1500,3000,2000,
,08/10/2016,173.7,Apple,600,1000,800,
,09/10/2016,125.2,Apple,1500,3500,2500,
,11/10/2016,83.1,Apple,1500,3500,2500,
,12/10/2016,66.2,Apple,1500,3000,2000,
,13/10/2016,59.2,Apple,1500,3500,2500,
,14/10/2016,117.6,Apple,1500,3500,2500,
,15/10/2016,58.6,Apple,1800,3000,2200,
,16/10/2016,93,Apple,1500,2500,2000,
,17/10/2016,66.2,Apple,1500,3000,2000,
,18/10/2016,127,Apple,1800,3000,2000,
,19/10/2016,75.8,Apple,1800,3000,2500,
,20/10/2016,42.6,Apple,1900,3000,2200,
,21/10/2016,86.9,Apple,1900,3000,2500,
,22/10/2016,35.6,Apple,1500,3000,2500,
,23/10/2016,59.2,Apple,1500,2500,1800,
,24/10/2016,56.9,Apple,1500,2500,1800,
,25/10/2016,27,Apple,1500,3200,2800,
,26/10/2016,73.9,Apple,1500,3500,2500,
,27/10/2016,117.4,Apple,1500,3000,2500,
Haldwani,02/10/2016,5.1,Other,300,8000,550,
,03/10/2016,22.5,Other,3000,9000,6000,
,08/10/2016,45, ,NR,NR,NR,
,10/10/2016,59.2,Other,300,800,550,
,11/10/2016,14.4,Other,3000,8000,3641,
,12/10/2016,3,Other,3000,8000,3783,
,14/10/2016,4.8,Other,2000,7000,3046,
,16/10/2016,23, ,NR,NR,NR,
,18/10/2016,19.7,Other,300,800,550,
,19/10/2016,4.4,Other,300,800,550,
,20/10/2016,5.2,Other,300,800,550,
,21/10/2016,10, ,NR,NR,NR,
,23/10/2016,5.5,Other,500,8000,650,
,24/10/2016,17.3,Other,300,800,550,
,25/10/2016,14.7, ,NR,NR,NR,
,26/10/2016,14.5, ,NR,NR,NR,
,28/10/2016,32.9, ,NR,NR,NR,
,30/10/2016,14.3, ,NR,NR,NR,
,31/10/2016,29,Other,3000,9000,6000,
Haridwar Union,01/10/2016,5.6,Other,1000,6000,3000,
,03/10/2016,4.5,Other,1000,6000,2500,
,04/10/2016,5.5,Other,1000,6000,3000,
,05/10/2016,4.5,Other,2000,6500,3500,
,06/10/2016,3.6,Other,2000,6500,3500,
,07/10/2016,4.5,Other,2000,6000,4000,
,08/10/2016,17,Other,1000,6000,4000,
,09/10/2016,10.5,Other,1000,5000,3000,
,10/10/2016,9,Other,1000,6000,3000,
,11/10/2016,7.9,Other,2000,7000,5000,
,12/10/2016,19.5,Other,1500,6500,4500,
,13/10/2016,4.2,Other,1000,6000,4000,
,14/10/2016,4,Other,2000,7000,4000,
,16/10/2016,21,Other,1000,7000,5000,
,17/10/2016,12.5,Other,2000,7000,4500,
,18/10/2016,5.5,Other,1500,6000,3000,
