Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Rajula,01/05/2017,7,Arhar Dal(Tur),3455,3800,3628,
,02/05/2017,4,Arhar Dal(Tur),2750,3780,3265,
,03/05/2017,2,Arhar Dal(Tur),2750,3600,3175,
,04/05/2017,5,Arhar Dal(Tur),2860,3795,3328,
,05/05/2017,2,Arhar Dal(Tur),3300,3650,3475,
,06/05/2017,1,Arhar Dal(Tur),3705,3705,3705,
,09/05/2017,1,Arhar Dal(Tur),3500,3500,3500,
,10/05/2017,2,Arhar Dal(Tur),2500,3505,3003,
,11/05/2017,2,Arhar Dal(Tur),2250,2500,2375,
,12/05/2017,2,Arhar Dal(Tur),3250,3505,3378,
,13/05/2017,11,Arhar Dal(Tur),2350,3450,2900,
,15/05/2017,14,Arhar Dal(Tur),2500,3455,2978,
,16/05/2017,2,Arhar Dal(Tur),3225,3615,3420,
,17/05/2017,14,Arhar Dal(Tur),2510,3775,3143,
,18/05/2017,6,Arhar Dal(Tur),3250,3325,3288,
,19/05/2017,2,Arhar Dal(Tur),3400,3555,3478,
,22/05/2017,6,Arhar Dal(Tur),2500,3560,3030,
,23/05/2017,4,Arhar Dal(Tur),2450,3625,3038,
,24/05/2017,7,Arhar Dal(Tur),2455,3570,3013,
,25/05/2017,2,Arhar Dal(Tur),3105,3600,3353,
,26/05/2017,13,Arhar Dal(Tur),2800,3905,3353,
,27/05/2017,10,Arhar Dal(Tur),3105,3750,3428,
,29/05/2017,2,Arhar Dal(Tur),2500,3755,3128,
,30/05/2017,21,Arhar Dal(Tur),3005,3600,3303,
,31/05/2017,3,Arhar Dal(Tur),2825,3730,3278,
