Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Rajula,01/09/2017,2,Arhar Dal(Tur),3700,3755,3728,
,06/09/2017,7,Arhar Dal(Tur),3555,3705,3630,
,07/09/2017,2,Arhar Dal(Tur),3540,3650,3595,
,08/09/2017,2,Arhar Dal(Tur),3250,3250,3250,
,09/09/2017,1,Arhar Dal(Tur),3515,3515,3515,
,12/09/2017,9,Arhar Dal(Tur),3480,3585,3533,
,13/09/2017,7,Arhar Dal(Tur),3415,3430,3423,
,14/09/2017,1,Arhar Dal(Tur),3550,3550,3550,
,16/09/2017,2,Arhar Dal(Tur),3125,3400,3263,
,20/09/2017,2,Arhar Dal(Tur),3255,3500,3378,
,21/09/2017,2,Arhar Dal(Tur),2905,3750,3328,
,22/09/2017,4,Arhar Dal(Tur),3500,3560,3530,
,23/09/2017,3,Arhar Dal(Tur),3520,3520,3520,
,28/09/2017,1,Arhar Dal(Tur),2000,2000,2000,
,29/09/2017,4,Arhar Dal(Tur),3285,3420,3353,
Sanad,05/09/2017,0.01,Arhar Dal(Tur),3500,3500,3500,
,06/09/2017,0.01,Arhar Dal(Tur),3500,3500,3500,
,07/09/2017,0.01,Arhar Dal(Tur),3375,3555,3465,
,16/09/2017,0.01,Arhar Dal(Tur),3315,3555,3435,
,20/09/2017,0.01,Arhar Dal(Tur),3100,3165,3132,
,21/09/2017,0.02,Arhar Dal(Tur),2710,3300,3005,
,22/09/2017,0.03,Arhar Dal(Tur),3200,3300,3250,
,27/09/2017,0.04,Arhar Dal(Tur),3055,3055,3055,
,28/09/2017,0.01,Arhar Dal(Tur),3005,3005,3005,
