Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Arasikere,05/12/2017,2,Arhar Dal(Tur),6000,6000,6000,
,06/12/2017,3,Arhar Dal(Tur),5000,6300,6000,
Bangalore,01/12/2017,85,Arhar Dal(Tur),5300,7000,6150,
,04/12/2017,162,Arhar Dal(Tur),5300,7000,6150,
,05/12/2017,170,Arhar Dal(Tur),5300,7000,6150,
,06/12/2017,65,Arhar Dal(Tur),5300,7000,6150,
,07/12/2017,73,Arhar Dal(Tur),5300,7000,6150,
,08/12/2017,95,Arhar Dal(Tur),5300,7000,6150,
,11/12/2017,536,Arhar Dal(Tur),5300,7000,6150,
,12/12/2017,175,Arhar Dal(Tur),5300,7000,6150,
,13/12/2017,155,Arhar Dal(Tur),5300,7000,6150,
,14/12/2017,201,Arhar Dal(Tur),5300,7000,6150,
,15/12/2017,232,Arhar Dal(Tur),5300,7000,6150,
,16/12/2017,164,Arhar Dal(Tur),5300,7000,6150,
,18/12/2017,168,Arhar Dal(Tur),5300,7000,6150,
,19/12/2017,145,Arhar Dal(Tur),5300,7000,6150,
,20/12/2017,76,Arhar Dal(Tur),5300,7000,6150,
,21/12/2017,107,Arhar Dal(Tur),5300,7000,6150,
,22/12/2017,139,Arhar Dal(Tur),5300,7000,6150,
,23/12/2017,136,Arhar Dal(Tur),5300,7000,6150,
,26/12/2017,401,Arhar Dal(Tur),5300,7000,6150,
,27/12/2017,42,Arhar Dal(Tur),5300,7000,6150,
,28/12/2017,110,Arhar Dal(Tur),5400,7000,6200,
,29/12/2017,114,Arhar Dal(Tur),5400,7000,6200,
,30/12/2017,104,Arhar Dal(Tur),5400,7000,6200,
Bangarpet,04/12/2017,9,Arhar Dal(Tur),5800,6800,6200,
,12/12/2017,3,Arhar Dal(Tur),5800,6500,6050,
,22/12/2017,5,Arhar Dal(Tur),5750,6400,6000,
,27/12/2017,5,Arhar Dal(Tur),6000,7200,6800,
,29/12/2017,5,Arhar Dal(Tur),6000,7200,6800,
Bhadravathi,30/12/2017,1,Arhar Dal(Tur),5800,5800,5800,
Hassan,13/12/2017,12,Arhar Dal(Tur),6300,6405,6405,
,27/12/2017,8,Arhar Dal(Tur),6300,6333,6300,
,28/12/2017,5,Arhar Dal(Tur),6000,6300,6300,
,30/12/2017,4,Arhar Dal(Tur),7048,7048,7048,
Haveri,07/12/2017,9,Arhar Dal(Tur),5000,5400,5200,
,21/12/2017,7,Arhar Dal(Tur),5345,5345,5345,
Hospet,30/12/2017,1,Arhar Dal(Tur),4501,4501,4501,
Kolar,01/12/2017,9,Arhar Dal(Tur),5000,5100,5037,
,12/12/2017,1,Arhar Dal(Tur),6000,6300,6075,
Mysore (Bandipalya),01/12/2017,22,Arhar Dal(Tur),5400,6800,6100,
,04/12/2017,36,Arhar Dal(Tur),5400,6800,6100,
,05/12/2017,16,Arhar Dal(Tur),5400,6800,6100,
,06/12/2017,15,Arhar Dal(Tur),5400,6800,6100,
,11/12/2017,48,Arhar Dal(Tur),5800,6800,6300,
,12/12/2017,75,Arhar Dal(Tur),5800,6800,6300,
,13/12/2017,20,Arhar Dal(Tur),5800,6800,6300,
,14/12/2017,24,Arhar Dal(Tur),5800,6800,6300,
,15/12/2017,8,Arhar Dal(Tur),5800,6800,6300,
,16/12/2017,30,Arhar Dal(Tur),5800,6800,6300,
,19/12/2017,126,Arhar Dal(Tur),5400,6800,6100,
,20/12/2017,15,Arhar Dal(Tur),6100,6800,6150,
,21/12/2017,10,Arhar Dal(Tur),5100,6800,6150,
,22/12/2017,15,Arhar Dal(Tur),5400,6800,6100,
,23/12/2017,20,Arhar Dal(Tur),5400,6800,6100,
,26/12/2017,15,Arhar Dal(Tur),5400,6800,6100,
,27/12/2017,18,Arhar Dal(Tur),5400,6800,6100,
,28/12/2017,10,Arhar Dal(Tur),5400,6800,6100,
,29/12/2017,30,Arhar Dal(Tur),5400,6800,6100,
Shimoga,01/12/2017,2,Arhar Dal(Tur),5800,6400,6100,
,04/12/2017,2,Arhar Dal(Tur),5800,6500,6150,
,05/12/2017,4,Arhar Dal(Tur),5700,6500,6100,
,07/12/2017,1,Arhar Dal(Tur),5800,6400,6100,
,08/12/2017,4,Arhar Dal(Tur),5800,6400,6100,
,11/12/2017,12,Arhar Dal(Tur),5900,6200,6050,
,12/12/2017,1,Arhar Dal(Tur),5900,6200,6050,
,15/12/2017,3,Arhar Dal(Tur),5500,6200,5850,
,16/12/2017,2,Arhar Dal(Tur),5500,6200,5850,
,18/12/2017,2,Arhar Dal(Tur),5500,6400,5950,
,20/12/2017,2,Arhar Dal(Tur),5400,6200,5800,
,22/12/2017,1,Arhar Dal(Tur),5800,6400,6100,
,26/12/2017,7,Arhar Dal(Tur),6300,6500,6400,
,27/12/2017,2,Arhar Dal(Tur),6300,6500,6400,
,28/12/2017,8,Arhar Dal(Tur),5800,6800,6300,
,30/12/2017,4,Arhar Dal(Tur),6200,7000,6600,
