Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Arasikere,12/02/2018,25,Arhar Dal(Tur),3550,3550,3550,
,16/02/2018,2,Arhar Dal(Tur),6500,6500,6500,
,23/02/2018,21,Arhar Dal(Tur),3450,3450,3450,
,28/02/2018,2,Arhar Dal(Tur),6650,6650,6650,
Bangalore,01/02/2018,92,Arhar Dal(Tur),5400,7100,6250,
,02/02/2018,145,Arhar Dal(Tur),5400,7100,6250,
,03/02/2018,157,Arhar Dal(Tur),5400,7100,6250,
,05/02/2018,351,Arhar Dal(Tur),5400,7100,6250,
,06/02/2018,231,Arhar Dal(Tur),5400,7100,6250,
,07/02/2018,192,Arhar Dal(Tur),5400,7100,6250,
,08/02/2018,119,Arhar Dal(Tur),5400,7100,6250,
,09/02/2018,224,Arhar Dal(Tur),5400,7100,6250,
,12/02/2018,506,Arhar Dal(Tur),5400,7100,6250,
,14/02/2018,542,Arhar Dal(Tur),5400,7100,6250,
,15/02/2018,205,Arhar Dal(Tur),5200,7000,6100,
,16/02/2018,98,Arhar Dal(Tur),5200,7000,6100,
,17/02/2018,94,Arhar Dal(Tur),5200,7000,6100,
,19/02/2018,302,Arhar Dal(Tur),5200,7000,6100,
,20/02/2018,297,Arhar Dal(Tur),5200,7100,6150,
,21/02/2018,304,Arhar Dal(Tur),5200,7100,6150,
,22/02/2018,270,Arhar Dal(Tur),5200,7100,6150,
,23/02/2018,165,Arhar Dal(Tur),5200,7100,6150,
,24/02/2018,200,Arhar Dal(Tur),5200,7100,6150,
,26/02/2018,171,Arhar Dal(Tur),5200,7100,6150,
,27/02/2018,247,Arhar Dal(Tur),5200,7100,6150,
,28/02/2018,220,Arhar Dal(Tur),5200,7100,6150,
Bangarpet,01/02/2018,12,Arhar Dal(Tur),5750,6400,6000,
,12/02/2018,3,Arhar Dal(Tur),5800,6800,6000,
,16/02/2018,10,Arhar Dal(Tur),5800,6800,6000,
,20/02/2018,8,Arhar Dal(Tur),6000,6800,6300,
,23/02/2018,10,Arhar Dal(Tur),6000,6800,6300,
,26/02/2018,5,Arhar Dal(Tur),6000,6800,6300,
,27/02/2018,14,Arhar Dal(Tur),6000,6800,6300,
Chickkaballapura,21/02/2018,7,Arhar Dal(Tur),6200,6900,6550,
Hassan,06/02/2018,6,Arhar Dal(Tur),6600,6930,6930,
,23/02/2018,5,Arhar Dal(Tur),6352,6930,6930,
,27/02/2018,14,Arhar Dal(Tur),6200,6300,6300,
Haveri,08/02/2018,19,Arhar Dal(Tur),4430,4850,4550,
,15/02/2018,5,Arhar Dal(Tur),5450,5700,5600,
Hospet,20/02/2018,1,Arhar Dal(Tur),4001,4001,4001,
Kadur,15/02/2018,16,Arhar Dal(Tur),3400,3400,3400,
Kolar,08/02/2018,3,Arhar Dal(Tur),6000,6100,6050,
,14/02/2018,1,Arhar Dal(Tur),6000,6100,6050,
Mysore (Bandipalya),01/02/2018,30,Arhar Dal(Tur),5600,6800,6200,
,02/02/2018,72,Arhar Dal(Tur),5600,6800,6200,
,03/02/2018,38,Arhar Dal(Tur),5600,6800,6200,
,05/02/2018,20,Arhar Dal(Tur),5400,7400,6400,
,06/02/2018,93,Arhar Dal(Tur),5400,7400,6400,
,07/02/2018,35,Arhar Dal(Tur),5400,7400,6400,
,08/02/2018,29,Arhar Dal(Tur),5400,7400,6400,
,09/02/2018,39,Arhar Dal(Tur),5400,7400,6400,
,12/02/2018,78,Arhar Dal(Tur),5400,7200,6300,
,13/02/2018,83,Arhar Dal(Tur),5400,7200,6300,
,14/02/2018,83,Arhar Dal(Tur),5400,7200,6300,
,15/02/2018,28,Arhar Dal(Tur),5400,7200,6300,
,16/02/2018,15,Arhar Dal(Tur),5400,7200,6300,
,17/02/2018,2,Arhar Dal(Tur),5400,7200,6300,
,20/02/2018,24,Arhar Dal(Tur),6000,7400,6700,
,21/02/2018,70,Arhar Dal(Tur),6000,7400,6700,
,22/02/2018,2,Arhar Dal(Tur),6000,7400,6700,
,23/02/2018,39,Arhar Dal(Tur),6000,7400,6700,
,24/02/2018,16,Arhar Dal(Tur),6000,7400,6700,
,26/02/2018,28,Arhar Dal(Tur),6000,7400,6700,
,27/02/2018,55,Arhar Dal(Tur),5600,7400,6500,
,28/02/2018,11,Arhar Dal(Tur),5600,7400,6500,
Shimoga,01/02/2018,1,Arhar Dal(Tur),5800,7000,6400,
,02/02/2018,13,Arhar Dal(Tur),5800,7000,6400,
,03/02/2018,3,Arhar Dal(Tur),5800,7000,6400,
,05/02/2018,4,Arhar Dal(Tur),5800,7000,6400,
,06/02/2018,2,Arhar Dal(Tur),5800,7000,6400,
,07/02/2018,1,Arhar Dal(Tur),5800,6400,6100,
,08/02/2018,4,Arhar Dal(Tur),5800,6400,6100,
,09/02/2018,5,Arhar Dal(Tur),5800,6400,6100,
,12/02/2018,9,Arhar Dal(Tur),5800,6800,6300,
,14/02/2018,5,Arhar Dal(Tur),5800,7200,6500,
,20/02/2018,1,Arhar Dal(Tur),5800,7200,6500,
,21/02/2018,1,Arhar Dal(Tur),5800,7200,6500,
,22/02/2018,7,Arhar Dal(Tur),6000,7200,6600,
,23/02/2018,1,Arhar Dal(Tur),6000,7200,6600,
,24/02/2018,2,Arhar Dal(Tur),5500,7800,6650,
,26/02/2018,2,Arhar Dal(Tur),5800,7800,6800,
,27/02/2018,1,Arhar Dal(Tur),5700,7800,6750,
,28/02/2018,2,Arhar Dal(Tur),5600,7800,6700,
