Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Athani,20/05/2020,7,Arhar Dal(Tur),7300,7300,7300,
Bangalore,02/05/2020,277,Arhar Dal(Tur),8000,9500,8750,
,05/05/2020,203,Arhar Dal(Tur),7800,9500,8650,
,07/05/2020,127,Arhar Dal(Tur),8400,9500,8950,
,12/05/2020,320,Arhar Dal(Tur),7700,9600,8650,
,14/05/2020,200,Arhar Dal(Tur),7700,9600,8650,
,16/05/2020,169,Arhar Dal(Tur),7700,9600,8650,
,19/05/2020,355,Arhar Dal(Tur),7700,9600,8650,
,21/05/2020,171,Arhar Dal(Tur),7600,9800,8700,
,26/05/2020,202,Arhar Dal(Tur),7600,9800,8700,
,28/05/2020,83,Arhar Dal(Tur),8000,9800,8900,
,30/05/2020,119,Arhar Dal(Tur),8000,9800,8900,
Bangarpet,02/05/2020,10,Arhar Dal(Tur),8000,10000,9000,
,20/05/2020,3,Arhar Dal(Tur),8500,10000,9000,
Bellary,02/05/2020,13, ,NR,NR,NR,
,04/05/2020,24, ,NR,NR,NR,
,05/05/2020,42, ,NR,NR,NR,
,06/05/2020,58, ,NR,NR,NR,
,07/05/2020,17, ,NR,NR,NR,
,08/05/2020,12, ,NR,NR,NR,
,11/05/2020,18, ,NR,NR,NR,
,12/05/2020,7, ,NR,NR,NR,
,13/05/2020,12, ,NR,NR,NR,
,14/05/2020,9, ,NR,NR,NR,
,15/05/2020,16, ,NR,NR,NR,
,18/05/2020,23, ,NR,NR,NR,
,19/05/2020,9, ,NR,NR,NR,
,20/05/2020,7, ,NR,NR,NR,
,21/05/2020,13, ,NR,NR,NR,
,23/05/2020,2, ,NR,NR,NR,
,26/05/2020,3, ,NR,NR,NR,
,27/05/2020,7, ,NR,NR,NR,
,28/05/2020,3, ,NR,NR,NR,
,29/05/2020,51, ,NR,NR,NR,
Bhadravathi,11/05/2020,2,Arhar Dal(Tur),8100,8400,8250,
,16/05/2020,2,Arhar Dal(Tur),7900,7900,7900,
Hanagal,02/05/2020,25,Arhar Dal(Tur),7777,7777,7777,
,28/05/2020,26,Arhar Dal(Tur),7150,7150,7150,
Hassan,12/05/2020,50,Arhar Dal(Tur),9550,9550,9550,
,22/05/2020,3,Arhar Dal(Tur),8000,9230,8000,
,29/05/2020,10,Arhar Dal(Tur),8700,8800,8800,
Mysore (Bandipalya),02/05/2020,52,Arhar Dal(Tur),8600,10000,9300,
,04/05/2020,10,Arhar Dal(Tur),8000,9800,8900,
,05/05/2020,88,Arhar Dal(Tur),8000,9800,8900,
,06/05/2020,5,Arhar Dal(Tur),8000,9800,8900,
,08/05/2020,6,Arhar Dal(Tur),8000,9800,8900,
,11/05/2020,41,Arhar Dal(Tur),8000,9600,8800,
,12/05/2020,10,Arhar Dal(Tur),8000,9600,8800,
,13/05/2020,15,Arhar Dal(Tur),8000,9800,8900,
,14/05/2020,26,Arhar Dal(Tur),8000,9600,8800,
,15/05/2020,7,Arhar Dal(Tur),8000,9600,8800,
,16/05/2020,38,Arhar Dal(Tur),8000,9600,8800,
,18/05/2020,14,Arhar Dal(Tur),8000,9600,8800,
,19/05/2020,52,Arhar Dal(Tur),7800,9200,8500,
,20/05/2020,15,Arhar Dal(Tur),7800,9200,8500,
,21/05/2020,48,Arhar Dal(Tur),7600,9400,8500,
,22/05/2020,25,Arhar Dal(Tur),7600,9400,8500,
,23/05/2020,13,Arhar Dal(Tur),7600,9400,8500,
,26/05/2020,14,Arhar Dal(Tur),7600,9400,8500,
,27/05/2020,32,Arhar Dal(Tur),7600,9600,8600,
,28/05/2020,5,Arhar Dal(Tur),7600,9600,8600,
,30/05/2020,7,Arhar Dal(Tur),7600,9600,8600,
