Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Baktara,16/10/2017,0.55, ,NR,NR,NR,
Berasia,04/10/2017,1, ,NR,NR,NR,
,05/10/2017,1.1, ,NR,NR,NR,
,06/10/2017,1, ,NR,NR,NR,
,07/10/2017,0.5, ,NR,NR,NR,
,09/10/2017,0.5, ,NR,NR,NR,
,10/10/2017,0.5, ,NR,NR,NR,
,11/10/2017,0.5, ,NR,NR,NR,
,12/10/2017,1, ,NR,NR,NR,
,13/10/2017,0.4, ,NR,NR,NR,
Betul,03/10/2017,8, ,NR,NR,NR,
,04/10/2017,5, ,NR,NR,NR,
,06/10/2017,4, ,NR,NR,NR,
,07/10/2017,3, ,NR,NR,NR,
,09/10/2017,2, ,NR,NR,NR,
,10/10/2017,8, ,NR,NR,NR,
,11/10/2017,1, ,NR,NR,NR,
,12/10/2017,3, ,NR,NR,NR,
,16/10/2017,9, ,NR,NR,NR,
,21/10/2017,1, ,NR,NR,NR,
,23/10/2017,2, ,NR,NR,NR,
,25/10/2017,0.1, ,NR,NR,NR,
,26/10/2017,0.1, ,NR,NR,NR,
Gautampura,31/10/2017,1.1, ,NR,NR,NR,
Sanawad,06/10/2017,0.5, ,NR,NR,NR,
,09/10/2017,125.2, ,NR,NR,NR,
,16/10/2017,0.1, ,NR,NR,NR,
,23/10/2017,0.2, ,NR,NR,NR,
,26/10/2017,58.7, ,NR,NR,NR,
,30/10/2017,0.1, ,NR,NR,NR,
Umariya,28/10/2017,0.6, ,NR,NR,NR,
Vidisha,07/10/2017,1, ,NR,NR,NR,
,09/10/2017,1, ,NR,NR,NR,
,10/10/2017,1, ,NR,NR,NR,
,11/10/2017,1, ,NR,NR,NR,
,23/10/2017,1, ,NR,NR,NR,
,27/10/2017,1, ,NR,NR,NR,
,30/10/2017,1, ,NR,NR,NR,
,31/10/2017,1, ,NR,NR,NR,
