Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amarwda,12/02/2020,12.1,Arhar Dal(Tur),3910,4150,4030,
,20/02/2020,26.7,Arhar Dal(Tur),3985,4100,4042,
,23/02/2020,34.8,Arhar Dal(Tur),3900,4050,3975,
,27/02/2020,24,Arhar Dal(Tur),3690,3710,3700,
Ambaha,06/02/2020,0.1, ,NR,NR,NR,
,07/02/2020,0.1, ,NR,NR,NR,
,26/02/2020,0.1, ,NR,NR,NR,
Berasia,13/02/2020,0.4,Arhar Dal(Tur),4200,4200,4200,
Betul,06/02/2020,0.2, ,NR,NR,NR,
,07/02/2020,0.1, ,NR,NR,NR,
,13/02/2020,2.8,Arhar Dal(Tur),4151,4501,4425,
,14/02/2020,0.4,Arhar Dal(Tur),4601,4801,4601,
,15/02/2020,1.5,Arhar Dal(Tur),4400,4600,4575,
,24/02/2020,6.5,Arhar Dal(Tur),3550,4553,4500,
,25/02/2020,2.7,Arhar Dal(Tur),4530,4621,4551,
,26/02/2020,1.8,Arhar Dal(Tur),3401,4660,4631,
,27/02/2020,6,Arhar Dal(Tur),3615,4670,4619,
,28/02/2020,2,Arhar Dal(Tur),3200,4620,4500,
,29/02/2020,4.3,Arhar Dal(Tur),2600,4691,4600,
Obedullaganj,05/02/2020,0.2, ,NR,NR,NR,
,10/02/2020,0.7,Arhar Dal(Tur),3855,3855,3855,
,11/02/2020,1,Arhar Dal(Tur),4098,4098,4098,
,13/02/2020,0.1,Arhar Dal(Tur),3975,3975,3975,
,14/02/2020,1,Arhar Dal(Tur),4541,4861,4861,
,18/02/2020,1.2,Arhar Dal(Tur),4000,4000,4000,
,19/02/2020,0.6,Arhar Dal(Tur),4800,4950,4900,
,26/02/2020,0.3,Arhar Dal(Tur),4200,4220,4220,
,28/02/2020,0.4,Arhar Dal(Tur),4355,4355,4355,
Pohari,01/02/2020,4, ,NR,NR,NR,
Sanawad,03/02/2020,1.1, ,NR,NR,NR,
,06/02/2020,0.2, ,NR,NR,NR,
,07/02/2020,0.1, ,NR,NR,NR,
,08/02/2020,0.9,Arhar Dal(Tur),4201,4301,4301,
,10/02/2020,0.2,Arhar Dal(Tur),4175,4175,4175,
,12/02/2020,0.5, ,NR,NR,NR,
,13/02/2020,0.1,Arhar Dal(Tur),4326,4741,4741,
,14/02/2020,0.3,Arhar Dal(Tur),4326,4741,4741,
,19/02/2020,1.1,Arhar Dal(Tur),3575,4800,4250,
,20/02/2020,1,Arhar Dal(Tur),4395,4855,4489,
,22/02/2020,0.1,Arhar Dal(Tur),3905,4700,4050,
,24/02/2020,0.4,Arhar Dal(Tur),3800,4501,4501,
,25/02/2020,3,Arhar Dal(Tur),3816,4055,4055,
,26/02/2020,0.2,Arhar Dal(Tur),3155,4205,4205,
,27/02/2020,1.8,Arhar Dal(Tur),4300,4501,4355,
,28/02/2020,0.3,Arhar Dal(Tur),4200,4585,4300,
Umariya,28/02/2020,7.35,Arhar Dal(Tur),3900,4000,3950,
,29/02/2020,6.78,Arhar Dal(Tur),3900,4000,3950,
Vidisha,07/02/2020,0.6,Arhar Dal(Tur),3800,4300,3950,
,17/02/2020,0.9,Arhar Dal(Tur),3900,4200,4120,
,18/02/2020,0.6,Arhar Dal(Tur),3980,4205,4150,
,19/02/2020,0.6,Arhar Dal(Tur),3720,3800,3780,
