Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Kolhapur(Laxmipuri),01/09/2017,2,Other,6400,6800,6600,
,04/09/2017,1,Other,6400,6800,6600,
,06/09/2017,1,Other,6400,6800,6600,
,07/09/2017,1,Other,6400,6800,6600,
,08/09/2017,1,Other,6400,6800,6600,
,09/09/2017,2,Other,6400,6800,6600,
,11/09/2017,1,Other,6400,6800,6600,
,12/09/2017,1,Other,6400,6800,6600,
,13/09/2017,1,Other,6400,6800,6600,
,14/09/2017,2,Other,6400,6800,6600,
,15/09/2017,2,Other,6400,6800,6600,
,16/09/2017,2,Other,6400,6800,6600,
,18/09/2017,2,Other,6400,6800,6600,
,19/09/2017,2,Other,6400,6800,6600,
,20/09/2017,2,Other,6400,6800,6600,
,22/09/2017,2,Other,6400,6800,6600,
,23/09/2017,2,Other,6400,6800,6600,
,25/09/2017,2,Other,6400,6800,6600,
,26/09/2017,2,Other,6400,6800,6600,
,27/09/2017,2,Other,6400,6800,6600,
,28/09/2017,2,Other,6400,6800,6600,
Mumbai,01/09/2017,135,Other,4500,6800,5650,
,02/09/2017,184,Other,4500,6800,5650,
,04/09/2017,76,Other,4500,6800,5650,
,06/09/2017,367,Other,4500,6800,5650,
,07/09/2017,345,Other,4500,6800,5650,
,08/09/2017,174,Other,4500,6800,5650,
,09/09/2017,242,Other,4500,6800,5650,
,12/09/2017,302,Other,4500,6800,5650,
,13/09/2017,287,Other,4500,6600,5550,
,14/09/2017,256,Other,4500,6600,5550,
,15/09/2017,300,Other,4500,6600,5550,
,16/09/2017,165,Other,4500,6600,5550,
,18/09/2017,274,Other,4500,6600,5550,
,19/09/2017,547,Other,4500,6600,5550,
,20/09/2017,115,Other,4500,6600,5550,
,21/09/2017,254,Other,4500,6600,5550,
,22/09/2017,237,Other,4500,6600,5550,
,23/09/2017,276,Other,4500,6600,5550,
,26/09/2017,300,Other,4500,6600,5550,
,28/09/2017,122,Other,4800,6900,5850,
,29/09/2017,160,Other,4800,6900,5850,
