Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Mumbai,01/08/2019,119,Other,7200,9300,8100,
,02/08/2019,174,Other,7200,9300,8100,
,05/08/2019,138,Other,7200,9300,8100,
,06/08/2019,249,Other,7200,9300,8100,
,07/08/2019,77,Other,7200,9300,8100,
,08/08/2019,186,Other,7200,9300,8100,
,09/08/2019,246,Other,7200,9300,8100,
,10/08/2019,229,Other,7200,9300,8100,
,12/08/2019,273,Other,7200,9300,8100,
,14/08/2019,317,Other,7200,9300,8100,
,16/08/2019,378,Other,7200,9300,8100,
,17/08/2019,404,Other,7200,9300,8100,
,19/08/2019,193,Other,7200,9300,8100,
,20/08/2019,365,Other,7500,9000,8000,
,22/08/2019,212,Other,7500,9000,8000,
,23/08/2019,194,Other,7500,9000,8700,
,26/08/2019,210,Other,7500,9000,8000,
,27/08/2019,406,Other,7500,9000,8000,
,28/08/2019,97,Other,7500,9000,8000,
,29/08/2019,131,Other,7500,9000,8000,
,30/08/2019,202,Other,7500,9000,8000,
,31/08/2019,300,Other,7500,9000,8000,
