Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Mumbai,01/07/2019,147,Other,7000,9500,8000,
,02/07/2019,196,Other,7000,9500,8000,
,03/07/2019,159,Other,7000,9500,8000,
,04/07/2019,154,Other,7000,9500,8000,
,05/07/2019,134,Other,7000,9500,8000,
,06/07/2019,198,Other,7000,9500,8000,
,08/07/2019,196,Other,7000,9500,8000,
,09/07/2019,401,Other,7000,9500,8000,
,10/07/2019,173,Other,7000,9500,8000,
,11/07/2019,219,Other,7000,9500,8000,
,13/07/2019,341,Other,7000,9500,8250,
,15/07/2019,194,Other,7000,9500,8000,
,17/07/2019,158,Other,7000,9500,8500,
,18/07/2019,176,Other,7000,9500,8000,
,19/07/2019,146,Other,7000,9500,8000,
,20/07/2019,164,Other,7000,9500,8000,
,22/07/2019,174,Other,7200,9300,8100,
,23/07/2019,277,Other,7200,9300,8100,
,24/07/2019,79,Other,7200,9300,8100,
,25/07/2019,174,Other,7200,9300,8100,
,26/07/2019,77,Other,7200,9300,8100,
,27/07/2019,63,Other,7200,9300,8100,
,29/07/2019,217,Other,7200,9300,8100,
,30/07/2019,281,Other,7200,9300,8100,
,31/07/2019,118,Other,7200,9300,8100,
