Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Mumbai,01/11/2019,177,Other,7000,9000,7500,
,02/11/2019,228,Other,7000,9000,7500,
,04/11/2019,208,Other,7000,9000,7500,
,05/11/2019,504,Other,7000,9000,7500,
,06/11/2019,132,Other,7000,9000,7500,
,07/11/2019,257,Other,7000,9000,7500,
,08/11/2019,157,Other,7000,9000,7500,
,09/11/2019,222,Other,7000,9000,7500,
,11/11/2019,186,Other,7000,9000,7500,
,12/11/2019,297,Other,7000,9000,7500,
,13/11/2019,190,Other,7000,9000,7500,
,14/11/2019,160,Other,7000,9000,7500,
,15/11/2019,115,Other,7000,9000,7500,
,16/11/2019,191,Other,7000,9000,7500,
,18/11/2019,210,Other,7000,9000,7500,
,19/11/2019,378,Other,7000,9000,7500,
,20/11/2019,159,Other,7000,9000,7500,
,21/11/2019,60,Other,7000,9000,7500,
,22/11/2019,134,Other,7200,9000,8500,
,23/11/2019,239,Other,7200,9000,8500,
,25/11/2019,71,Other,7200,9000,8500,
,26/11/2019,242,Other,7200,9000,8500,
,27/11/2019,90,Other,7200,9000,8500,
,28/11/2019,175,Other,7200,9000,8500,
,29/11/2019,132,Other,7200,9000,8500,
,30/11/2019,191,Other,7200,9000,8500,
