Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bareilly,05/12/2016,26.5,Arhar Dal(Tur),9400,9500,9450,
,08/12/2016,27,Arhar Dal(Tur),NR,NR,9400,
,09/12/2016,36.8,Arhar Dal(Tur),NR,NR,9400,
,17/12/2016,9,Arhar Dal(Tur),NR,NR,8700,
,19/12/2016,2.2,Arhar Dal(Tur),NR,NR,8800,
,20/12/2016,34,Arhar Dal(Tur),NR,NR,8825,
,21/12/2016,5.2,Arhar Dal(Tur),NR,NR,8850,
,22/12/2016,4,Arhar Dal(Tur),NR,NR,8850,
,24/12/2016,7,Arhar Dal(Tur),NR,NR,8825,
,26/12/2016,28.4,Arhar Dal(Tur),NR,NR,8850,
,27/12/2016,3.3,Arhar Dal(Tur),NR,NR,8850,
,28/12/2016,27.4,Arhar Dal(Tur),NR,NR,8825,
Bijnaur,05/12/2016,0.3,Arhar Dal(Tur),10000,10050,10020,
,08/12/2016,0.2,Arhar Dal(Tur),NR,NR,10025,
,09/12/2016,0.1,Arhar Dal(Tur),NR,NR,10020,
,13/12/2016,0.3,Arhar Dal(Tur),NR,NR,9500,
,15/12/2016,0.2,Arhar Dal(Tur),NR,NR,9510,
,16/12/2016,0.1,Arhar Dal(Tur),NR,NR,9520,
,17/12/2016,0.3,Arhar Dal(Tur),NR,NR,9500,
,19/12/2016,0.1,Arhar Dal(Tur),NR,NR,9510,
,20/12/2016,0.2,Arhar Dal(Tur),NR,NR,9530,
,25/12/2016,0.3,Arhar Dal(Tur),NR,NR,9510,
,26/12/2016,0.3,Arhar Dal(Tur),NR,NR,9510,
,27/12/2016,0.2,Arhar Dal(Tur),NR,NR,9520,
,28/12/2016,0.2,Arhar Dal(Tur),NR,NR,9520,
,29/12/2016,0.2,Arhar Dal(Tur),NR,NR,9330,
Golagokarnath,10/12/2016,10,Arhar Dal(Tur),NR,NR,9950,
,11/12/2016,10,Arhar Dal(Tur),9700,9800,9750,
,12/12/2016,5,Arhar Dal(Tur),9750,9830,9800,
,16/12/2016,7,Arhar Dal(Tur),NR,NR,10000,
,18/12/2016,10,Arhar Dal(Tur),NR,NR,9920,
,19/12/2016,5,Arhar Dal(Tur),NR,NR,9920,
,24/12/2016,5,Arhar Dal(Tur),NR,NR,9950,
,27/12/2016,10,Arhar Dal(Tur),NR,NR,9955,
,31/12/2016,7,Arhar Dal(Tur),NR,NR,9950,
Maudaha,03/12/2016,1,Arhar Dal(Tur),9300,9700,9500,
,14/12/2016,1,Arhar Dal(Tur),NR,NR,9500,
,30/12/2016,1,Arhar Dal(Tur),NR,NR,9550,
Safdarganj,19/12/2016,4,Arhar Dal(Tur),NR,NR,10100,
,20/12/2016,6,Arhar Dal(Tur),NR,NR,10100,
,21/12/2016,4,Arhar Dal(Tur),NR,NR,10100,
,22/12/2016,5,Arhar Dal(Tur),NR,NR,10150,
,23/12/2016,6,Arhar Dal(Tur),NR,NR,10150,
,24/12/2016,4,Arhar Dal(Tur),NR,NR,10150,
,26/12/2016,5,Arhar Dal(Tur),NR,NR,10150,
,27/12/2016,4,Arhar Dal(Tur),NR,NR,10100,
,28/12/2016,3,Arhar Dal(Tur),NR,NR,10100,
,29/12/2016,2.5,Arhar Dal(Tur),NR,NR,10100,
,30/12/2016,3,Arhar Dal(Tur),NR,NR,10100,
,31/12/2016,4,Arhar Dal(Tur),NR,NR,10150,
