Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Balrampur,22/02/2017,1,Arhar Dal(Tur),8000,8050,8025,
,24/02/2017,1,Arhar Dal(Tur),7970,8035,8000,
,25/02/2017,0.6,Arhar Dal(Tur),7965,8035,8000,
,27/02/2017,1.5,Arhar Dal(Tur),7960,8050,8000,
,28/02/2017,1.5,Arhar Dal(Tur),7925,7970,7950,
Bareilly,01/02/2017,21,Arhar Dal(Tur),7500,7700,7600,
,02/02/2017,24,Arhar Dal(Tur),NR,NR,7550,
,03/02/2017,34,Arhar Dal(Tur),NR,NR,7500,
,04/02/2017,21.5,Arhar Dal(Tur),NR,NR,7500,
,06/02/2017,26.5,Arhar Dal(Tur),NR,NR,7400,
,08/02/2017,23.5,Arhar Dal(Tur),NR,NR,7325,
,17/02/2017,46,Arhar Dal(Tur),NR,NR,7100,
,20/02/2017,21,Arhar Dal(Tur),NR,NR,7100,
,22/02/2017,13.5,Arhar Dal(Tur),NR,NR,6900,
,23/02/2017,12,Arhar Dal(Tur),NR,NR,6950,
,28/02/2017,58,Arhar Dal(Tur),NR,NR,6550,
Bijnaur,02/02/2017,0.1,Arhar Dal(Tur),NR,NR,8550,
,03/02/2017,0.2,Arhar Dal(Tur),NR,NR,8500,
Golagokarnath,03/02/2017,5,Arhar Dal(Tur),NR,NR,7200,
,06/02/2017,10,Arhar Dal(Tur),NR,NR,7000,
,16/02/2017,10,Arhar Dal(Tur),NR,NR,7000,
,17/02/2017,10,Arhar Dal(Tur),NR,NR,7080,
,27/02/2017,60,Arhar Dal(Tur),NR,NR,7000,
Maudaha,05/02/2017,1,Arhar Dal(Tur),NR,NR,8800,
,18/02/2017,1,Arhar Dal(Tur),NR,NR,7500,
Safdarganj,01/02/2017,5,Arhar Dal(Tur),NR,NR,7800,
,02/02/2017,4,Arhar Dal(Tur),NR,NR,7800,
,03/02/2017,5,Arhar Dal(Tur),NR,NR,7800,
,04/02/2017,4,Arhar Dal(Tur),NR,NR,7800,
,06/02/2017,5,Arhar Dal(Tur),NR,NR,7750,
,07/02/2017,4,Arhar Dal(Tur),NR,NR,7750,
,08/02/2017,5,Arhar Dal(Tur),NR,NR,7700,
,09/02/2017,4,Arhar Dal(Tur),NR,NR,7700,
,10/02/2017,5,Arhar Dal(Tur),NR,NR,7700,
,11/02/2017,4,Arhar Dal(Tur),NR,NR,7650,
,13/02/2017,6,Arhar Dal(Tur),NR,NR,7650,
,14/02/2017,5,Arhar Dal(Tur),NR,NR,7650,
,15/02/2017,4,Arhar Dal(Tur),NR,NR,7600,
,16/02/2017,3,Arhar Dal(Tur),NR,NR,7600,
,17/02/2017,4,Arhar Dal(Tur),NR,NR,7600,
,18/02/2017,5,Arhar Dal(Tur),NR,NR,7600,
,20/02/2017,4,Arhar Dal(Tur),NR,NR,7600,
,21/02/2017,5,Arhar Dal(Tur),NR,NR,7550,
,22/02/2017,6,Arhar Dal(Tur),NR,NR,7500,
,23/02/2017,5,Arhar Dal(Tur),NR,NR,7500,
,24/02/2017,6,Arhar Dal(Tur),NR,NR,7500,
,25/02/2017,4,Arhar Dal(Tur),NR,NR,7500,
,27/02/2017,5,Arhar Dal(Tur),NR,NR,7475,
,28/02/2017,3,Arhar Dal(Tur),NR,NR,7475,
