Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ajuha,01/07/2017,15,Arhar Dal(Tur),6400,6500,6450,
,02/07/2017,20,Arhar Dal(Tur),6350,6450,6400,
,04/07/2017,20,Arhar Dal(Tur),6450,6550,6500,
,05/07/2017,10,Arhar Dal(Tur),6400,6450,6450,
,06/07/2017,11,Arhar Dal(Tur),5850,6000,5900,
,08/07/2017,10,Arhar Dal(Tur),5900,6100,6000,
,09/07/2017,0.9,Arhar Dal(Tur),5910,6050,6000,
,10/07/2017,1.3,Arhar Dal(Tur),5860,5930,5900,
,11/07/2017,1.8,Arhar Dal(Tur),5990,6020,6000,
,12/07/2017,2.2,Arhar Dal(Tur),5985,6020,6000,
,13/07/2017,3,Arhar Dal(Tur),5880,5950,5900,
,15/07/2017,2.3,Arhar Dal(Tur),5980,6020,6000,
,16/07/2017,2,Arhar Dal(Tur),5920,6010,6000,
,17/07/2017,1.9,Arhar Dal(Tur),5980,6010,6000,
,18/07/2017,1.8,Arhar Dal(Tur),5930,5980,5950,
,19/07/2017,2,Arhar Dal(Tur),5950,5990,5980,
,20/07/2017,2.2,Arhar Dal(Tur),5790,5812,5800,
,22/07/2017,2.6,Arhar Dal(Tur),5825,5861,5850,
,23/07/2017,2.3,Arhar Dal(Tur),5860,5890,5870,
,24/07/2017,2.1,Arhar Dal(Tur),5851,5870,5860,
,25/07/2017,2,Arhar Dal(Tur),5840,5863,5850,
,26/07/2017,1.9,Arhar Dal(Tur),5843,5860,5850,
,27/07/2017,2.4,Arhar Dal(Tur),5830,5850,5840,
,29/07/2017,1.9,Arhar Dal(Tur),5840,5880,5860,
,30/07/2017,1.7,Arhar Dal(Tur),5840,5870,5850,
,31/07/2017,2.1,Arhar Dal(Tur),5840,5860,5850,
Badda,07/07/2017,0.5, ,NR,NR,NR,
,11/07/2017,0.5, ,NR,NR,NR,
Bareilly,12/07/2017,17,Arhar Dal(Tur),6100,6250,6185,
,28/07/2017,26,Arhar Dal(Tur),5850,6200,5950,
Bijnaur,27/07/2017,0.4,Arhar Dal(Tur),6000,6190,6100,
,28/07/2017,0.4,Arhar Dal(Tur),6000,6130,6080,
,29/07/2017,0.3,Arhar Dal(Tur),5990,6150,6050,
Buland Shahr,01/07/2017,1.5,Arhar Dal(Tur),6000,6500,6350,
,04/07/2017,1,Arhar Dal(Tur),6050,6560,6400,
,05/07/2017,1.2,Arhar Dal(Tur),6050,6560,6400,
,06/07/2017,1.5,Arhar Dal(Tur),6030,6580,6430,
,07/07/2017,2,Arhar Dal(Tur),6040,6600,6450,
,08/07/2017,2.5,Arhar Dal(Tur),NR,NR,6440,
,10/07/2017,1.5,Arhar Dal(Tur),NR,NR,6450,
,11/07/2017,1.5,Arhar Dal(Tur),6050,6600,6450,
,12/07/2017,2.5,Arhar Dal(Tur),6000,6600,6410,
,13/07/2017,1.8,Arhar Dal(Tur),6300,6800,6500,
,14/07/2017,2,Arhar Dal(Tur),6300,6800,6500,
,15/07/2017,1.4,Arhar Dal(Tur),6300,6800,6520,
,17/07/2017,1.5,Arhar Dal(Tur),6300,6800,6510,
,18/07/2017,1.6,Arhar Dal(Tur),6300,6850,6530,
,24/07/2017,1.8,Arhar Dal(Tur),6300,6800,6520,
,25/07/2017,2,Arhar Dal(Tur),6300,6840,6525,
,26/07/2017,1.5,Arhar Dal(Tur),6300,6840,6530,
,28/07/2017,2,Arhar Dal(Tur),6000,6600,6330,
,29/07/2017,2,Arhar Dal(Tur),6100,6600,6450,
,31/07/2017,1,Arhar Dal(Tur),6100,6600,6420,
Chhibramau(Kannuj),01/07/2017,2,Arhar Dal(Tur),6400,6600,6500,
,02/07/2017,2,Arhar Dal(Tur),6300,6500,6400,
,03/07/2017,2,Arhar Dal(Tur),6500,6700,6600,
,04/07/2017,2,Arhar Dal(Tur),6300,6450,6400,
