Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ajuha,01/11/2017,2.1,Arhar Dal(Tur),6150,6250,6200,
,02/11/2017,1.8,Arhar Dal(Tur),6150,6250,6200,
,04/11/2017,1.4,Arhar Dal(Tur),6150,6250,6200,
,05/11/2017,1.6,Arhar Dal(Tur),6100,6200,6150,
,06/11/2017,2.1,Arhar Dal(Tur),6150,6250,6200,
,07/11/2017,1.8,Arhar Dal(Tur),6150,6250,6200,
,08/11/2017,2.3,Arhar Dal(Tur),6100,6200,6150,
,09/11/2017,2.1,Arhar Dal(Tur),6150,6250,6200,
,11/11/2017,2,Arhar Dal(Tur),6160,6250,6200,
,12/11/2017,2.6,Arhar Dal(Tur),6110,6200,6150,
,13/11/2017,1.2,Arhar Dal(Tur),6180,6240,6200,
,14/11/2017,1.9,Arhar Dal(Tur),6200,6300,6250,
,15/11/2017,1.3,Arhar Dal(Tur),6200,6280,6230,
,16/11/2017,1.5,Arhar Dal(Tur),6200,6300,6250,
,18/11/2017,1.7,Arhar Dal(Tur),6150,6240,6200,
,19/11/2017,1.9,Arhar Dal(Tur),6150,6250,6200,
,20/11/2017,0.9,Arhar Dal(Tur),6150,6250,6200,
,21/11/2017,1,Arhar Dal(Tur),6140,6250,6200,
,22/11/2017,1.1,Arhar Dal(Tur),6200,6260,6250,
,23/11/2017,1.4,Arhar Dal(Tur),6180,6250,6220,
,25/11/2017,1.8,Arhar Dal(Tur),6200,6250,6230,
,26/11/2017,1.6,Arhar Dal(Tur),6200,6300,6240,
,27/11/2017,1.7,Arhar Dal(Tur),6200,6250,6220,
,28/11/2017,1.3,Arhar Dal(Tur),6200,6300,6250,
,29/11/2017,2,Arhar Dal(Tur),6200,6280,6240,
,30/11/2017,2,Arhar Dal(Tur),6200,6260,6230,
Auraiya,01/11/2017,1,Arhar Dal(Tur),5350,5550,5450,
,02/11/2017,1.5,Arhar Dal(Tur),5300,5500,5400,
,03/11/2017,1.5,Arhar Dal(Tur),5200,5400,5300,
,06/11/2017,1,Arhar Dal(Tur),5180,5380,5280,
,07/11/2017,1.5,Arhar Dal(Tur),5150,5350,5250,
,08/11/2017,1,Arhar Dal(Tur),5170,5370,5270,
,09/11/2017,1,Arhar Dal(Tur),5150,5350,5250,
,10/11/2017,1.5,Arhar Dal(Tur),5100,5300,5200,
,11/11/2017,1,Arhar Dal(Tur),5150,5350,5250,
,13/11/2017,1,Arhar Dal(Tur),5110,5310,5210,
,14/11/2017,1.5,Arhar Dal(Tur),5200,5400,5300,
,15/11/2017,2,Arhar Dal(Tur),5220,5420,5320,
,16/11/2017,1,Arhar Dal(Tur),5200,5400,5300,
,17/11/2017,1.5,Arhar Dal(Tur),5180,5380,5280,
