Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ajuha,01/08/2018,6,Arhar Dal(Tur),5800,5900,5850,
,02/08/2018,7,Arhar Dal(Tur),5800,5900,5850,
,04/08/2018,6,Arhar Dal(Tur),5800,5900,5850,
,05/08/2018,7,Arhar Dal(Tur),5750,5850,5800,
,06/08/2018,6,Arhar Dal(Tur),5750,5850,5800,
,07/08/2018,7,Arhar Dal(Tur),5750,5850,5800,
,08/08/2018,6,Arhar Dal(Tur),5750,5850,5800,
,09/08/2018,7,Arhar Dal(Tur),5750,5850,5800,
,11/08/2018,8,Arhar Dal(Tur),5700,5800,5750,
,12/08/2018,7,Arhar Dal(Tur),5700,5800,5750,
,13/08/2018,6,Arhar Dal(Tur),5700,5800,5750,
,14/08/2018,7,Arhar Dal(Tur),5750,5850,5800,
,16/08/2018,6,Arhar Dal(Tur),5750,5850,5800,
,18/08/2018,7,Arhar Dal(Tur),5750,5850,5800,
,19/08/2018,8,Arhar Dal(Tur),5750,5850,5800,
,20/08/2018,7,Arhar Dal(Tur),5750,5850,5800,
,21/08/2018,8,Arhar Dal(Tur),5750,5850,5800,
,22/08/2018,7,Arhar Dal(Tur),5800,5900,5850,
,23/08/2018,6,Arhar Dal(Tur),5800,5900,5850,
,25/08/2018,7,Arhar Dal(Tur),5825,5900,5850,
,26/08/2018,6,Arhar Dal(Tur),5850,5950,5900,
,27/08/2018,7,Arhar Dal(Tur),5850,5950,5900,
,28/08/2018,6,Arhar Dal(Tur),5850,5950,5900,
,29/08/2018,7,Arhar Dal(Tur),5800,5900,5850,
,30/08/2018,6,Arhar Dal(Tur),5850,5950,5900,
Akbarpur,01/08/2018,2,Arhar Dal(Tur),5980,6060,6020,
,03/08/2018,2,Arhar Dal(Tur),5980,6080,6020,
,04/08/2018,2.2,Arhar Dal(Tur),5960,6040,6000,
,08/08/2018,2.2,Arhar Dal(Tur),5940,6020,5970,
,10/08/2018,2.5,Arhar Dal(Tur),5900,6000,5950,
,16/08/2018,2.3,Arhar Dal(Tur),5940,6010,5970,
,18/08/2018,2.8, ,NR,NR,NR,
,19/08/2018,1.7,Arhar Dal(Tur),6000,6090,6040,
,24/08/2018,2.2,Arhar Dal(Tur),5970,6080,6020,
,25/08/2018,1.8,Arhar Dal(Tur),5950,6050,6010,
,27/08/2018,2,Arhar Dal(Tur),5980,6080,6030,
,31/08/2018,2.5,Arhar Dal(Tur),5950,6050,6000,
Aligarh,01/08/2018,4,Arhar Dal(Tur),6050,6250,6150,
,02/08/2018,4,Arhar Dal(Tur),6050,6250,6150,
,03/08/2018,4,Arhar Dal(Tur),6000,6200,6100,
,04/08/2018,4,Arhar Dal(Tur),6050,6250,6150,
,06/08/2018,4,Arhar Dal(Tur),6050,6250,6150,
,07/08/2018,4,Arhar Dal(Tur),6000,6200,6100,
,08/08/2018,4,Arhar Dal(Tur),6050,6250,6150,
,09/08/2018,4,Arhar Dal(Tur),6000,6200,6100,
,10/08/2018,4,Arhar Dal(Tur),6000,6200,6100,
,11/08/2018,4,Arhar Dal(Tur),6000,6200,6100,
,13/08/2018,40,Arhar Dal(Tur),6000,6200,6100,
,14/08/2018,4,Arhar Dal(Tur),6000,6200,6100,
,15/08/2018,4,Arhar Dal(Tur),6050,6250,6150,
,16/08/2018,4,Arhar Dal(Tur),6000,6200,6100,
,17/08/2018,4,Arhar Dal(Tur),6100,6300,6200,
,18/08/2018,4,Arhar Dal(Tur),6050,6250,6150,
,20/08/2018,4,Arhar Dal(Tur),6100,6300,6200,
,21/08/2018,4,Arhar Dal(Tur),6100,6300,6200,
,23/08/2018,4,Arhar Dal(Tur),6100,6300,6200,
,24/08/2018,4,Arhar Dal(Tur),6100,6300,6200,
,25/08/2018,4,Arhar Dal(Tur),6100,6300,6200,
,27/08/2018,4,Arhar Dal(Tur),6100,6300,6200,
,28/08/2018,4,Arhar Dal(Tur),6100,6300,6200,
,29/08/2018,4,Arhar Dal(Tur),6100,6300,6200,
,30/08/2018,4,Arhar Dal(Tur),6100,6300,6200,
,31/08/2018,4,Arhar Dal(Tur),6100,6300,6200,
Auraiya,02/08/2018,0.5, ,NR,NR,NR,
