Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,01/10/2018,9,Arhar Dal(Tur),6150,6400,6270,
,02/10/2018,7,Arhar Dal(Tur),6100,6300,6200,
,03/10/2018,7.5,Arhar Dal(Tur),6050,6300,6180,
,04/10/2018,9,Arhar Dal(Tur),6050,6250,6150,
,05/10/2018,8,Arhar Dal(Tur),6050,6250,6180,
,06/10/2018,8.5,Arhar Dal(Tur),6000,6200,6100,
,08/10/2018,8,Arhar Dal(Tur),6050,6300,6180,
,09/10/2018,7.5,Arhar Dal(Tur),6200,6300,6250,
,10/10/2018,8.5,Arhar Dal(Tur),6100,6300,6200,
,11/10/2018,10,Arhar Dal(Tur),6150,6350,6280,
,12/10/2018,9,Arhar Dal(Tur),6200,6400,6300,
,13/10/2018,11,Arhar Dal(Tur),6150,6400,6280,
,15/10/2018,10,Arhar Dal(Tur),6050,6300,6180,
,16/10/2018,10.5,Arhar Dal(Tur),6100,6300,6200,
,17/10/2018,16,Arhar Dal(Tur),6000,6300,6150,
,19/10/2018,14,Arhar Dal(Tur),5950,6150,6050,
,22/10/2018,13,Arhar Dal(Tur),6050,6250,6150,
,23/10/2018,12,Arhar Dal(Tur),6050,6300,6180,
,24/10/2018,8,Arhar Dal(Tur),6100,6300,6200,
,25/10/2018,10,Arhar Dal(Tur),6100,6300,6200,
,26/10/2018,12.5,Arhar Dal(Tur),6050,6300,6180,
,27/10/2018,10,Arhar Dal(Tur),6150,6350,6250,
,29/10/2018,11,Arhar Dal(Tur),6100,6300,6200,
,30/10/2018,10,Arhar Dal(Tur),6150,6350,6250,
,31/10/2018,10.5,Arhar Dal(Tur),6150,6400,6280,
Ajuha,01/10/2018,7,Arhar Dal(Tur),5800,5850,5825,
,02/10/2018,8,Arhar Dal(Tur),5750,5850,5800,
,03/10/2018,8,Arhar Dal(Tur),5750,5850,5800,
,04/10/2018,6,Arhar Dal(Tur),5750,5850,5800,
,05/10/2018,7,Arhar Dal(Tur),5750,5850,5800,
,06/10/2018,6,Arhar Dal(Tur),5800,5875,5850,
,07/10/2018,7,Arhar Dal(Tur),5800,5900,5850,
,08/10/2018,8,Arhar Dal(Tur),5800,5900,5850,
,09/10/2018,7,Arhar Dal(Tur),5850,5900,5875,
