Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,01/04/2020,0.2,Arhar Dal(Tur),7900,8100,8000,
,02/04/2020,0.5,Arhar Dal(Tur),8000,8100,8050,
,03/04/2020,1.2,Arhar Dal(Tur),5900,8100,8000,
,04/04/2020,1,Arhar Dal(Tur),7900,8100,8000,
,06/04/2020,0.2,Arhar Dal(Tur),8000,8100,8050,
,07/04/2020,0.5,Arhar Dal(Tur),8100,8300,8200,
,08/04/2020,0.5,Arhar Dal(Tur),8400,8600,8500,
,09/04/2020,0.2,Arhar Dal(Tur),8500,8650,8600,
,10/04/2020,0.5,Arhar Dal(Tur),8500,8620,8600,
,11/04/2020,0.2,Arhar Dal(Tur),8600,8800,8700,
,13/04/2020,0.2,Arhar Dal(Tur),8600,8700,8620,
,14/04/2020,0.5,Arhar Dal(Tur),8600,8700,8650,
,15/04/2020,0.5,Arhar Dal(Tur),8500,8650,8600,
,16/04/2020,0.5,Arhar Dal(Tur),8600,8700,8650,
,17/04/2020,0.5,Arhar Dal(Tur),8400,8600,8500,
,18/04/2020,0.2,Arhar Dal(Tur),8400,8600,8500,
,20/04/2020,0.5,Arhar Dal(Tur),8500,8600,8550,
,21/04/2020,0.2,Arhar Dal(Tur),8400,8600,8500,
,22/04/2020,0.2,Arhar Dal(Tur),8400,8600,8500,
,23/04/2020,0.2,Arhar Dal(Tur),8400,8600,8500,
,24/04/2020,0.5,Arhar Dal(Tur),8500,8600,8560,
,25/04/2020,0.2,Arhar Dal(Tur),8500,8650,8600,
,27/04/2020,0.2,Arhar Dal(Tur),8500,8650,8600,
,28/04/2020,0.5,Arhar Dal(Tur),8400,8600,8500,
,29/04/2020,0.5,Arhar Dal(Tur),8450,8600,8560,
,30/04/2020,0.2,Arhar Dal(Tur),8500,8600,8560,
Agra,01/04/2020,2,Arhar Dal(Tur),8850,9100,8950,
,02/04/2020,1,Arhar Dal(Tur),8700,9000,8850,
,03/04/2020,1.5,Arhar Dal(Tur),8700,8950,8800,
,04/04/2020,1,Arhar Dal(Tur),8700,9000,8850,
,06/04/2020,1.5,Arhar Dal(Tur),8650,8900,8780,
,07/04/2020,2,Arhar Dal(Tur),8650,8900,8750,
,08/04/2020,2.5,Arhar Dal(Tur),8700,8900,8800,
,09/04/2020,2,Arhar Dal(Tur),8750,8950,8840,
,10/04/2020,2.5,Arhar Dal(Tur),8700,8900,8800,
