Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Achalda,02/03/2020,1.2,Arhar Dal(Tur),7500,7700,7600,
,03/03/2020,1,Arhar Dal(Tur),7700,7900,7800,
,04/03/2020,1,Arhar Dal(Tur),7800,7900,7820,
,05/03/2020,1.2,Arhar Dal(Tur),7700,7900,7800,
,06/03/2020,1.2,Arhar Dal(Tur),7700,7900,7800,
,07/03/2020,1.2,Arhar Dal(Tur),7700,7900,7800,
,09/03/2020,1,Arhar Dal(Tur),7700,7900,7800,
,11/03/2020,1,Arhar Dal(Tur),7800,7900,7850,
,12/03/2020,1.2,Arhar Dal(Tur),7700,7900,7800,
,13/03/2020,1.2,Arhar Dal(Tur),7700,7900,7800,
,14/03/2020,1,Arhar Dal(Tur),7800,7900,7820,
,16/03/2020,1,Arhar Dal(Tur),7800,7900,7820,
,17/03/2020,1,Arhar Dal(Tur),7700,7900,7800,
,18/03/2020,1.2,Arhar Dal(Tur),7800,7900,7850,
,19/03/2020,1,Arhar Dal(Tur),7800,8020,7890,
,20/03/2020,1,Arhar Dal(Tur),7700,7850,7800,
,21/03/2020,1,Arhar Dal(Tur),7800,7900,7820,
,23/03/2020,1.2,Arhar Dal(Tur),7890,8020,8000,
,31/03/2020,1.2,Arhar Dal(Tur),8000,8100,8050,
Agra,02/03/2020,2,Arhar Dal(Tur),8550,8750,8650,
,03/03/2020,3,Arhar Dal(Tur),8450,8750,8600,
,04/03/2020,2.5,Arhar Dal(Tur),8450,8750,8600,
,05/03/2020,2,Arhar Dal(Tur),8550,8800,8670,
,06/03/2020,3,Arhar Dal(Tur),8500,8800,8650,
,07/03/2020,4,Arhar Dal(Tur),8500,8750,8620,
,12/03/2020,3.5,Arhar Dal(Tur),8500,8750,8650,
,13/03/2020,4,Arhar Dal(Tur),8550,8750,8630,
,14/03/2020,2.5,Arhar Dal(Tur),8500,8800,8650,
,16/03/2020,3,Arhar Dal(Tur),8550,8900,8670,
,17/03/2020,3.5,Arhar Dal(Tur),8550,8750,8650,
,18/03/2020,2,Arhar Dal(Tur),8550,8800,8670,
,19/03/2020,3,Arhar Dal(Tur),8550,8800,8680,
,20/03/2020,3.5,Arhar Dal(Tur),8500,8800,8650,
,21/03/2020,3,Arhar Dal(Tur),8500,8800,8650,
,30/03/2020,2,Arhar Dal(Tur),8600,8900,8750,
,31/03/2020,1,Arhar Dal(Tur),8650,8900,8780,
Ajuha,01/03/2020,8,Arhar Dal(Tur),7850,8100,7900,
,02/03/2020,7,Arhar Dal(Tur),7850,8100,7900,
,03/03/2020,6,Arhar Dal(Tur),7925,8100,7950,
,04/03/2020,7,Arhar Dal(Tur),7850,8000,7900,
,05/03/2020,8,Arhar Dal(Tur),7850,8100,7900,
,07/03/2020,6,Arhar Dal(Tur),7850,8100,7900,
,08/03/2020,7,Arhar Dal(Tur),7850,8100,7900,
,09/03/2020,8,Arhar Dal(Tur),7825,7950,7850,
,11/03/2020,6,Arhar Dal(Tur),7800,7900,7850,
,12/03/2020,7,Arhar Dal(Tur),7750,8000,7800,
,14/03/2020,8,Arhar Dal(Tur),7750,8000,7800,
,15/03/2020,9,Arhar Dal(Tur),7750,7900,7800,
,16/03/2020,8,Arhar Dal(Tur),7700,7900,7750,
