Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ateli,02/11/2016,5.5,Other,1200,1315,1210,
,03/11/2016,3,Other,1300,1300,1300,
,04/11/2016,60.7,Other,1200,1390,1300,
Behal,02/11/2016,2,Other,1250,1250,1250,
,03/11/2016,4,Other,1250,1250,1250,
,04/11/2016,4,Other,1300,1300,1300,
,07/11/2016,5.7,Other,1250,1350,1250,
,09/11/2016,1.5,Other,1300,1300,1300,
,26/11/2016,0.8,Other,1250,1250,1250,
Bhattu Kalan,01/11/2016,1.2,Other,1240,1270,1240,
,04/11/2016,1,Other,1380,1380,1380,
,05/11/2016,2.8,Other,1300,1355,1312,
,07/11/2016,0.3,Other,1370,1370,1370,
,08/11/2016,1.5,Other,1375,1375,1375,
,09/11/2016,0.5,Other,1350,1350,1350,
,15/11/2016,1.5,Other,1400,1400,1400,
,16/11/2016,1.1,Other,1410,1410,1410,
,22/11/2016,1,Other,1426,1426,1426,
Ding,08/11/2016,7,Other,1260,1444,1260,
,11/11/2016,2,Other,1370,1370,1370,
,12/11/2016,0.5,Other,1390,1390,1390,
Ellanabad,01/11/2016,87,Local,1270,1281,1280,
,02/11/2016,30,Local,1323,1349,1339,
,07/11/2016,45,Local,1350,1371,1350,
,08/11/2016,10,Local,1350,1361,1350,
,09/11/2016,5.6,Local,1325,1350,1330,
,11/11/2016,11.9,Local,1310,1324,1311,
,12/11/2016,26,Local,1310,1310,1310,
,14/11/2016,133,Local,1211,1349,1326,
,15/11/2016,173,Local,1325,1380,1360,
,16/11/2016,143,Local,1300,1350,1320,
,17/11/2016,92,Local,1325,1375,1360,
,19/11/2016,122,Local,1300,1390,1350,
,21/11/2016,230,Local,1380,1428,1400,
,22/11/2016,113,Local,1395,1414,1400,
,23/11/2016,38,Local,1393,1400,1393,
,24/11/2016,62,Local,1436,1439,1438,
,25/11/2016,50,Local,1400,1405,1400,
,26/11/2016,17,Local,1431,1433,1432,
,28/11/2016,51,Local,1401,1413,1406,
Farukh Nagar,01/11/2016,1.7,Other,1300,1300,1300,
,02/11/2016,15.3,Other,1280,1325,1280,
,03/11/2016,5.4,Other,1280,1300,1280,
,04/11/2016,3.7,Other,1270,1325,1270,
,08/11/2016,3.2,Other,1300,1360,1300,
,09/11/2016,3.5,Other,1375,1400,1375,
,10/11/2016,25.8,Other,1350,1406,1350,
,11/11/2016,49.4,Other,1300,1400,1300,
,16/11/2016,20,Other,1400,1400,1400,
,17/11/2016,1,Other,1400,1400,1400,
,18/11/2016,2,Other,1470,1470,1470,
,19/11/2016,6,Other,1400,1500,1400,
,21/11/2016,0.6,Other,1500,1500,1500,
,23/11/2016,6.2,Other,1440,1440,1440,
,29/11/2016,2.3,Other,1500,1500,1500,
,30/11/2016,6.2,Other,1411,1500,1411,
Loharu,22/11/2016,14.3,Deshi,1380,1400,1400,
Loharu(Dighwa),03/11/2016,0.5,Other,1340,1340,1340,
,22/11/2016,14.3,Other,1380,1400,1400,
,23/11/2016,19,Other,1380,1400,1400,
