Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Behal,08/01/2017,8.05,Other,1350,1350,1350,
,28/01/2017,5,Other,1350,1350,1350,
Ding,15/01/2017,6.1,Other,5790,5790,5790,
Ellanabad,09/01/2017,1.7, ,NR,NR,NR,
,12/01/2017,0.3, ,NR,NR,NR,
,17/01/2017,2, ,NR,NR,NR,
,20/01/2017,3.8, ,NR,NR,NR,
Farukh Nagar,02/01/2017,0.9,Other,1300,1300,1300,
,03/01/2017,7,Other,1350,1450,1350,
,04/01/2017,0.5,Other,1400,1400,1400,
,05/01/2017,22.4,Other,1400,1400,1400,
,06/01/2017,2,Other,1400,1400,1400,
,07/01/2017,6,Other,1400,1400,1400,
,09/01/2017,6.4,Other,1400,1450,1400,
,10/01/2017,2.3,Other,1450,1450,1450,
,11/01/2017,3.7,Other,1385,1450,1385,
,13/01/2017,3,Other,1500,1500,1500,
,16/01/2017,5,Other,1400,1500,1400,
,18/01/2017,5.8,Other,1450,1500,1450,
,19/01/2017,3.7,Other,1450,1450,1450,
,20/01/2017,0.8,Other,1450,1450,1450,
Narwana,09/01/2017,1.05, ,NR,NR,NR,
Rewari,09/01/2017,36.8,Other,1394,1423,1400,
,10/01/2017,36,Other,1402,1458,1415,
,11/01/2017,23.8,Other,1370,1442,1390,
,12/01/2017,34.7,Other,1394,1408,1400,
,13/01/2017,23.1,Other,1396,1408,1400,
,14/01/2017,56.9,Other,1397,1407,1400,
,16/01/2017,31.6,Other,1395,1420,1410,
,17/01/2017,38.1,Other,1378,1400,1385,
,18/01/2017,12,Other,1380,1428,1400,
,19/01/2017,27.1,Other,1380,1420,1400,
,20/01/2017,31,Other,1380,1415,1400,
,21/01/2017,22.1,Other,1378,1421,1400,
,23/01/2017,26.9,Other,1385,1461,1400,
,24/01/2017,36.8,Other,1370,1421,1400,
,25/01/2017,26.8,Other,1377,1420,1400,
,27/01/2017,5.1,Other,1360,1389,1370,
Shahzadpur,21/01/2017,0.3,Deshi,1400,1400,1400,
Siwani,03/01/2017,1,Other,1400,1400,1400,
,28/01/2017,6,Other,1380,1380,1380,
Sohna,05/01/2017,1.5,Other,1400,1400,1400,
,06/01/2017,1.3,Other,1413,1413,1413,
,10/01/2017,1.4,Other,1400,1400,1400,
,16/01/2017,6,Other,1390,1400,1395,
,19/01/2017,5,Other,1375,1375,1375,
,21/01/2017,7.5,Other,1300,1300,1300,
Tosham,01/01/2017,2.2,Other,1380,1400,1390,
,03/01/2017,1,Other,1400,1400,1400,
,10/01/2017,1.2,Other,1400,1400,1400,
,12/01/2017,0.8,Other,1400,1400,1400,
,13/01/2017,1,Other,1400,1400,1400,
,14/01/2017,1.2,Other,1380,1380,1380,
,15/01/2017,1.2,Other,1400,1400,1400,
,18/01/2017,1.1,Other,1380,1380,1380,
,19/01/2017,1,Other,1400,1400,1400,
,20/01/2017,1.2,Other,1380,1380,1380,
,21/01/2017,1.4,Other,1380,1380,1380,
,22/01/2017,2.9,Other,1380,1400,1400,
,24/01/2017,0.8,Other,1400,1400,1400,
,25/01/2017,1,Other,1400,1400,1400,
,28/01/2017,1.2,Other,1400,1400,1400,
,29/01/2017,1.2,Other,1400,1400,1400,
Uchana,02/01/2017,11.2, ,NR,NR,NR,
,03/01/2017,6.3, ,NR,NR,NR,
,04/01/2017,1.8, ,NR,NR,NR,
,05/01/2017,1.2, ,NR,NR,NR,
,06/01/2017,1.3, ,NR,NR,NR,
,09/01/2017,1, ,NR,NR,NR,
,10/01/2017,1.2, ,NR,NR,NR,
,11/01/2017,3.5, ,NR,NR,NR,
,13/01/2017,2, ,NR,NR,NR,
,25/01/2017,2, ,NR,NR,NR,
,28/01/2017,0.2, ,NR,NR,NR,
,31/01/2017,0.8, ,NR,NR,NR,
Uklana,02/01/2017,3.2,Other,1380,1415,1405,
,03/01/2017,1,Other,1300,1300,1300,
,04/01/2017,0.5,Other,1405,1405,1405,
,06/01/2017,0.4,Other,1410,1410,1410,
,10/01/2017,4,Other,1424,1424,1424,
,13/01/2017,5.3,Other,1415,1460,1450,
,18/01/2017,3,Other,1416,1416,1416,
,28/01/2017,2.5,Other,1400,1400,1400,
,30/01/2017,4.4,Other,1408,1408,1408,
,31/01/2017,3.5,Other,1400,1415,1415,
