Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmednagar,02/01/2016,2,Other,1600,1811,1725,
,06/01/2016,2,Other,1700,1750,1730,
,12/01/2016,4,Other,1400,1750,1635,
,13/01/2016,1,Other,1310,1310,1310,
,14/01/2016,5,Other,1350,1650,1550,
,16/01/2016,1,Other,1350,1700,1610,
,23/01/2016,17,Other,1600,1750,1690,
,27/01/2016,3,Other,1300,1350,1330,
,29/01/2016,3,Other,1400,1800,1690,
Ahmedpur,02/01/2016,1,Other,1275,1311,1311,
,22/01/2016,1,Other,1275,1340,1340,
Akola,01/01/2016,2,Other,1575,1600,1590,
,04/01/2016,2,Other,1450,1900,1650,
,05/01/2016,1,Other,1900,1900,1900,
,07/01/2016,2,Other,1550,1660,1600,
,18/01/2016,1,Other,1275,1800,1540,
,29/01/2016,1,Other,1625,1900,1650,
Akole,01/01/2016,2,Other,1350,1800,1575,
,08/01/2016,2,Other,1500,1800,1525,
,14/01/2016,1,Other,1500,2000,1675,
,22/01/2016,1,Other,1400,1800,1525,
,29/01/2016,1,Other,1400,1900,1575,
Amalner,02/01/2016,1,Other,1399,1463,1463,
,07/01/2016,1,Other,1400,1480,1480,
,11/01/2016,3,Other,1381,1558,1558,
,12/01/2016,1,Other,1300,1503,1503,
,16/01/2016,1,Other,1400,1525,1525,
,23/01/2016,4,Other,1431,1528,1528,
,27/01/2016,1,Other,1400,1551,1551,
Ashti(Jalna),02/01/2016,1,Other,1300,1461,1301,
,05/01/2016,1,Other,1451,1461,1461,
,11/01/2016,1,Other,1301,1438,1391,
Ausa,03/01/2016,1,Other,1551,1701,1651,
Baramati,11/01/2016,33, ,NR,NR,NR,
,18/01/2016,20, ,NR,NR,NR,
Barshi,07/01/2016,1,Other,1675,1750,1700,
,11/01/2016,1,Other,1650,1650,1650,
,13/01/2016,1,Other,1300,1950,1900,
,14/01/2016,2,Other,1500,1600,1500,
,18/01/2016,2,Other,1600,1950,1750,
,20/01/2016,4,Other,1550,1600,1550,
,21/01/2016,2,Other,1550,1550,1550,
,28/01/2016,1,Other,1550,1550,1550,
Beed,01/01/2016,4,Other,1390,1585,1480,
,02/01/2016,7,Other,1410,1601,1580,
,04/01/2016,10,Other,1300,1650,1600,
,05/01/2016,5,Other,1751,1751,1751,
,06/01/2016,7,Other,1350,1608,1590,
,07/01/2016,6,Other,1300,1598,1510,
,08/01/2016,11,Other,1375,1622,1400,
,09/01/2016,9,Other,1300,1540,1510,
,11/01/2016,7,Other,1800,2025,1982,
,12/01/2016,3,Other,1360,1551,1480,
,13/01/2016,2,Other,1700,1881,1870,
,16/01/2016,8,Other,1300,1552,1400,
,18/01/2016,9,Other,1370,1650,1501,
,19/01/2016,5,Other,1330,1555,1400,
,20/01/2016,5,Other,1350,1644,1525,
,21/01/2016,6,Other,1360,1628,1500,
,22/01/2016,4,Other,1315,1561,1450,
,23/01/2016,2,Other,1366,1500,1450,
,25/01/2016,5,Other,1370,1630,1486,
,27/01/2016,8,Other,1300,1641,1490,
,28/01/2016,5,Other,1360,1585,1500,
,29/01/2016,5,Other,1301,1593,1530,
,30/01/2016,3,Other,1370,1672,1400,
Bhokardan,02/01/2016,3,Other,1275,1375,1300,
,04/01/2016,1,Other,1275,1375,1300,
,09/01/2016,1,Other,1280,1350,1300,
,16/01/2016,2,Other,1275,1375,1300,
,23/01/2016,2,Other,1275,1375,1300,
,24/01/2016,1,Other,1275,1300,1290,
,30/01/2016,2,Other,1275,1375,1300,
,31/01/2016,1,Other,1300,1350,1325,
Bhokardan(Pimpalgaon Renu),05/01/2016,1,Other,1280,1350,1300,
,12/01/2016,1,Other,1275,1375,1350,
,26/01/2016,1,Other,1300,1400,1350,
Chalisgaon,01/01/2016,20,Other,1326,1541,1400,
,04/01/2016,18,Other,1450,1600,1500,
,05/01/2016,17,Other,1325,1540,1465,
,06/01/2016,18,Other,1300,1600,1450,
,07/01/2016,17,Other,1323,1605,1500,
,08/01/2016,18,Other,1360,1570,1460,
,11/01/2016,21,Other,1360,1550,1475,
,12/01/2016,17,Other,1350,1600,1450,
,13/01/2016,13,Other,1350,1600,1475,
,14/01/2016,13,Other,1350,1550,1450,
,18/01/2016,17,Other,1350,1600,1475,
,19/01/2016,14,Other,1350,1551,1500,
,20/01/2016,16,Other,1350,1600,1460,
,21/01/2016,18,Other,1325,1600,1350,
,22/01/2016,19,Other,1325,1600,1475,
,25/01/2016,14,Other,1370,1600,1550,
,27/01/2016,15,Other,1300,1565,1500,
,28/01/2016,12,Other,1300,1500,1450,
,29/01/2016,12,Other,1350,1571,1500,
Chopada,04/01/2016,1,Other,1522,1532,1531,
,06/01/2016,1,Other,1500,1541,1540,
,08/01/2016,1,Other,1530,1531,1531,
,12/01/2016,1,Other,1300,1551,1550,
,14/01/2016,2,Other,1500,1579,1575,
,18/01/2016,1,Other,1491,1525,1521,
,20/01/2016,1,Other,1521,1531,1530,
,22/01/2016,3,Other,1451,1502,1502,
,23/01/2016,2,Other,1525,1551,1550,
,25/01/2016,2,Other,1499,1499,1499,
,29/01/2016,1,Other,1540,1540,1540,
,30/01/2016,1,Other,1425,1540,1540,
Deoulgaon Raja,11/01/2016,1,Other,1655,1655,1655,
,29/01/2016,1,Other,1350,1500,1350,
Devala,01/01/2016,2,Other,1371,1616,1450,
,04/01/2016,5,Other,1314,1678,1491,
,05/01/2016,1,Other,1290,1475,1426,
,06/01/2016,5,Other,1291,1611,1432,
,07/01/2016,2,Other,1322,1477,1405,
,08/01/2016,1,Other,1369,1659,1500,
,11/01/2016,1,Other,1424,1712,1500,
,12/01/2016,1,Other,1290,1945,1450,
,13/01/2016,2,Other,1313,1858,1490,
,20/01/2016,3,Other,1350,1846,1471,
,21/01/2016,3,Other,1352,1520,1495,
,22/01/2016,3,Other,1440,1751,1500,
,25/01/2016,1,Other,1396,1716,1611,
,27/01/2016,1,Other,1375,1375,1375,
,28/01/2016,2,Other,1399,1672,1435,
,29/01/2016,1,Other,1321,1621,1541,
Dhule,01/01/2016,4,Other,1376,1575,1480,
,04/01/2016,5,Other,1399,1620,1500,
,05/01/2016,9,Other,1350,1725,1560,
,06/01/2016,12,Other,1305,1711,1561,
,07/01/2016,14,Other,1385,1725,1500,
,08/01/2016,8,Other,1370,1611,1500,
,09/01/2016,3,Other,1441,1560,1501,
,11/01/2016,7,Other,1300,1740,1600,
,12/01/2016,14,Other,1301,1725,1678,
