Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aatpadi,04/02/2017,1,Other,1800,2000,1900,
Ahmednagar,01/02/2017,10,Other,1550,2100,1980,
,02/02/2017,7,Other,1220,1600,1505,
,03/02/2017,12,Other,1600,2000,1915,
,04/02/2017,5,Other,1675,1800,1755,
,06/02/2017,5,Other,1231,1231,1231,
,07/02/2017,6,Other,1131,1300,1265,
,08/02/2017,7,Other,1400,1751,1551,
,09/02/2017,7,Other,1400,1701,1550,
,10/02/2017,8,Other,1701,1701,1701,
,11/02/2017,7,Other,1375,1650,1590,
,15/02/2017,12,Other,1231,1300,1280,
,17/02/2017,5,Other,1400,1700,1635,
,21/02/2017,4,Other,1221,1221,1221,
,22/02/2017,6,Other,1500,2000,1870,
,23/02/2017,14,Other,1225,1275,1260,
,27/02/2017,9,Other,1221,1291,1270,
,28/02/2017,2,Other,1550,1550,1550,
Ahmedpur,06/02/2017,1,Other,1100,1200,1150,
,15/02/2017,1,Other,1000,1100,1050,
Akluj,02/02/2017,1,Other,1370,1450,1420,
,07/02/2017,4,Other,1340,1500,1400,
Akole,03/02/2017,1,Other,1400,2050,1725,
,10/02/2017,1,Other,1400,1800,1500,
Amalner,01/02/2017,2,Other,1221,1345,1345,
,03/02/2017,2,Other,1200,1600,1600,
,04/02/2017,1,Other,1225,1225,1225,
,06/02/2017,3,Other,1211,1238,1238,
,07/02/2017,2,Other,1225,1241,1241,
,08/02/2017,1,Other,1250,1500,1500,
,09/02/2017,1,Other,1225,1227,1227,
,10/02/2017,2,Other,1200,1291,1291,
,11/02/2017,1,Other,1221,1235,1235,
,13/02/2017,1,Other,1241,1265,1265,
,14/02/2017,2,Other,1240,1253,1253,
,15/02/2017,2,Other,1240,1255,1255,
,17/02/2017,1,Other,1211,1251,1251,
,21/02/2017,1,Other,1225,1240,1240,
,22/02/2017,1,Other,1211,1300,1300,
,23/02/2017,1,Other,1212,1232,1232,
,27/02/2017,1,Other,1225,1228,1228,
Amarawati,16/02/2017,5,Other,2100,2350,2225,
,23/02/2017,1,Other,1600,1870,1735,
Ambad (Vadigodri),01/02/2017,6,Other,1122,1450,1340,
,03/02/2017,3,Other,1130,1371,1250,
,04/02/2017,4,Other,1150,1330,1265,
,06/02/2017,4,Other,1175,1400,1300,
,07/02/2017,3,Other,1105,1400,1300,
,08/02/2017,5,Other,1130,1450,1310,
,09/02/2017,3,Other,1150,1751,1301,
,10/02/2017,3,Other,1150,1450,1300,
,13/02/2017,3,Other,1195,1300,1235,
,14/02/2017,6,Other,1260,1500,1300,
,17/02/2017,7,Other,1330,1415,1400,
,18/02/2017,3,Other,1165,1590,1300,
,20/02/2017,6,Other,1330,1775,1400,
,25/02/2017,3,Other,1250,1466,1300,
,27/02/2017,8,Other,1165,1700,1300,
,28/02/2017,3,Other,1136,1301,1251,
Aurangabad,01/02/2017,1,Other,1350,1350,1350,
,03/02/2017,11,Other,1250,1700,1550,
,04/02/2017,5,Other,1250,1650,1450,
,06/02/2017,6,Other,1250,1475,1363,
,07/02/2017,5,Other,1250,1750,1500,
,08/02/2017,3,Other,1250,1600,1425,
,09/02/2017,4,Other,1250,1725,1488,
,10/02/2017,4,Other,1225,1400,1313,
,13/02/2017,3,Other,1250,1500,1375,
,14/02/2017,8,Other,1300,1600,1450,
,15/02/2017,6,Other,1300,1555,1427,
,17/02/2017,8,Other,1250,1500,1375,
,21/02/2017,4,Other,1250,1500,1375,
,22/02/2017,4,Other,1301,1600,1451,
,23/02/2017,2,Other,1250,1561,1406,
,27/02/2017,6,Other,1250,1621,1436,
,28/02/2017,7,Other,1300,1573,1437,
Baramati,06/02/2017,17, ,NR,NR,NR,
,09/02/2017,14, ,NR,NR,NR,
,20/02/2017,9,Other,1330,2311,1750,
,27/02/2017,27, ,NR,NR,NR,
Beed,01/02/2017,2,Other,1330,1400,1400,
,02/02/2017,4,Other,1330,1525,1421,
,03/02/2017,4,Other,1336,1690,1556,
,06/02/2017,7,Other,1371,1601,1601,
,07/02/2017,4,Other,1330,1400,1400,
,08/02/2017,1,Other,1350,1400,1380,
,09/02/2017,6,Other,1330,1486,1350,
,11/02/2017,1,Other,1600,1621,1621,
,13/02/2017,2,Other,1336,1400,1400,
,14/02/2017,7,Other,1375,1741,1410,
,15/02/2017,8,Other,1700,1800,1800,
,17/02/2017,1,Other,1330,1505,1505,
,18/02/2017,2,Other,1450,1740,1699,
,21/02/2017,4,Other,1330,1700,1475,
,22/02/2017,9,Other,1330,1400,1400,
,27/02/2017,3,Other,1450,1701,1550,
Bhokardan,25/02/2017,1,Other,1400,1425,1410,
Chalisgaon,01/02/2017,32,Other,1100,1311,1300,
,03/02/2017,35,Other,1100,1400,1300,
,06/02/2017,25,Other,1100,1400,1300,
,08/02/2017,40,Other,1100,1351,1300,
,09/02/2017,53,Other,1100,1451,1400,
,10/02/2017,38,Other,1100,1300,1250,
,13/02/2017,33,Other,1171,1225,1200,
,14/02/2017,42,Other,1170,1400,1300,
,20/02/2017,54,Other,1165,1550,1400,
