Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmednagar,05/07/2017,4,Other,1260,1260,1260,
,07/07/2017,10,Other,1400,1600,1535,
,09/07/2017,12,Other,1575,1800,1690,
,12/07/2017,4,Other,1340,1400,1385,
,13/07/2017,2,Other,1400,1431,1431,
,15/07/2017,2,Other,1400,1420,1410,
,18/07/2017,6,Other,1550,1600,1590,
,19/07/2017,3,Other,1400,1500,1460,
,20/07/2017,1,Other,1500,1500,1500,
,21/07/2017,1,Other,1350,1350,1350,
,24/07/2017,9,Other,1411,1800,1705,
,26/07/2017,9,Other,1400,1700,1505,
,27/07/2017,3,Other,1711,1800,1780,
,31/07/2017,3,Other,1450,1500,1480,
Ahmedpur,01/07/2017,1,Other,1000,1136,1050,
Akluj,18/07/2017,2,Other,1251,1300,1300,
,20/07/2017,2,Other,1500,1500,1500,
Akola,21/07/2017,1,Other,1000,1000,1000,
Akole,07/07/2017,1,Other,1400,2000,1575,
,14/07/2017,2,Other,1400,1800,1500,
,21/07/2017,1,Other,1400,2000,1700,
,28/07/2017,2,Other,1450,2050,1625,
Amalner,01/07/2017,4,Other,1287,1290,1290,
,03/07/2017,5,Other,1275,1300,1300,
,05/07/2017,8,Other,1261,1291,1291,
,06/07/2017,6,Other,1256,1300,1300,
,07/07/2017,4,Other,1260,1304,1304,
,08/07/2017,3,Other,1250,1290,1290,
,10/07/2017,9,Other,1260,1341,1341,
,11/07/2017,7,Other,1250,1341,1341,
,12/07/2017,7,Other,1225,1368,1368,
,13/07/2017,4,Other,1225,1368,1368,
,14/07/2017,6,Other,1356,1364,1364,
,15/07/2017,4,Other,1226,1346,1346,
,17/07/2017,7,Other,1250,1350,1350,
,18/07/2017,4,Other,1275,1340,1340,
,20/07/2017,6,Other,1226,1366,1366,
,21/07/2017,4,Other,1231,1330,1330,
,22/07/2017,1,Other,1200,1305,1305,
,24/07/2017,2,Other,1240,1330,1330,
,25/07/2017,4,Other,1226,1330,1330,
,26/07/2017,3,Other,1250,1356,1356,
,27/07/2017,2,Other,1250,1326,1326,
,28/07/2017,3,Other,1225,1345,1345,
,29/07/2017,2,Other,1352,1361,1361,
,31/07/2017,1,Other,1250,1350,1350,
Ambad (Vadigodri),01/07/2017,3,Other,1256,1341,1290,
,03/07/2017,3,Other,1201,1425,1350,
,05/07/2017,2,Other,1211,1401,1350,
,06/07/2017,2,Other,1301,1556,1361,
,07/07/2017,4,Other,1340,1615,1500,
,08/07/2017,2,Other,1250,1650,1320,
,10/07/2017,4,Other,1160,1586,1400,
,11/07/2017,2,Other,1231,1521,1366,
,12/07/2017,2,Other,1298,1600,1331,
,13/07/2017,2,Other,1141,1641,1325,
,14/07/2017,4,Other,1291,1600,1400,
,15/07/2017,1,Other,1351,1600,1370,
,17/07/2017,2,Other,1250,1736,1350,
,18/07/2017,1,Other,1274,1716,1331,
,19/07/2017,3,Other,1300,1665,1400,
,20/07/2017,4,Other,1230,1560,1330,
,21/07/2017,4,Other,1310,1570,1435,
,24/07/2017,5,Other,1305,1500,1400,
,25/07/2017,2,Other,1301,1500,1400,
,26/07/2017,3,Other,1310,1700,1400,
,28/07/2017,2,Other,1356,1546,1415,
,29/07/2017,2,Other,1345,1890,1415,
,31/07/2017,2,Other,1390,1700,1400,
Aurangabad,01/07/2017,3,Other,1300,1321,1315,
,03/07/2017,4,Other,1300,1425,1355,
,05/07/2017,1,Other,1311,1500,1350,
,06/07/2017,5,Other,1300,1500,1330,
,07/07/2017,4,Other,1300,1575,1365,
,08/07/2017,4,Other,1320,1400,1360,
,10/07/2017,5,Other,1310,1400,1355,
,11/07/2017,3,Other,1300,1341,1320,
,12/07/2017,7,Other,1300,1450,1365,
,13/07/2017,3,Other,1300,1350,1315,
,14/07/2017,4,Other,1305,1425,1365,
,15/07/2017,2,Other,1310,1310,1310,
,17/07/2017,10,Other,1320,1450,1355,
,18/07/2017,10,Other,1325,1425,1375,
,19/07/2017,7,Other,1330,1475,1405,
,20/07/2017,11,Other,1330,1500,1415,
,22/07/2017,10,Other,1350,1450,1405,
,24/07/2017,9,Other,1350,1451,1395,
,25/07/2017,4,Other,1350,1361,1357,
,27/07/2017,4,Other,1350,1450,1400,
,28/07/2017,4,Other,1350,1500,1410,
,29/07/2017,9,Other,1300,1375,1345,
,31/07/2017,6,Other,1350,1550,1450,
Baramati,06/07/2017,10, ,NR,NR,NR,
,10/07/2017,10, ,NR,NR,NR,
,13/07/2017,6, ,NR,NR,NR,
,17/07/2017,3, ,NR,NR,NR,
,20/07/2017,7, ,NR,NR,NR,
,24/07/2017,6, ,NR,NR,NR,
,27/07/2017,4, ,NR,NR,NR,
,31/07/2017,10, ,NR,NR,NR,
Beed,05/07/2017,15,Other,1330,1550,1400,
,06/07/2017,3,Other,1330,1560,1390,
,08/07/2017,3,Other,1330,1574,1400,
,10/07/2017,8,Other,1363,1616,1412,
,11/07/2017,3,Other,1330,1525,1450,
,12/07/2017,4,Other,1397,1676,1620,
,14/07/2017,1,Other,1330,1420,1420,
,15/07/2017,6,Other,1330,1502,1400,
,17/07/2017,6,Other,1330,1580,1400,
,19/07/2017,8,Other,1330,1580,1461,
,20/07/2017,1,Other,1330,1540,1386,
,21/07/2017,5,Other,1330,1571,1471,
,22/07/2017,4,Other,1335,1600,1400,
