Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aatpadi,25/03/2017,3,Other,1700,1900,1800,
Ahmednagar,02/03/2017,15,Other,1575,1600,1590,
,06/03/2017,3,Other,1400,1400,1400,
,07/03/2017,3,Other,1850,2000,1950,
,08/03/2017,6,Other,1701,2000,1930,
,10/03/2017,6,Other,1200,1215,1210,
,14/03/2017,12,Other,1500,1600,1575,
,15/03/2017,8,Other,1221,1251,1240,
,18/03/2017,2,Other,1215,1215,1215,
,20/03/2017,11,Other,1650,2200,2015,
,22/03/2017,2,Other,1450,1450,1450,
,23/03/2017,3,Other,1215,1215,1215,
,25/03/2017,7,Other,1400,1600,1550,
,29/03/2017,3,Other,1215,1215,1215,
Akluj,08/03/2017,1,Other,1401,1401,1401,
Akola,16/03/2017,1,Other,1700,1700,1700,
Akole,03/03/2017,1,Other,1500,2050,1700,
,10/03/2017,49,Other,1450,1900,1550,
,24/03/2017,1,Other,1400,1800,1500,
,31/03/2017,4,Other,1475,1900,1700,
Amalner,01/03/2017,2,Other,1200,1400,1400,
,02/03/2017,1,Other,1216,1225,1225,
,03/03/2017,2,Other,1200,1251,1251,
,04/03/2017,1,Other,1211,1501,1501,
,06/03/2017,1,Other,1200,1235,1235,
,07/03/2017,2,Other,1175,1351,1351,
,08/03/2017,5,Other,1200,1300,1300,
,09/03/2017,2,Other,1200,1300,1300,
,10/03/2017,1,Other,1200,1300,1300,
,11/03/2017,2,Other,1222,1225,1225,
,14/03/2017,2,Other,1211,1500,1500,
,15/03/2017,3,Other,1200,1300,1300,
,16/03/2017,2,Other,1200,1350,1350,
,17/03/2017,5,Other,1200,1575,1575,
,18/03/2017,5,Other,1175,1415,1415,
,20/03/2017,3,Other,1211,1571,1571,
,21/03/2017,6,Other,1200,1472,1472,
,22/03/2017,10,Other,1200,1411,1411,
,23/03/2017,10,Other,1200,1211,1211,
,24/03/2017,5,Other,1200,1211,1211,
,25/03/2017,7,Other,1205,1251,1251,
,27/03/2017,7,Other,1210,1251,1251,
Amarawati,02/03/2017,648,Other,1600,1850,1725,
Ambad (Vadigodri),01/03/2017,4,Other,1131,1451,1231,
,02/03/2017,3,Other,1169,1300,1200,
,03/03/2017,7,Other,1132,1515,1250,
,04/03/2017,4,Other,1210,1625,1330,
,06/03/2017,5,Other,1155,1400,1295,
,07/03/2017,4,Other,1155,1301,1250,
,08/03/2017,4,Other,1155,1330,1200,
,09/03/2017,3,Other,1105,1301,1200,
,10/03/2017,4,Other,1155,1450,1302,
,11/03/2017,3,Other,1150,1291,1205,
,14/03/2017,3,Other,1150,1500,1210,
,15/03/2017,5,Other,1155,1420,1200,
,16/03/2017,5,Other,1160,1330,1210,
,18/03/2017,5,Other,1139,1450,1230,
,20/03/2017,4,Other,1150,1410,1210,
,21/03/2017,4,Other,1139,1365,1200,
