Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ahmednagar,02/05/2017,6,Other,1275,1300,1290,
,03/05/2017,4,Other,1550,2100,1975,
,04/05/2017,1,Other,1261,1261,1261,
,05/05/2017,1,Other,1750,1750,1750,
,06/05/2017,3,Other,1261,1261,1261,
,08/05/2017,2,Other,1220,1220,1220,
,12/05/2017,3,Other,1450,1550,1530,
,16/05/2017,7,Other,1225,1225,1225,
,22/05/2017,2,Other,1500,1500,1500,
,24/05/2017,1,Other,1400,1400,1400,
,25/05/2017,1,Other,1301,1301,1301,
Akole,05/05/2017,1,Other,1400,1900,1550,
,12/05/2017,1,Other,1400,1900,1700,
Amalner,02/05/2017,10,Other,1211,1515,1515,
,03/05/2017,7,Other,1401,1500,1500,
,04/05/2017,15,Other,1461,1480,1480,
,05/05/2017,20,Other,1211,1425,1425,
,06/05/2017,25,Other,1221,1431,1431,
,08/05/2017,15,Other,1221,1416,1416,
,09/05/2017,20,Other,1240,1400,1400,
,11/05/2017,20,Other,1225,1397,1397,
,12/05/2017,15,Other,1340,1400,1400,
,13/05/2017,17,Other,1332,1371,1371,
,15/05/2017,15,Other,1211,1351,1351,
,17/05/2017,15,Other,1220,1351,1351,
,18/05/2017,20,Other,1225,1341,1341,
,19/05/2017,15,Other,1230,1351,1351,
,20/05/2017,7,Other,1300,1340,1340,
,22/05/2017,5,Other,1175,1318,1318,
,23/05/2017,10,Other,1200,1370,1370,
,24/05/2017,15,Other,1200,1350,1350,
,25/05/2017,8,Other,1190,1311,1311,
,26/05/2017,7,Other,1211,1315,1315,
,27/05/2017,6,Other,1050,1320,1320,
,29/05/2017,10,Other,1222,1303,1303,
,30/05/2017,5,Other,1231,1313,1313,
,31/05/2017,10,Other,1225,1390,1390,
Ambad (Vadigodri),02/05/2017,7,Other,1221,1476,1300,
,04/05/2017,4,Other,1210,1450,1320,
,05/05/2017,4,Other,1199,1389,1235,
,06/05/2017,5,Other,1241,1550,1326,
,11/05/2017,8,Other,1330,1700,1450,
,12/05/2017,6,Other,1500,1725,1650,
,15/05/2017,4,Other,1250,1600,1300,
,16/05/2017,5,Other,1171,1450,1271,
,17/05/2017,6,Other,1381,1540,1450,
,18/05/2017,3,Other,1191,1300,1270,
,19/05/2017,3,Other,1190,1430,1285,
,22/05/2017,2,Other,1175,1406,1275,
,23/05/2017,11,Other,1330,1451,1375,
,24/05/2017,4,Other,1200,1330,1250,
,26/05/2017,7,Other,1351,1600,1500,
,27/05/2017,3,Other,1330,1650,1541,
,29/05/2017,7,Other,1271,1450,1300,
,30/05/2017,8,Other,1800,1900,1831,
,31/05/2017,4,Other,1350,1581,1400,
Aurangabad,02/05/2017,1,Other,1250,1500,1375,
,03/05/2017,4,Other,1250,1760,1505,
,04/05/2017,5,Other,1250,1900,1575,
