Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abu Road,12/04/2016,0.3,Other,1675,1725,1700,
Ajmer (Grain),05/04/2016,1.2,Other,1430,1560,1540,
,13/04/2016,2.6,Other,1520,1550,1530,
,26/04/2016,2.5,Other,1350,1480,1440,
,28/04/2016,1.5,Other,1410,1550,1530,
Alwar,01/04/2016,6.2,Other,1520,1550,1540,
,02/04/2016,4.5,Other,1520,1550,1540,
,04/04/2016,8.5,Other,1520,1555,1540,
,06/04/2016,2.5,Other,1520,1555,1540,
,07/04/2016,6.5, ,NR,NR,NR,
,08/04/2016,7.7, ,NR,NR,NR,
,11/04/2016,21.3, ,NR,NR,NR,
,13/04/2016,3.9,Other,1500,1550,1525,
,14/04/2016,0.4,Other,1500,1550,1525,
,15/04/2016,3.6,Other,1500,1550,1525,
,16/04/2016,3.5,Other,1500,1540,1520,
,18/04/2016,13.4,Other,1500,1550,1525,
,19/04/2016,9.4,Other,1500,1550,1525,
,20/04/2016,11.2,Other,1500,1550,1525,
,21/04/2016,2.5,Other,1500,1550,1525,
,22/04/2016,6,Other,1500,1550,1530,
,23/04/2016,4,Other,1500,1550,1530,
,25/04/2016,3.9,Other,1480,1520,1500,
,26/04/2016,2.9,Other,1500,1540,1525,
Bandikui,01/04/2016,70.6,Other,1475,1635,1555,
,02/04/2016,72.2,Other,1550,1616,1583,
,03/04/2016,50.6,Other,1460,1588,1524,
,04/04/2016,35,Other,1485,1602,1543,
,06/04/2016,59.1, ,NR,NR,NR,
,07/04/2016,34.7, ,NR,NR,NR,
,08/04/2016,36.8, ,NR,NR,NR,
,09/04/2016,34.2, ,NR,NR,NR,
,10/04/2016,40, ,NR,NR,NR,
,11/04/2016,34,Other,1568,1612,1590,
,13/04/2016,37.2,Other,1490,1654,1572,
,14/04/2016,23.9,Other,1500,1648,1574,
,16/04/2016,31.2,Other,1400,1635,1517,
,17/04/2016,18.2,Other,1548,1628,1588,
,18/04/2016,16.5,Other,1570,1610,1590,
,20/04/2016,23.4,Other,1500,1652,1576,
,21/04/2016,18,Other,1585,1639,1612,
,22/04/2016,20.1,Other,1480,1600,1540,
,23/04/2016,3.9,Other,1465,1588,1526,
,24/04/2016,9.1,Other,1410,1588,1499,
,25/04/2016,10.1,Other,1560,1588,1574,
,27/04/2016,6.6,Other,1505,1650,1578,
,28/04/2016,18.4,Other,1450,1615,1532,
Bandikui(Geejgarh),01/04/2016,6.3,Other,1602,1602,1602,
,02/04/2016,3.6,Other,1581,1581,1581,
,03/04/2016,2.6,Other,1581,1581,1581,
,05/04/2016,4.4,Other,1560,1570,1565,
,06/04/2016,9.8,Other,1545,1550,1547,
,07/04/2016,3.1,Other,1550,1550,1550,
,08/04/2016,3.1,Other,1550,1558,1554,
,09/04/2016,2.3,Other,1562,1562,1562,
,10/04/2016,17.9,Other,1575,1575,1575,
,12/04/2016,24.5,Other,1548,1571,1560,
,13/04/2016,27.6,Other,1560,1575,1567,
,14/04/2016,1.1,Other,1581,1581,1581,
,15/04/2016,20.2,Other,1575,1595,1585,
,16/04/2016,0.3,Other,1588,1588,1588,
,17/04/2016,0.4,Other,1595,1595,1595,
,19/04/2016,0.9,Other,1562,1570,1566,
,21/04/2016,15.9,Other,1575,1590,1582,
,22/04/2016,1.4,Other,1585,1590,1587,
,23/04/2016,0.6,Other,1580,1590,1585,
,24/04/2016,0.3,Other,1571,1571,1571,
,26/04/2016,0.8,Other,1561,1579,1570,
,27/04/2016,0.8,Other,1580,1585,1583,
Barmer,01/04/2016,91.6,Bold,1510,1570,1560,
,02/04/2016,84.6,Bold,1510,1660,1570,
,04/04/2016,109.4,Other,1700,1800,1750,
,05/04/2016,101.1,Bold,1700,1800,1775,
,08/04/2016,45,Other,1700,1800,1750,
,09/04/2016,21.2,Other,1700,1800,1750,
,11/04/2016,30,Bold,1700,1800,1750,
,12/04/2016,30.3,Other,1700,1800,1750,
,13/04/2016,0.9, ,NR,NR,NR,
,14/04/2016,42.9,Other,1700,1800,1750,
,15/04/2016,28.3,Bold,1700,1800,1750,
,20/04/2016,44.6,Bold,1700,1800,1750,
,21/04/2016,28,Other,1700,1800,1750,
,25/04/2016,47.6,Other,1700,1800,1750,
,30/04/2016,15.4,Other,3200,3300,3250,
Bayana,01/04/2016,15.8,Other,1575,1600,1590,
,02/04/2016,38.1,Other,1576,1600,1590,
,04/04/2016,15.5,Other,1560,1585,1570,
,05/04/2016,23.2,Other,1530,1535,1530,
,06/04/2016,18.2,Other,1510,1530,1525,
,07/04/2016,28.5, ,NR,NR,NR,
,08/04/2016,14.4, ,NR,NR,NR,
,09/04/2016,27.1, ,NR,NR,NR,
,11/04/2016,31.4,Other,1510,1550,1525,
,12/04/2016,26.3,Other,1515,1540,1525,
,13/04/2016,24.8,Other,1511,1525,1520,
,15/04/2016,15,Other,1540,1545,1545,
,16/04/2016,19.8,Other,1540,1545,1545,
,18/04/2016,22.5,Other,1540,1550,1550,
,19/04/2016,17.2,Other,1540,1550,1550,
,20/04/2016,8.6,Other,1540,1550,1550,
,21/04/2016,10.5,Other,1550,1566,1560,
,22/04/2016,5.2,Other,1550,1560,1550,
,23/04/2016,14,Other,1550,1565,1560,
,25/04/2016,8.6,Other,1545,1550,1550,
,26/04/2016,14.8,Other,1555,1575,1565,
,27/04/2016,3.4,Other,1562,1562,1562,
,28/04/2016,6.2,Other,1562,1575,1575,
,29/04/2016,5.3,Other,1588,1590,1590,
,30/04/2016,6.8,Other,1575,1580,1580,
Beawar,01/04/2016,1.5,Other,1600,1700,1650,
,03/04/2016,1.2, ,NR,NR,NR,
,04/04/2016,3, ,NR,NR,NR,
,06/04/2016,3,Other,1600,1700,1650,
,12/04/2016,0.4,Other,1600,1750,1650,
,13/04/2016,0.4,Other,1650,1700,1675,
,14/04/2016,3.4,Other,1650,1700,1675,
,16/04/2016,1.2,Other,1650,1700,1675,
