Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ajmer (Grain),01/03/2017,1,Other,1400,1400,1400,
,02/03/2017,0.7,Other,1400,1400,1400,
,06/03/2017,1,Other,1400,1400,1400,
,21/03/2017,1,Other,1500,1500,1500,
Alwar,01/03/2017,25.8,Other,1305,1330,1320,
,02/03/2017,10.9,Other,1305,1330,1320,
,03/03/2017,18.6,Other,1300,1325,1315,
,04/03/2017,13.1,Other,1290,1315,1305,
,06/03/2017,18.4,Other,1290,1310,1300,
,07/03/2017,24.6,Other,1300,1320,1310,
,08/03/2017,13.1,Other,1305,1325,1315,
,09/03/2017,19.9,Other,1310,1330,1320,
,10/03/2017,32.9,Other,1310,1335,1325,
,11/03/2017,21.7,Other,1310,1335,1325,
,15/03/2017,18,Other,1315,1335,1325,
,16/03/2017,14.2,Other,1310,1330,1320,
,17/03/2017,9.6,Other,1300,1325,1315,
,18/03/2017,29,Other,1310,1335,1325,
,20/03/2017,14, ,NR,NR,NR,
,21/03/2017,27.5, ,NR,NR,NR,
,22/03/2017,21.6,Other,1320,1350,1335,
,23/03/2017,36.7,Other,1300,1330,1315,
,24/03/2017,26.2,Other,1300,1325,1315,
,25/03/2017,17.9,Other,1300,1325,1315,
,27/03/2017,54.9,Other,1300,1330,1315,
,28/03/2017,23.8,Other,1300,1330,1315,
,30/03/2017,14.6,Other,1290,1320,1305,
,31/03/2017,18.3,Other,1290,1320,1305,
Anoopgarh,11/03/2017,0.3,Other,1275,1275,1275,
,21/03/2017,0.3,Other,1400,1400,1400,
,22/03/2017,2.8,Other,1200,1371,1285,
Balotra,18/03/2017,10,Deshi,1300,1450,1400,
Bandikui,01/03/2017,58.9,Other,1241,1364,1303,
,02/03/2017,49.4,Other,1320,1361,1341,
,03/03/2017,44.5,Other,1316,1368,1342,
,04/03/2017,46.9,Other,1250,1349,1300,
,05/03/2017,83.1,Other,1320,1370,1345,
,06/03/2017,45.8,Other,1300,1350,1325,
,08/03/2017,62.4,Other,1335,1375,1355,
,09/03/2017,92,Other,1270,1367,1319,
,15/03/2017,130,Other,1330,1420,1375,
,16/03/2017,113.8,Other,1360,1410,1385,
,17/03/2017,125,Other,1320,1425,1373,
