Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ajmer (Grain),06/11/2017,1,Other,1125,1125,1125,
,07/11/2017,5,Other,1150,1150,1150,
,09/11/2017,1.5,Other,1150,1150,1150,
,14/11/2017,3.5,Other,1150,1150,1150,
,15/11/2017,2.9,Other,1150,1150,1150,
,20/11/2017,1.5,Other,1150,1150,1150,
,22/11/2017,2.5, ,NR,NR,NR,
,24/11/2017,1,Other,1100,1100,1100,
Alwar,01/11/2017,58.3,Other,1110,1150,1120,
,02/11/2017,62.4,Other,1110,1150,1120,
,03/11/2017,77.8,Other,1110,1140,1120,
,04/11/2017,76.5,Other,1110,1140,1120,
,06/11/2017,87.1,Other,1110,1150,1120,
,07/11/2017,77.3,Other,1120,1150,1130,
,09/11/2017,88.8,Other,1130,1165,1140,
,10/11/2017,83.3,Other,1130,1170,1150,
,11/11/2017,132.4,Other,1135,1175,1150,
,13/11/2017,72.1,Other,1140,1190,1155,
,14/11/2017,71.8,Other,1145,1180,1155,
,15/11/2017,66.2,Other,1145,1180,1155,
,16/11/2017,51.1,Other,1145,1185,1155,
,17/11/2017,56.3,Other,1145,1180,1160,
,18/11/2017,86,Other,1145,1180,1160,
,20/11/2017,71.8,Other,1140,1175,1160,
,21/11/2017,53.7,Other,1140,1180,1150,
,22/11/2017,59.8,Other,1140,1180,1150,
,24/11/2017,39.2,Other,1125,1150,1135,
,25/11/2017,44.9,Other,1125,1150,1140,
,27/11/2017,46.9,Other,1130,1150,1140,
,28/11/2017,39.3,Other,2500,2800,2700,
,29/11/2017,44.1,Other,1130,1150,1140,
,30/11/2017,70,Other,1130,1150,1140,
Anoopgarh,01/11/2017,1.5,Other,1165,1165,1165,
,02/11/2017,10.9,Other,1125,1167,1146,
,03/11/2017,5.1,Other,1100,1171,1136,
,06/11/2017,7.9,Other,1155,1181,1168,
,07/11/2017,11.7,Other,1170,1191,1181,
,08/11/2017,5.1,Other,1160,1171,1166,
,09/11/2017,4.6,Other,1160,1191,1176,
,10/11/2017,5,Other,1125,1150,1138,
,11/11/2017,15,Other,1150,1164,1157,
,13/11/2017,10.3,Other,1171,1183,1177,
,14/11/2017,12.4,Other,1161,1180,1171,
,15/11/2017,23.8,Other,1120,1185,1153,
,16/11/2017,5,Other,1160,1168,1164,
,17/11/2017,9.5,Other,1161,1173,1167,
,18/11/2017,11.5,Other,1125,1177,1151,
,20/11/2017,19,Other,1150,1173,1162,
,21/11/2017,25.8,Other,1160,1179,1170,
,22/11/2017,19.4,Other,1100,1181,1141,
,23/11/2017,5.7,Other,1160,1181,1171,
,24/11/2017,8.6,Other,1140,1161,1151,
,25/11/2017,9.5,Other,1125,1171,1148,
,27/11/2017,18.6,Other,1110,1173,1142,
,28/11/2017,15.4,Other,1150,1174,1162,
,29/11/2017,4.5,Other,1160,1176,1168,
,30/11/2017,24.1,Other,1176,1212,1194,
Balotra,04/11/2017,1,Deshi,1400,1500,1450,
,15/11/2017,2,Deshi,1250,1350,1300,
Bandikui,01/11/2017,257.1,Other,1120,1209,1165,
,02/11/2017,370,Other,1134,1190,1162,
,03/11/2017,320.5,Other,1120,1224,1172,
,04/11/2017,238.2,Other,1105,1191,1148,
,05/11/2017,305,Other,1108,1228,1168,
,06/11/2017,293,Other,1089,1235,1164,
,08/11/2017,286.7,Other,1090,1251,1171,
,09/11/2017,299,Other,1116,1288,1202,
,10/11/2017,336.5,Other,1120,1301,1211,
,11/11/2017,307,Other,1119,1299,1209,
,12/11/2017,348,Other,1110,1285,1198,
,13/11/2017,245.8,Other,1130,1270,1200,
,15/11/2017,246.2,Other,1120,1310,1215,
,16/11/2017,181.1,Other,1107,1202,1155,
,18/11/2017,201,Other,1090,1281,1186,
,19/11/2017,218.8,Other,1099,1244,1172,
,20/11/2017,143.4,Other,1104,1240,1172,
,22/11/2017,176.8,Other,1088,1221,1155,
,23/11/2017,136.6,Other,1113,1250,1182,
,24/11/2017,125.2,Other,1105,1219,1162,
,25/11/2017,151.8,Other,1108,1250,1179,
,26/11/2017,203.8,Other,1107,1249,1178,
,29/11/2017,125.7,Other,1080,1222,1151,
Bandikui(Geejgarh),01/11/2017,66.3,Other,1080,1137,1109,
,02/11/2017,43.7,Other,1020,1129,1075,
,03/11/2017,23.9,Other,1033,1153,1093,
,04/11/2017,37,Other,1088,1135,1116,
,05/11/2017,26.8,Other,1095,1150,1123,
,07/11/2017,26.4,Other,1051,1153,1102,
,08/11/2017,20,Other,1100,1125,1113,
,09/11/2017,31.5,Other,1036,1148,1092,
,10/11/2017,13.4,Other,1130,1143,1137,
,11/11/2017,15.9,Other,1068,1156,1112,
,12/11/2017,25,Other,1075,1170,1123,
,14/11/2017,23.6,Other,1100,1141,1121,
,15/11/2017,9.5,Other,1095,1145,1120,
,16/11/2017,15,Other,1100,1150,1125,
,17/11/2017,10.1,Other,1100,1157,1129,
,18/11/2017,8.5,Other,1091,1140,1116,
,19/11/2017,13.8,Other,1050,1445,1248,
Baran,14/11/2017,1.7,Other,1216,1216,1216,
,20/11/2017,1.4,Other,1231,1231,1231,
,22/11/2017,0.8,Other,1200,1200,1200,
,25/11/2017,0.8,Other,1240,1240,1240,
Barmer,01/11/2017,28,Other,1300,1320,1310,
,10/11/2017,1,Bold,5650,5800,5750,
,21/11/2017,9,Other,1280,1320,1300,
Bayana,01/11/2017,297.1,Other,1050,1136,1115,
,02/11/2017,330.5,Other,1100,1160,1125,
,03/11/2017,343.4,Other,1100,1153,1130,
,04/11/2017,343.4,Other,1115,1157,1140,
,06/11/2017,328.1,Other,1110,1166,1135,
,07/11/2017,314.3,Other,1121,1160,1130,
,08/11/2017,273.3,Other,1113,1166,1150,
,09/11/2017,252.2,Other,1116,1157,1140,
,10/11/2017,288.9,Other,1120,1155,1140,
,11/11/2017,277.9,Other,1119,1179,1150,
,13/11/2017,282.1,Other,1121,1181,1150,
,14/11/2017,259.6,Other,1125,1168,1140,
,15/11/2017,123.7,Other,1130,1150,1140,
,16/11/2017,307.1,Other,1125,1153,1135,
,17/11/2017,209.8,Other,1103,1144,1135,
,18/11/2017,137.2,Other,1145,1145,1145,
,20/11/2017,296.3,Other,1110,1150,1130,
,21/11/2017,202.7,Other,1115,1148,1125,
,22/11/2017,189.1,Other,1060,1160,1140,
,24/11/2017,189.6,Other,1123,1172,1150,
,25/11/2017,203.7,Other,1120,1178,1155,
,27/11/2017,243,Other,1121,1172,1150,
,28/11/2017,185.4,Other,1116,1180,1150,
,29/11/2017,162.6,Other,1101,1165,1140,
,30/11/2017,86.7,Other,1091,1154,1125,
Beawar,02/11/2017,7.7,Other,1100,1175,1138,
,06/11/2017,19,Other,1200,1250,1225,
,07/11/2017,9.6,Other,1200,1250,1225,
,08/11/2017,10.2,Other,1175,1250,1212,
,10/11/2017,7.6,Other,1175,1250,1212,
,11/11/2017,6.1,Other,1150,1250,1200,
,12/11/2017,6.1,Other,1150,1250,1200,
,13/11/2017,6.6,Other,1150,1250,1200,
,14/11/2017,6.8,Other,1150,1250,1200,
,21/11/2017,9.7,Other,1200,1250,1225,
,27/11/2017,17.8,Other,1200,1250,1225,
,28/11/2017,1,Other,1200,1250,1225,
,29/11/2017,9.5,Other,1200,1250,1225,
,30/11/2017,9.5,Other,1200,1250,1225,
Bhadara,02/11/2017,0.4,Other,1250,1250,1250,
,03/11/2017,0.7,Other,1260,1260,1260,
,04/11/2017,1.5,Other,1276,1276,1276,
,13/11/2017,0.6,Other,3700,4095,3898,
,15/11/2017,0.5,Other,1242,1242,1242,
,16/11/2017,0.3,Other,1247,1247,1247,
,18/11/2017,1,Other,1250,1250,1250,
,21/11/2017,0.3,Other,1250,1250,1250,
,22/11/2017,0.5,Other,1255,1255,1255,
Bharatpur,01/11/2017,200, ,NR,NR,NR,
,02/11/2017,376, ,NR,NR,NR,
,03/11/2017,335, ,NR,NR,NR,
,04/11/2017,401.5, ,NR,NR,NR,
,06/11/2017,501, ,NR,NR,NR,
,07/11/2017,459.2, ,NR,NR,NR,
,08/11/2017,509.8, ,NR,NR,NR,
,09/11/2017,410.5, ,NR,NR,NR,
,10/11/2017,468.2, ,NR,NR,NR,
,11/11/2017,298, ,NR,NR,NR,
,13/11/2017,210.5, ,NR,NR,NR,
,14/11/2017,158.1, ,NR,NR,NR,
,15/11/2017,276.2, ,NR,NR,NR,
,16/11/2017,148.6, ,NR,NR,NR,
,17/11/2017,127.8, ,NR,NR,NR,
,18/11/2017,241.5, ,NR,NR,NR,
,20/11/2017,251.5, ,NR,NR,NR,
,21/11/2017,141.1, ,NR,NR,NR,
,22/11/2017,184.5, ,NR,NR,NR,
,23/11/2017,142.2, ,NR,NR,NR,
,24/11/2017,150.8, ,NR,NR,NR,
,25/11/2017,161, ,NR,NR,NR,
,27/11/2017,215.8, ,NR,NR,NR,
,28/11/2017,112.6, ,NR,NR,NR,
,29/11/2017,154.9, ,NR,NR,NR,
,30/11/2017,204.2, ,NR,NR,NR,
Bharatpur(Kumer),02/11/2017,2.9,Other,1111,1141,1126,
,03/11/2017,3.7,Other,1100,1150,1125,
,04/11/2017,1.9,Other,1085,1085,1085,
,06/11/2017,1.9,Other,1060,1137,1099,
,07/11/2017,0.4,Other,1170,1170,1170,
,10/11/2017,4.8,Other,1111,1191,1151,
,11/11/2017,1.5,Other,1140,1218,1179,
,13/11/2017,3.8,Other,1111,1160,1136,
,14/11/2017,5.4,Other,1111,1153,1132,
,15/11/2017,4.7,Other,1081,1170,1126,
,16/11/2017,2.2,Other,1090,1100,1095,
,17/11/2017,2.6,Other,1070,1130,1100,
,18/11/2017,0.6,Other,1115,1115,1115,
,20/11/2017,1.8,Other,1111,1140,1126,
,21/11/2017,1.1,Other,1100,1100,1100,
,22/11/2017,3,Other,1111,1121,1116,
,23/11/2017,2.9,Other,1050,1100,1075,
,24/11/2017,4.7,Other,1051,1110,1081,
,25/11/2017,2.1,Other,1075,1130,1103,
,27/11/2017,5.5,Other,1058,1141,1100,
,28/11/2017,5.2,Other,1053,1101,1077,
,29/11/2017,2.4,Other,1047,1060,1054,
,30/11/2017,4.2,Other,1060,1070,1065,
Bheenmal(Ranlwada),04/11/2017,8,Other,1200,1400,1300,
,07/11/2017,2.1,Other,1100,1200,1150,
,15/11/2017,0.9,Other,1000,1400,1200,
,17/11/2017,5.7,Other,1200,1400,1300,
Bhinmal,14/11/2017,21.2, ,NR,NR,NR,
,18/11/2017,4,Other,1300,1300,1300,
Bijay Nagar,08/11/2017,0.6,Other,1180,1180,1180,
,14/11/2017,0.2,Other,1200,1200,1200,
,21/11/2017,0.5,Other,1220,1220,1220,
,28/11/2017,0.6,Other,1250,1250,1250,
,30/11/2017,0.2,Other,1233,1233,1233,
Bilara,15/11/2017,98.2,Other,5575,5575,5575,
Chaksu,01/11/2017,150.1,Other,1090,1180,1100,
,02/11/2017,146.6,Other,950,1240,1081,
,03/11/2017,97.8,Other,940,1230,1150,
,06/11/2017,168.5,Other,1000,1210,1180,
,07/11/2017,173.9,Other,900,1270,1190,
,08/11/2017,183.8,Other,1000,1280,1210,
,09/11/2017,143.5,Other,1000,1280,1150,
,10/11/2017,147.9,Other,1050,1340,1250,
,11/11/2017,137.9,Other,1050,1340,1250,
,13/11/2017,144.6,Other,1030,1340,1200,
,14/11/2017,137.1, ,NR,NR,NR,
,15/11/2017,132.5,Other,1120,1305,1200,
,17/11/2017,57,Other,1100,1205,1160,
,18/11/2017,76.5,Other,1110,1274,1165,
,20/11/2017,105.7,Other,1150,1226,1175,
,21/11/2017,71.6,Other,1140,1275,1170,
,22/11/2017,105,Other,1140,1215,1165,
,23/11/2017,82.6,Other,1140,1270,1180,
,24/11/2017,100.3,Other,1100,1250,1180,
,25/11/2017,29.9,Other,1100,1250,1170,
,27/11/2017,106.9,Other,1100,1262,1200,
,28/11/2017,81.6,Other,1000,1220,1200,
,29/11/2017,70.6,Other,1145,1228,1200,
,30/11/2017,102,Other,1050,1250,1200,
Chirwa,02/11/2017,5.1,Other,1130,1130,1130,
,03/11/2017,9.6,Other,1130,1135,1132,
,04/11/2017,4,Other,1140,1140,1140,
,05/11/2017,8.5,Other,1140,1145,1142,
,06/11/2017,2,Other,1140,1140,1140,
,07/11/2017,2.8,Other,1140,1140,1140,
,09/11/2017,7.6,Other,1150,1160,1155,
,10/11/2017,4.4,Other,1160,1160,1160,
,11/11/2017,5.9,Other,1160,1165,1163,
,12/11/2017,3.8,Other,1160,1170,1165,
,13/11/2017,6.5,Other,1160,1170,1165,
,14/11/2017,4.2,Other,1160,1160,1160,
,16/11/2017,2.4,Other,1170,1170,1170,
,17/11/2017,3.5,Other,1160,1180,1170,
,18/11/2017,0.7,Other,1180,1180,1180,
,19/11/2017,2.8,Other,1170,1180,1175,
,20/11/2017,3.3,Other,1170,1180,1175,
,21/11/2017,3.3,Other,1180,1180,1180,
,23/11/2017,1.5,Other,1180,1180,1180,
,24/11/2017,8,Other,1180,1180,1180,
,25/11/2017,0.8,Other,1180,1180,1180,
,26/11/2017,14.3,Other,1180,1180,1180,
,28/11/2017,1,Other,1180,1180,1180,
Chomu,01/11/2017,177.6,Other,1060,1110,1085,
,02/11/2017,93.7,Other,1080,1120,1100,
,03/11/2017,115.8,Other,1080,1135,1100,
,04/11/2017,67.6,Other,1075,1135,1100,
,06/11/2017,94,Other,1070,1140,1110,
,07/11/2017,106.5,Other,1080,1128,1100,
,08/11/2017,69.3,Other,1090,1125,1105,
,09/11/2017,84.4,Other,1100,1140,1120,
,10/11/2017,61.3,Other,1120,1160,1140,
,11/11/2017,42.3,Other,1130,1180,1150,
,13/11/2017,66.9,Other,1120,1190,1130,
,14/11/2017,70.2,Other,1100,1155,1128,
,15/11/2017,58,Other,1100,1140,1120,
,16/11/2017,57.8,Other,1120,1160,1130,
,17/11/2017,49.6,Other,1110,1180,1150,
,18/11/2017,40.1,Other,1110,1180,1140,
,20/11/2017,49.4,Other,1120,1170,1140,
,21/11/2017,48.4,Other,1080,1145,1110,
,22/11/2017,44.4,Other,1090,1135,1120,
,23/11/2017,30.5,Other,1080,1160,1130,
,24/11/2017,55,Other,1090,1180,1140,
,25/11/2017,35.4,Other,1080,1190,1150,
,27/11/2017,64,Other,1080,1140,1120,
,28/11/2017,24.6,Other,1090,1160,1130,
,29/11/2017,33.8,Other,1070,1180,1140,
,30/11/2017,30.6,Other,1140,1202,1170,
Churu,21/11/2017,5.5,Other,1200,1250,1225,
Dausa,02/11/2017,588.8,Other,1111,1245,1178,
,03/11/2017,643.8,Other,1105,1245,1175,
,04/11/2017,471.8,Other,1105,1233,1167,
,06/11/2017,578.5,Other,1111,1245,1178,
,07/11/2017,423.3,Other,1105,1280,1192,
,08/11/2017,393.7,Other,1090,1222,1156,
,09/11/2017,339.2,Other,1105,1221,1163,
,10/11/2017,370.3,Other,1100,1235,1167,
,11/11/2017,293.9,Other,1111,1281,1196,
,13/11/2017,294,Other,1111,1270,1190,
,14/11/2017,302.1,Other,1111,1222,1166,
,15/11/2017,310.4,Other,1111,1241,1176,
,16/11/2017,262.2,Other,1111,1126,1118,
,20/11/2017,385,Other,1091,1223,1157,
,21/11/2017,249.3,Other,1511,1511,1511,
,22/11/2017,177.9,Other,1090,1223,1156,
,23/11/2017,180.1,Other,1090,1232,1161,
,24/11/2017,132,Other,1090,1238,1164,
,25/11/2017,133.5,Other,1090,1262,1176,
,27/11/2017,208.3,Other,1103,1232,1167,
,28/11/2017,179.6,Other,1105,1234,1168,
,29/11/2017,184.6,Other,1090,1225,1158,
,30/11/2017,197.2,Other,1090,1234,1162,
Deedwana,01/11/2017,10, ,NR,NR,NR,
