Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bakswaha,01/08/2018,21,Bengal Gram (Split),3400,3500,3450,
Maksi,18/08/2018,18,Bengal Gram (Split),3000,3300,3166,
Ujjain,01/08/2018,37.8,Bengal Gram (Split),2300,4320,4139,
,,,Desi (F.A.Q. Split),3900,4335,4021,
,02/08/2018,43.2,Bengal Gram (Split),2201,4350,4100,
,,,Desi (F.A.Q. Split),3799,4071,4071,
,03/08/2018,50.6,Bengal Gram (Split),2400,4294,4090,
,,,Desi (F.A.Q. Split),3900,4040,3999,
,04/08/2018,35.7,Bengal Gram (Split),3000,4620,4075,
,,,Desi (F.A.Q. Split),3800,3900,3900,
,06/08/2018,32.8,Bengal Gram (Split),2225,4550,3671,
,,,Desi (F.A.Q. Split),3544,3885,3770,
,07/08/2018,27.8,Bengal Gram (Split),2391,4059,3890,
,,,Desi (F.A.Q. Split),3600,3972,3775,
,08/08/2018,16.9,Bengal Gram (Split),2950,4061,3849,
,,,Desi (F.A.Q. Split),3300,3980,3731,
,09/08/2018,15.8,Bengal Gram (Split),3344,4100,3802,
,,,Desi (F.A.Q. Split),3412,3412,3412,
,10/08/2018,8.1,Bengal Gram (Split),3300,4100,3850,
,,,Desi (F.A.Q. Split),3912,3932,3932,
,13/08/2018,16.5,Bengal Gram (Split),2551,4211,3925,
,,,Desi (F.A.Q. Split),3950,4099,4050,
,14/08/2018,26.3,Bengal Gram (Split),2500,4290,4290,
,,,Desi (F.A.Q. Split),2370,4090,3874,
,16/08/2018,8.9,Bengal Gram (Split),2353,4251,3749,
,,,Desi (F.A.Q. Split),2551,3885,3885,
,18/08/2018,10.8,Bengal Gram (Split),2806,4330,3696,
,,,Desi (F.A.Q. Split),3754,3926,3926,
,20/08/2018,30,Bengal Gram (Split),2515,4100,3882,
,,,Desi (F.A.Q. Split),3825,3849,3849,
,21/08/2018,2.9,Bengal Gram (Split),3350,4082,3850,
,23/08/2018,6,Bengal Gram (Split),3000,4280,3600,
,,,Desi (F.A.Q. Split),3000,4024,3900,
,24/08/2018,13.2,Bengal Gram (Split),2252,4025,3481,
,,,Desi (F.A.Q. Split),3800,3849,3849,
,28/08/2018,14.6,Bengal Gram (Split),2825,4000,3490,
,29/08/2018,6,Bengal Gram (Split),3265,4190,3450,
,30/08/2018,14.7,Bengal Gram (Split),2470,3883,3680,
,31/08/2018,48.2,Bengal Gram (Split),2395,3912,3551,
,,,Desi (F.A.Q. Split),3281,3731,3561,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bakswaha,01/08/2018,21,Bengal Gram (Split),3400,3500,3450,
Maksi,18/08/2018,18,Bengal Gram (Split),3000,3300,3166,
Ujjain,01/08/2018,37.8,Bengal Gram (Split),2300,4320,4139,
,,,Desi (F.A.Q. Split),3900,4335,4021,
,02/08/2018,43.2,Bengal Gram (Split),2201,4350,4100,
,,,Desi (F.A.Q. Split),3799,4071,4071,
,03/08/2018,50.6,Bengal Gram (Split),2400,4294,4090,
,,,Desi (F.A.Q. Split),3900,4040,3999,
,04/08/2018,35.7,Bengal Gram (Split),3000,4620,4075,
,,,Desi (F.A.Q. Split),3800,3900,3900,
,06/08/2018,32.8,Bengal Gram (Split),2225,4550,3671,
,,,Desi (F.A.Q. Split),3544,3885,3770,
,07/08/2018,27.8,Bengal Gram (Split),2391,4059,3890,
,,,Desi (F.A.Q. Split),3600,3972,3775,
,08/08/2018,16.9,Bengal Gram (Split),2950,4061,3849,
,,,Desi (F.A.Q. Split),3300,3980,3731,
,09/08/2018,15.8,Bengal Gram (Split),3344,4100,3802,
,,,Desi (F.A.Q. Split),3412,3412,3412,
,10/08/2018,8.1,Bengal Gram (Split),3300,4100,3850,
,,,Desi (F.A.Q. Split),3912,3932,3932,
,13/08/2018,16.5,Bengal Gram (Split),2551,4211,3925,
,,,Desi (F.A.Q. Split),3950,4099,4050,
,14/08/2018,26.3,Bengal Gram (Split),2500,4290,4290,
,,,Desi (F.A.Q. Split),2370,4090,3874,
,16/08/2018,8.9,Bengal Gram (Split),2353,4251,3749,
,,,Desi (F.A.Q. Split),2551,3885,3885,
,18/08/2018,10.8,Bengal Gram (Split),2806,4330,3696,
,,,Desi (F.A.Q. Split),3754,3926,3926,
,20/08/2018,30,Bengal Gram (Split),2515,4100,3882,
,,,Desi (F.A.Q. Split),3825,3849,3849,
,21/08/2018,2.9,Bengal Gram (Split),3350,4082,3850,
,23/08/2018,6,Bengal Gram (Split),3000,4280,3600,
,,,Desi (F.A.Q. Split),3000,4024,3900,
,24/08/2018,13.2,Bengal Gram (Split),2252,4025,3481,
,,,Desi (F.A.Q. Split),3800,3849,3849,
,28/08/2018,14.6,Bengal Gram (Split),2825,4000,3490,
,29/08/2018,6,Bengal Gram (Split),3265,4190,3450,
,30/08/2018,14.7,Bengal Gram (Split),2470,3883,3680,
,31/08/2018,48.2,Bengal Gram (Split),2395,3912,3551,
,,,Desi (F.A.Q. Split),3281,3731,3561,
