Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Badwaha,28/10/2018,0.4,Bengal Gram (Split),3100,3400,3400,
Hanumana,01/10/2018,210, ,NR,NR,NR,
,02/10/2018,195, ,NR,NR,NR,
,04/10/2018,102,Bengal Gram Dal,2800,3000,2900,
Maksi,20/10/2018,22.1,Bengal Gram (Split),2800,3050,2900,
,21/10/2018,0.05,Bengal Gram (Split),2800,3000,2900,
,22/10/2018,194.63,Bengal Gram (Split),2785,2975,2850,
Raghogarh,27/10/2018,0.3,Bengal Gram (Split),3350,3350,3350,
Ujjain,01/10/2018,45.4,Bengal Gram (Split),3470,4430,3903,
,,,Desi (F.A.Q. Split),3670,4161,3901,
,03/10/2018,66.1,Bengal Gram (Split),3250,4570,3991,
,,,Desi (F.A.Q. Split),3400,4000,3990,
,04/10/2018,52.8,Bengal Gram (Split),3000,4390,4029,
,,,Desi (F.A.Q. Split),3840,4095,4041,
,05/10/2018,115.7,Bengal Gram (Split),2502,4200,3890,
,,,Desi (F.A.Q. Split),3680,4121,3815,
,06/10/2018,126.5,Bengal Gram (Split),3201,4313,4072,
,,,Desi (F.A.Q. Split),3900,3950,3945,
,09/10/2018,165.8,Bengal Gram (Split),2330,4265,3835,
,,,Desi (F.A.Q. Split),3200,3900,3775,
,11/10/2018,188.2,Bengal Gram (Split),2711,4150,3890,
,,,Desi (F.A.Q. Split),2565,3940,3725,
,12/10/2018,193.8,Bengal Gram (Split),3100,4126,3841,
,,,Desi (F.A.Q. Split),3311,3891,3686,
,13/10/2018,18,Bengal Gram (Split),3011,3950,3765,
,,,Desi (F.A.Q. Split),3681,3741,3741,
,15/10/2018,112.5,Bengal Gram (Split),2920,4110,3881,
,,,Desi (F.A.Q. Split),3300,3773,3570,
,16/10/2018,122.7,Bengal Gram (Split),2901,3925,3790,
,,,Desi (F.A.Q. Split),3200,3765,3530,
,20/10/2018,30.8,Bengal Gram (Split),3000,4041,3826,
,,,Desi (F.A.Q. Split),3250,3891,3575,
,22/10/2018,100.4,Bengal Gram (Split),3200,3961,3725,
,,,Desi (F.A.Q. Split),3300,3701,3566,
,23/10/2018,98.5,Bengal Gram (Split),2500,4031,3785,
,,,Desi (F.A.Q. Split),3601,3800,3750,
,25/10/2018,91.4,Bengal Gram (Split),3000,4080,3825,
,,,Desi (F.A.Q. Split),3511,3901,3674,
,26/10/2018,114.6,Bengal Gram (Split),3400,3950,3750,
,,,Desi (F.A.Q. Split),3000,3775,3591,
,29/10/2018,123.3,Bengal Gram (Split),2760,3980,3821,
,,,Desi (F.A.Q. Split),3155,3750,3600,
,30/10/2018,128,Bengal Gram (Split),2615,3999,3771,
,,,Desi (F.A.Q. Split),3200,3770,3675,
,31/10/2018,108,Bengal Gram (Split),3100,4002,3724,
,,,Desi (F.A.Q. Split),3080,3660,3646,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Badwaha,28/10/2018,0.4,Bengal Gram (Split),3100,3400,3400,
Hanumana,01/10/2018,210, ,NR,NR,NR,
,02/10/2018,195, ,NR,NR,NR,
,04/10/2018,102,Bengal Gram Dal,2800,3000,2900,
Maksi,20/10/2018,22.1,Bengal Gram (Split),2800,3050,2900,
,21/10/2018,0.05,Bengal Gram (Split),2800,3000,2900,
,22/10/2018,194.63,Bengal Gram (Split),2785,2975,2850,
Raghogarh,27/10/2018,0.3,Bengal Gram (Split),3350,3350,3350,
Ujjain,01/10/2018,45.4,Bengal Gram (Split),3470,4430,3903,
,,,Desi (F.A.Q. Split),3670,4161,3901,
,03/10/2018,66.1,Bengal Gram (Split),3250,4570,3991,
,,,Desi (F.A.Q. Split),3400,4000,3990,
,04/10/2018,52.8,Bengal Gram (Split),3000,4390,4029,
,,,Desi (F.A.Q. Split),3840,4095,4041,
