Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Jaisinagar,02/03/2020,0.3,Desi (F.A.Q. Split),3530,3530,3530,
,05/03/2020,10,Desi (F.A.Q. Split),3550,3650,3600,
,20/03/2020,1,Desi (F.A.Q. Split),3600,3800,3700,
Mahidpur,02/03/2020,332.21, ,NR,NR,NR,
,03/03/2020,160.77,Desi (F.A.Q. Split),3277,3756,3575,
,04/03/2020,354.94,Desi (F.A.Q. Split),3380,3822,3613,
,05/03/2020,178.74,Desi (F.A.Q. Split),3350,3786,3645,
,06/03/2020,266.43,Desi (F.A.Q. Split),3405,3825,3650,
,09/03/2020,104.66,Desi (F.A.Q. Split),3383,3692,3435,
,11/03/2020,52.09,Desi (F.A.Q. Split),3576,3716,3665,
,12/03/2020,195.74,Desi (F.A.Q. Split),3553,3800,3610,
,13/03/2020,275.06,Desi (F.A.Q. Split),3275,3600,3404,
,16/03/2020,10.91,Desi (F.A.Q. Split),3429,3538,3500,
,18/03/2020,253.08,Desi (F.A.Q. Split),3319,3812,3775,
,19/03/2020,385.59,Desi (F.A.Q. Split),3310,3910,3745,
,20/03/2020,342.5,Desi (F.A.Q. Split),3726,4072,3825,
Mandla,01/03/2020,1.58, ,NR,NR,NR,
,05/03/2020,1.7,Bengal Gram (Split),3500,3500,3500,
Mandsaur,02/03/2020,15, ,NR,NR,NR,
,03/03/2020,10,Bengal Gram (Split),3481,3818,3650,
,04/03/2020,10,Bengal Gram (Split),3200,3761,3490,
,05/03/2020,15,Bengal Gram (Split),3000,3786,3400,
,11/03/2020,10,Bengal Gram (Split),3300,3779,3540,
,12/03/2020,10,Bengal Gram (Split),3315,3717,3520,
,13/03/2020,15,Bengal Gram (Split),3300,3720,3510,
,16/03/2020,25,Bengal Gram (Split),3059,3663,3360,
,17/03/2020,20,Bengal Gram (Split),3531,3831,3680,
,18/03/2020,25,Bengal Gram (Split),3570,3851,3710,
,19/03/2020,25,Bengal Gram (Split),3540,3950,3750,
,20/03/2020,25,Bengal Gram (Split),3560,3891,3730,
,21/03/2020,25,Bengal Gram (Split),3502,4051,3780,
Sanawad,04/03/2020,1,Bengal Gram (Split),3205,3205,3205,
Ujjain,02/03/2020,79.9,Bengal Gram (Split),3100,4901,3851,
,03/03/2020,70.5,Bengal Gram (Split),3066,4365,3865,
,04/03/2020,82.9,Bengal Gram (Split),2970,3980,3870,
,05/03/2020,64.7,Bengal Gram (Split),3420,4020,3851,
,06/03/2020,52,Bengal Gram (Split),3366,4032,3851,
,07/03/2020,38.3,Bengal Gram (Split),3080,3995,3760,
,,,Desi (F.A.Q. Split),3460,3891,3700,
,09/03/2020,42.4,Bengal Gram (Split),3011,3800,3710,
,11/03/2020,12.6,Bengal Gram (Split),3000,3899,3715,
,,,Desi (F.A.Q. Split),3701,3701,3701,
,12/03/2020,38.4,Bengal Gram (Split),3230,3850,3750,
,13/03/2020,31.9,Bengal Gram (Split),3171,4075,3521,
,16/03/2020,44.2,Bengal Gram (Split),3160,4081,3670,
,,,Desi (F.A.Q. Split),3799,3851,3851,
,17/03/2020,29.9,Bengal Gram (Split),2350,4403,3774,
,18/03/2020,41.6,Bengal Gram (Split),2711,4036,3753,
,19/03/2020,25.8,Bengal Gram (Split),3100,4181,3750,
,20/03/2020,48.5,Bengal Gram (Split),2500,4325,3945,
,21/03/2020,1.2,Bengal Gram (Split),3802,3901,3851,
