Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Kolhapur(Laxmipuri),02/04/2018,6,Other,4900,5400,5200,
,03/04/2018,6,Other,4900,5400,5200,
Mumbai,02/04/2018,74,Other,4600,5300,5000,
,03/04/2018,100,Other,4600,5300,5000,
,04/04/2018,49,Other,4800,5500,5200,
,05/04/2018,85,Other,4800,5500,5200,
,06/04/2018,134,Other,4800,5500,5200,
,07/04/2018,65,Other,4800,5500,5200,
,09/04/2018,80,Other,4800,5500,5200,
,10/04/2018,138,Other,4800,5500,5200,
,11/04/2018,85,Other,4800,5500,5200,
,12/04/2018,82,Other,4600,5300,5000,
,13/04/2018,142,Other,4600,5300,5000,
,14/04/2018,57,Other,4600,5300,5000,
,16/04/2018,94,Other,4600,5300,5000,
,17/04/2018,124,Other,4600,5300,5000,
,18/04/2018,32,Other,4600,5300,5000,
,19/04/2018,24,Other,4500,5200,4900,
,20/04/2018,28,Other,4500,5200,4900,
,21/04/2018,80,Other,4300,5200,4900,
,23/04/2018,64,Other,4500,5200,4900,
,24/04/2018,95,Other,4500,5200,4900,
,25/04/2018,30,Other,4500,5200,4900,
,26/04/2018,97,Other,4500,5200,4900,
,27/04/2018,96,Other,4500,5200,4900,
,28/04/2018,135,Other,4400,5100,4800,
,30/04/2018,105,Other,4400,5100,4800,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Kolhapur(Laxmipuri),02/04/2018,6,Other,4900,5400,5200,
,03/04/2018,6,Other,4900,5400,5200,
Mumbai,02/04/2018,74,Other,4600,5300,5000,
,03/04/2018,100,Other,4600,5300,5000,
,04/04/2018,49,Other,4800,5500,5200,
,05/04/2018,85,Other,4800,5500,5200,
,06/04/2018,134,Other,4800,5500,5200,
,07/04/2018,65,Other,4800,5500,5200,
,09/04/2018,80,Other,4800,5500,5200,
,10/04/2018,138,Other,4800,5500,5200,
,11/04/2018,85,Other,4800,5500,5200,
,12/04/2018,82,Other,4600,5300,5000,
,13/04/2018,142,Other,4600,5300,5000,
,14/04/2018,57,Other,4600,5300,5000,
,16/04/2018,94,Other,4600,5300,5000,
,17/04/2018,124,Other,4600,5300,5000,
,18/04/2018,32,Other,4600,5300,5000,
,19/04/2018,24,Other,4500,5200,4900,
,20/04/2018,28,Other,4500,5200,4900,
,21/04/2018,80,Other,4300,5200,4900,
,23/04/2018,64,Other,4500,5200,4900,
,24/04/2018,95,Other,4500,5200,4900,
,25/04/2018,30,Other,4500,5200,4900,
,26/04/2018,97,Other,4500,5200,4900,
,27/04/2018,96,Other,4500,5200,4900,
,28/04/2018,135,Other,4400,5100,4800,
,30/04/2018,105,Other,4400,5100,4800,
