Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Mumbai,02/12/2019,74,Other,5600,6200,6000,
,03/12/2019,78,Other,5600,6200,6000,
,04/12/2019,45,Other,5600,6200,6000,
,05/12/2019,76,Other,5600,6200,6000,
,06/12/2019,59,Other,5600,6200,6000,
,07/12/2019,26,Other,5600,6200,6000,
,09/12/2019,122,Other,5600,6200,6000,
,10/12/2019,76,Other,5600,6200,6000,
,11/12/2019,12,Other,5600,6200,6000,
,12/12/2019,24,Other,5600,6200,6000,
,13/12/2019,33,Other,5600,6200,6000,
,14/12/2019,12,Other,5600,6200,6000,
,16/12/2019,68,Other,5600,6200,6000,
,17/12/2019,94,Other,5600,6200,6000,
,18/12/2019,41,Other,5600,6200,6000,
,19/12/2019,44,Other,5600,6200,6000,
,20/12/2019,93,Other,5400,6000,5800,
,21/12/2019,42,Other,5400,6000,5800,
,23/12/2019,109,Other,5400,6000,5800,
,25/12/2019,58,Other,5400,6000,5800,
,26/12/2019,51,Other,5400,6000,5800,
,27/12/2019,155,Other,5400,6000,5800,
,28/12/2019,52,Other,5400,6000,5800,
,30/12/2019,26,Other,5400,6000,5800,
,31/12/2019,61,Other,5400,6000,5800,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Mumbai,02/12/2019,74,Other,5600,6200,6000,
,03/12/2019,78,Other,5600,6200,6000,
,04/12/2019,45,Other,5600,6200,6000,
,05/12/2019,76,Other,5600,6200,6000,
,06/12/2019,59,Other,5600,6200,6000,
,07/12/2019,26,Other,5600,6200,6000,
,09/12/2019,122,Other,5600,6200,6000,
,10/12/2019,76,Other,5600,6200,6000,
,11/12/2019,12,Other,5600,6200,6000,
,12/12/2019,24,Other,5600,6200,6000,
,13/12/2019,33,Other,5600,6200,6000,
,14/12/2019,12,Other,5600,6200,6000,
,16/12/2019,68,Other,5600,6200,6000,
,17/12/2019,94,Other,5600,6200,6000,
,18/12/2019,41,Other,5600,6200,6000,
,19/12/2019,44,Other,5600,6200,6000,
,20/12/2019,93,Other,5400,6000,5800,
,21/12/2019,42,Other,5400,6000,5800,
,23/12/2019,109,Other,5400,6000,5800,
,25/12/2019,58,Other,5400,6000,5800,
,26/12/2019,51,Other,5400,6000,5800,
,27/12/2019,155,Other,5400,6000,5800,
,28/12/2019,52,Other,5400,6000,5800,
,30/12/2019,26,Other,5400,6000,5800,
,31/12/2019,61,Other,5400,6000,5800,
