Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Mumbai,01/07/2019,10,Other,5600,6000,5800,
,02/07/2019,74,Other,5600,6000,5800,
,03/07/2019,68,Other,5600,6000,5800,
,04/07/2019,21,Other,5600,6000,5800,
,05/07/2019,55,Other,5600,6000,5800,
,06/07/2019,75,Other,5600,6000,5800,
,08/07/2019,114,Other,5600,6000,5800,
,09/07/2019,72,Other,5600,6000,5800,
,10/07/2019,116,Other,5600,6000,5800,
,11/07/2019,101,Other,5600,6000,5800,
,13/07/2019,92,Other,5600,6000,5800,
,15/07/2019,82,Other,5600,6000,5800,
,17/07/2019,38,Other,5600,6000,5800,
,18/07/2019,70,Other,5600,6000,5800,
,19/07/2019,33,Other,5600,6000,5800,
,20/07/2019,21,Other,5600,6000,5800,
,22/07/2019,38,Other,5400,5800,5600,
,23/07/2019,62,Other,5400,5800,5600,
,24/07/2019,25,Other,5400,5800,5600,
,25/07/2019,53,Other,5400,5800,5600,
,26/07/2019,18,Other,5400,5800,5600,
,27/07/2019,60,Other,5400,5800,5600,
,29/07/2019,130,Other,5400,5800,5600,
,30/07/2019,62,Other,5400,5800,5600,
,31/07/2019,37,Other,5400,5800,5600,
