Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Mumbai,02/05/2019,170,Other,5500,6500,5700,
,03/05/2019,115,Other,5500,6500,5700,
,04/05/2019,55,Other,5500,6500,5700,
,06/05/2019,124,Other,5500,6500,5700,
,07/05/2019,174,Other,5500,6500,5700,
,08/05/2019,79,Other,5500,6500,6000,
,09/05/2019,126,Other,5500,6500,5700,
,10/05/2019,109,Other,5500,6500,5700,
,11/05/2019,152,Other,5500,6500,5700,
,13/05/2019,108,Other,5700,6300,6000,
,14/05/2019,246,Other,5700,6300,6000,
,15/05/2019,24,Other,5700,6300,6000,
,16/05/2019,17,Other,5700,6300,6000,
,21/05/2019,38,Other,5700,6300,6000,
,22/05/2019,54,Other,5700,6300,6000,
,23/05/2019,28,Other,5700,6300,6000,
,24/05/2019,30,Other,5700,6300,6000,
,25/05/2019,50,Other,5700,6300,6000,
,27/05/2019,56,Other,5700,6300,6000,
,28/05/2019,56,Other,5700,6300,6000,
,29/05/2019,106,Other,5700,6300,6000,
,31/05/2019,43,Other,5700,6300,6000,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Mumbai,02/05/2019,170,Other,5500,6500,5700,
,03/05/2019,115,Other,5500,6500,5700,
,04/05/2019,55,Other,5500,6500,5700,
,06/05/2019,124,Other,5500,6500,5700,
,07/05/2019,174,Other,5500,6500,5700,
,08/05/2019,79,Other,5500,6500,6000,
,09/05/2019,126,Other,5500,6500,5700,
,10/05/2019,109,Other,5500,6500,5700,
,11/05/2019,152,Other,5500,6500,5700,
,13/05/2019,108,Other,5700,6300,6000,
,14/05/2019,246,Other,5700,6300,6000,
,15/05/2019,24,Other,5700,6300,6000,
,16/05/2019,17,Other,5700,6300,6000,
,21/05/2019,38,Other,5700,6300,6000,
,22/05/2019,54,Other,5700,6300,6000,
,23/05/2019,28,Other,5700,6300,6000,
,24/05/2019,30,Other,5700,6300,6000,
,25/05/2019,50,Other,5700,6300,6000,
,27/05/2019,56,Other,5700,6300,6000,
,28/05/2019,56,Other,5700,6300,6000,
,29/05/2019,106,Other,5700,6300,6000,
,31/05/2019,43,Other,5700,6300,6000,
