Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Mumbai,01/11/2019,55,Other,5700,6200,5900,
,02/11/2019,33,Other,5700,6200,5900,
,04/11/2019,31,Other,5700,6200,5900,
,05/11/2019,76,Other,5700,6200,5900,
,06/11/2019,33,Other,5700,6200,5900,
,07/11/2019,12,Other,5700,6200,5900,
,08/11/2019,49,Other,5700,6200,5900,
,09/11/2019,37,Other,5700,6200,5900,
,11/11/2019,8,Other,5800,6400,6000,
,12/11/2019,8,Other,5800,6400,6000,
,13/11/2019,21,Other,5800,6400,6000,
,14/11/2019,27,Other,5800,6400,6000,
,15/11/2019,17,Other,5800,6400,6000,
,16/11/2019,49,Other,5800,6400,6000,
,18/11/2019,40,Other,5800,6400,6000,
,19/11/2019,52,Other,5800,6400,6000,
,20/11/2019,50,Other,5800,6400,6000,
,21/11/2019,2,Other,5800,6400,6000,
,22/11/2019,30,Other,5600,6200,6000,
,23/11/2019,87,Other,5600,6200,6000,
,25/11/2019,40,Other,5600,6200,6000,
,26/11/2019,99,Other,5600,6200,6000,
,27/11/2019,25,Other,5600,6200,6000,
,28/11/2019,73,Other,5600,6200,6000,
,29/11/2019,14,Other,5600,6200,6000,
,30/11/2019,59,Other,5600,6200,6000,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Mumbai,01/11/2019,55,Other,5700,6200,5900,
,02/11/2019,33,Other,5700,6200,5900,
,04/11/2019,31,Other,5700,6200,5900,
,05/11/2019,76,Other,5700,6200,5900,
,06/11/2019,33,Other,5700,6200,5900,
,07/11/2019,12,Other,5700,6200,5900,
,08/11/2019,49,Other,5700,6200,5900,
,09/11/2019,37,Other,5700,6200,5900,
,11/11/2019,8,Other,5800,6400,6000,
,12/11/2019,8,Other,5800,6400,6000,
,13/11/2019,21,Other,5800,6400,6000,
,14/11/2019,27,Other,5800,6400,6000,
,15/11/2019,17,Other,5800,6400,6000,
,16/11/2019,49,Other,5800,6400,6000,
,18/11/2019,40,Other,5800,6400,6000,
,19/11/2019,52,Other,5800,6400,6000,
,20/11/2019,50,Other,5800,6400,6000,
,21/11/2019,2,Other,5800,6400,6000,
,22/11/2019,30,Other,5600,6200,6000,
,23/11/2019,87,Other,5600,6200,6000,
,25/11/2019,40,Other,5600,6200,6000,
,26/11/2019,99,Other,5600,6200,6000,
,27/11/2019,25,Other,5600,6200,6000,
,28/11/2019,73,Other,5600,6200,6000,
,29/11/2019,14,Other,5600,6200,6000,
,30/11/2019,59,Other,5600,6200,6000,
