Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bikaner (Grain),03/02/2017,9.2,Bengal Gram (Split),5450,5850,5650,
,09/02/2017,0.4,Bengal Gram (Split),4686,4686,4686,
,10/02/2017,0.2,Bengal Gram (Split),4620,4620,4620,
,13/02/2017,0.2,Bengal Gram (Split),4800,4800,4800,
,15/02/2017,0.2,Bengal Gram (Split),4700,4700,4700,
,16/02/2017,1.3,Bengal Gram (Split),4750,5000,4875,
,18/02/2017,0.2,Bengal Gram (Split),4800,4800,4800,
,20/02/2017,0.1,Bengal Gram (Split),4000,4000,4000,
,21/02/2017,0.4,Bengal Gram (Split),4800,4800,4800,
,22/02/2017,0.2,Bengal Gram (Split),4700,4700,4700,
