Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bikaner (Grain),02/01/2017,0.9,Bengal Gram (Split),7301,7301,7301,
,03/01/2017,0.1,Bengal Gram (Split),7100,7100,7100,
,04/01/2017,2,Bengal Gram (Split),6800,7000,6900,
,05/01/2017,0.9,Bengal Gram (Split),7000,7100,7050,
,06/01/2017,0.5,Bengal Gram (Split),6800,6800,6800,
,09/01/2017,1.5,Bengal Gram (Split),6500,6600,6550,
,10/01/2017,1.1,Bengal Gram (Split),6300,6500,6400,
,12/01/2017,2.4,Bengal Gram (Split),6401,6600,6500,
,13/01/2017,0.2,Bengal Gram (Split),6100,6100,6100,
,14/01/2017,0.2,Bengal Gram (Split),6501,6501,6501,
,16/01/2017,0.2,Bengal Gram (Split),6101,6101,6101,
,17/01/2017,0.2,Bengal Gram (Split),6301,6301,6301,
,18/01/2017,0.8,Bengal Gram (Split),6301,6391,6346,
,19/01/2017,0.3,Bengal Gram (Split),6401,6401,6401,
,20/01/2017,0.7,Bengal Gram (Split),6300,6475,6387,
,23/01/2017,2.2,Bengal Gram (Split),6350,6372,6361,
,24/01/2017,1.4,Bengal Gram (Split),6201,6201,6201,
,25/01/2017,0.8,Bengal Gram (Split),6201,6201,6201,
,27/01/2017,0.4,Bengal Gram (Split),5650,5650,5650,
,28/01/2017,0.9,Bengal Gram (Split),5525,6001,5763,
,30/01/2017,7.5,Bengal Gram (Split),5950,6131,6040,
,31/01/2017,0.4,Bengal Gram (Split),5801,5901,5851,
