Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Pipar City,06/11/2018,4.9, ,NR,NR,NR,
,09/11/2018,4.6, ,NR,NR,NR,
,16/11/2018,5.4,Bengal Gram (Split),4850,5300,5250,
,17/11/2018,7.2,Bengal Gram (Split),4850,5350,5250,
Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Pipar City,06/11/2018,4.9, ,NR,NR,NR,
,09/11/2018,4.6, ,NR,NR,NR,
,16/11/2018,5.4,Bengal Gram (Split),4850,5300,5250,
,17/11/2018,7.2,Bengal Gram (Split),4850,5350,5250,
