Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bareilly,02/02/2017,43.6,Bengal Gram Dal,NR,NR,9450,
,03/02/2017,108,Bengal Gram Dal,NR,NR,9450,
,04/02/2017,7,Bengal Gram Dal,NR,NR,9500,
,06/02/2017,92.5,Bengal Gram Dal,NR,NR,9300,
,07/02/2017,2,Bengal Gram Dal,NR,NR,8750,
,08/02/2017,71,Bengal Gram Dal,NR,NR,9250,
,09/02/2017,53,Bengal Gram Dal,NR,NR,9300,
,10/02/2017,98,Bengal Gram Dal,NR,NR,9200,
,17/02/2017,85,Bengal Gram Dal,NR,NR,9000,
,20/02/2017,16,Bengal Gram Dal,NR,NR,9000,
,23/02/2017,51,Bengal Gram Dal,NR,NR,8400,
,28/02/2017,24,Bengal Gram Dal,NR,NR,8000,
Jaunpur,06/02/2017,3.5, ,NR,NR,NR,
