Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bareilly,02/05/2017,46,Bengal Gram Dal,7000,7300,7150,
,11/05/2017,24,Bengal Gram Dal,7200,7500,7350,
,18/05/2017,23.5,Bengal Gram Dal,7250,7600,7400,
,20/05/2017,26,Bengal Gram Dal,7250,7500,7325,
,22/05/2017,93.5,Bengal Gram Dal,6400,6625,6500,
,23/05/2017,28.5,Bengal Gram Dal,7275,7450,7350,
,26/05/2017,21,Bengal Gram Dal,7250,7500,7325,
Buland Shahr,01/05/2017,3.5,Bengal Gram (Split),6600,7000,6800,
,02/05/2017,3,Bengal Gram (Split),6600,7000,6850,
,03/05/2017,2,Bengal Gram (Split),6600,7000,6820,
,04/05/2017,2.5,Bengal Gram (Split),6600,7000,6810,
,05/05/2017,1.5,Bengal Gram (Split),6600,7000,6830,
,06/05/2017,1.6,Bengal Gram (Split),6600,7000,6840,
,09/05/2017,2.5, ,NR,NR,NR,
,10/05/2017,2.8,Bengal Gram (Split),6500,7000,6850,
,11/05/2017,2.5,Bengal Gram (Split),6500,7000,6860,
,13/05/2017,1.8,Bengal Gram (Split),6500,7000,6870,
,15/05/2017,2.5,Bengal Gram (Split),6500,7000,6800,
,16/05/2017,1.5,Bengal Gram (Split),6500,7000,6820,
,17/05/2017,2,Bengal Gram (Split),6500,7000,6815,
,18/05/2017,2.5,Bengal Gram (Split),6500,7000,6800,
,19/05/2017,2,Bengal Gram (Split),6500,7000,6830,
,20/05/2017,2.5,Bengal Gram (Split),6700,7200,6950,
,22/05/2017,2.2,Bengal Gram (Split),6700,7200,6940,
,23/05/2017,2,Bengal Gram (Split),6450,6750,6530,
,24/05/2017,2,Bengal Gram (Split),6700,7200,6950,
,25/05/2017,1,Bengal Gram (Split),6700,7200,6940,
,26/05/2017,3,Bengal Gram (Split),6700,7200,6900,
,27/05/2017,2,Bengal Gram (Split),6700,7200,6900,
,29/05/2017,2.5,Bengal Gram (Split),6720,7240,6930,
,30/05/2017,2,Bengal Gram (Split),6730,7250,6950,
Dadri,01/05/2017,6, ,NR,NR,NR,
,02/05/2017,9, ,NR,NR,NR,
,05/05/2017,11, ,NR,NR,NR,
,06/05/2017,8, ,NR,NR,NR,
,08/05/2017,9, ,NR,NR,NR,
,09/05/2017,6, ,NR,NR,NR,
,11/05/2017,8, ,NR,NR,NR,
,12/05/2017,7, ,NR,NR,NR,
,14/05/2017,6, ,NR,NR,NR,
,15/05/2017,8, ,NR,NR,NR,
,16/05/2017,9, ,NR,NR,NR,
,18/05/2017,12, ,NR,NR,NR,
,19/05/2017,14, ,NR,NR,NR,
,20/05/2017,16, ,NR,NR,NR,
,22/05/2017,12, ,NR,NR,NR,
,23/05/2017,14, ,NR,NR,NR,
,25/05/2017,9, ,NR,NR,NR,
,27/05/2017,11, ,NR,NR,NR,
,29/05/2017,8, ,NR,NR,NR,
Jahangirabad,02/05/2017,1.5,Bengal Gram Dal,NR,NR,7500,
,11/05/2017,1,Bengal Gram Dal,NR,NR,7050,
,18/05/2017,1,Bengal Gram Dal,7250,7350,7300,
,25/05/2017,1,Bengal Gram Dal,7250,7360,7310,
Lucknow,02/05/2017,27.5, ,NR,NR,NR,
,03/05/2017,26.5, ,NR,NR,NR,
,06/05/2017,30, ,NR,NR,NR,
,15/05/2017,24.5, ,NR,NR,NR,
,16/05/2017,24, ,NR,NR,NR,
,17/05/2017,25, ,NR,NR,NR,
,18/05/2017,19, ,NR,NR,NR,
,19/05/2017,21.5, ,NR,NR,NR,
,22/05/2017,47, ,NR,NR,NR,
,23/05/2017,19.5, ,NR,NR,NR,
,24/05/2017,21, ,NR,NR,NR,
,26/05/2017,20, ,NR,NR,NR,
,27/05/2017,22, ,NR,NR,NR,
,30/05/2017,26.5, ,NR,NR,NR,
,31/05/2017,26, ,NR,NR,NR,
Saharanpur,01/05/2017,13,Bengal Gram Dal,6770,7530,7260,
,02/05/2017,7,Bengal Gram Dal,NR,NR,7260,
,04/05/2017,5.5,Bengal Gram Dal,NR,NR,7260,
,05/05/2017,6,Bengal Gram Dal,NR,NR,7250,
,06/05/2017,9.5,Bengal Gram Dal,NR,NR,7260,
,08/05/2017,8,Bengal Gram Dal,NR,NR,7250,
,09/05/2017,7,Bengal Gram Dal,NR,NR,7250,
,11/05/2017,13,Bengal Gram Dal,NR,NR,7300,
,12/05/2017,15,Bengal Gram Dal,NR,NR,7320,
,15/05/2017,12,Bengal Gram Dal,NR,NR,7360,
,16/05/2017,9.5,Bengal Gram Dal,NR,NR,7360,
,17/05/2017,8,Bengal Gram Dal,NR,NR,7350,
,18/05/2017,6.5,Bengal Gram Dal,NR,NR,7350,
,19/05/2017,12,Bengal Gram Dal,NR,NR,7320,
,20/05/2017,10,Bengal Gram Dal,NR,NR,7320,
,22/05/2017,12.5,Bengal Gram Dal,NR,NR,7300,
,23/05/2017,12,Bengal Gram Dal,NR,NR,7290,
,24/05/2017,11,Bengal Gram Dal,NR,NR,7280,
,25/05/2017,8.5,Bengal Gram Dal,NR,NR,7275,
,26/05/2017,8,Bengal Gram Dal,NR,NR,7260,
,27/05/2017,15,Bengal Gram Dal,NR,NR,7240,
,29/05/2017,11,Bengal Gram Dal,NR,NR,7250,
,30/05/2017,9,Bengal Gram Dal,NR,NR,7250,
,31/05/2017,9.5,Bengal Gram Dal,NR,NR,7250,
