Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Ajuha,05/03/2018,2.8,Bengal Gram Dal,5850,5950,5900,
,06/03/2018,4,Bengal Gram Dal,5860,5940,5900,
,07/03/2018,1.6,Bengal Gram Dal,5900,6000,5950,
,08/03/2018,1.6,Bengal Gram Dal,5950,6050,6000,
,10/03/2018,1.8,Bengal Gram Dal,5960,6040,6000,
,11/03/2018,1.7,Bengal Gram Dal,5950,6050,6000,
,12/03/2018,1.8,Bengal Gram Dal,5960,6040,6000,
,13/03/2018,2.2,Bengal Gram Dal,5950,6050,6000,
,14/03/2018,1.4,Bengal Gram Dal,5900,6000,5950,
,15/03/2018,2.1,Bengal Gram Dal,5900,6000,5950,
,17/03/2018,1.5,Bengal Gram Dal,5750,5850,5800,
,18/03/2018,1.8,Bengal Gram Dal,5760,5840,5800,
,19/03/2018,1.8,Bengal Gram Dal,5800,5900,5850,
,20/03/2018,2.2,Bengal Gram Dal,5600,5800,5700,
,22/03/2018,2.5,Bengal Gram Dal,5700,5800,5750,
,24/03/2018,2.8,Bengal Gram Dal,5750,5850,5800,
,25/03/2018,2,Bengal Gram Dal,5700,5900,5800,
,27/03/2018,1.9,Bengal Gram Dal,5700,5900,5800,
,28/03/2018,1.8,Bengal Gram Dal,5800,5900,5850,
,29/03/2018,2,Bengal Gram Dal,5800,5900,5850,
,31/03/2018,1.9,Bengal Gram Dal,5750,5850,5800,
Bharthna,01/03/2018,1.8,Bengal Gram Dal,5600,6000,5800,
,03/03/2018,1.2,Bengal Gram Dal,5600,6050,5850,
,05/03/2018,1,Bengal Gram Dal,5600,6100,5850,
,06/03/2018,1.2,Bengal Gram Dal,5580,6000,5800,
,07/03/2018,1.3,Bengal Gram Dal,5580,6040,5800,
,08/03/2018,1.2,Bengal Gram Dal,5620,6000,5800,
,09/03/2018,1.4,Bengal Gram Dal,5600,6000,5800,
,10/03/2018,1.2,Bengal Gram Dal,5600,5970,5800,
,12/03/2018,1,Bengal Gram Dal,5600,6000,5800,
,13/03/2018,1.2,Bengal Gram Dal,5600,6000,5800,
,14/03/2018,1.4,Bengal Gram Dal,5600,5900,5750,
,15/03/2018,1.3,Bengal Gram Dal,5600,5920,5750,
,16/03/2018,1.2,Bengal Gram Dal,5540,5950,5750,
,17/03/2018,1.2,Bengal Gram Dal,5580,5920,5750,
,19/03/2018,1.3,Bengal Gram Dal,5540,5950,5750,
,20/03/2018,1.4,Bengal Gram Dal,5520,5960,5750,
,21/03/2018,1.5,Bengal Gram Dal,5480,5950,5750,
,22/03/2018,1.3,Bengal Gram Dal,5540,5950,5750,
,23/03/2018,1.2,Bengal Gram Dal,5580,5930,5750,
,24/03/2018,1.4,Bengal Gram Dal,5540,5930,5725,
,26/03/2018,1.2,Bengal Gram Dal,5600,6000,5800,
,27/03/2018,1.4,Bengal Gram Dal,5600,6000,5800,
,28/03/2018,1.5,Bengal Gram Dal,5500,5900,5700,
,29/03/2018,1.4,Bengal Gram Dal,5500,5900,5700,
,30/03/2018,1.5,Bengal Gram Dal,5500,5900,5700,
,31/03/2018,1.4,Bengal Gram Dal,5520,5900,5700,
Buland Shahr,03/03/2018,1.5,Bengal Gram (Split),5100,5500,5460,
,05/03/2018,1.5,Bengal Gram (Split),5100,5500,5450,
,06/03/2018,1.4,Bengal Gram (Split),5100,5500,5460,
,07/03/2018,1.2,Bengal Gram (Split),5100,5500,5400,
,08/03/2018,1.5,Bengal Gram (Split),5100,5500,5400,
,09/03/2018,1.4,Bengal Gram (Split),5100,5500,5450,
,10/03/2018,1.4,Bengal Gram (Split),5100,5500,5500,
,12/03/2018,1.2,Bengal Gram (Split),5100,5500,5480,
,13/03/2018,1.4,Bengal Gram (Split),5100,5500,5490,
,14/03/2018,1.2,Bengal Gram (Split),5100,5500,5400,
,15/03/2018,1.6,Bengal Gram (Split),5100,5500,5425,
,16/03/2018,1.3,Bengal Gram (Split),5100,5500,5300,
,17/03/2018,1.4,Bengal Gram (Split),5100,5500,5300,
,19/03/2018,1.5,Bengal Gram (Split),5100,5500,5350,
,20/03/2018,1.7,Bengal Gram (Split),5100,5500,5350,
,21/03/2018,1.8,Bengal Gram (Split),5100,5400,5200,
,22/03/2018,1.5,Bengal Gram (Split),5100,5400,5250,
,23/03/2018,1,Bengal Gram (Split),5100,5400,5230,
,24/03/2018,1.2,Bengal Gram (Split),5100,5400,5150,
,26/03/2018,1.5,Bengal Gram (Split),5100,5400,5160,
,27/03/2018,1.6,Bengal Gram (Split),5100,5400,5150,
,28/03/2018,1,Bengal Gram (Split),5150,5500,5200,
,29/03/2018,1.3,Bengal Gram (Split),5100,5400,5140,
,30/03/2018,1.2,Bengal Gram (Split),5100,5400,5150,
,31/03/2018,1.4,Bengal Gram (Split),5100,5400,5150,
Chhibramau(Kannuj),02/03/2018,1,Bengal Gram Dal,6000,6200,6040,
,03/03/2018,1,Bengal Gram Dal,6000,6100,6050,
,04/03/2018,1,Bengal Gram Dal,6100,6300,6200,
,05/03/2018,1,Bengal Gram Dal,6000,6170,6150,
,06/03/2018,1,Bengal Gram Dal,6000,6200,6100,
,07/03/2018,1,Bengal Gram Dal,6000,6300,6100,
,09/03/2018,1,Bengal Gram Dal,6000,6300,6150,
,10/03/2018,1,Bengal Gram Dal,6030,6100,6050,
,11/03/2018,1,Bengal Gram Dal,6000,6120,6040,
,12/03/2018,1,Bengal Gram Dal,6000,6120,6100,
,13/03/2018,1,Bengal Gram Dal,6000,6300,6100,
,14/03/2018,1,Bengal Gram Dal,6000,6300,6200,
,16/03/2018,1.2,Bengal Gram Dal,6000,6200,6150,
,17/03/2018,1,Bengal Gram Dal,6000,6200,6100,
,18/03/2018,1.2,Bengal Gram Dal,6000,6200,6120,
,19/03/2018,1.2,Bengal Gram Dal,6100,6200,6120,
,20/03/2018,1.2,Bengal Gram Dal,6000,6200,6100,
,21/03/2018,1.2,Bengal Gram Dal,6000,6300,6200,
,23/03/2018,1,Bengal Gram Dal,6100,6300,6200,
,24/03/2018,1.2,Bengal Gram Dal,6000,6200,6100,
,25/03/2018,1.2,Bengal Gram Dal,6100,6300,6200,
,26/03/2018,1.2,Bengal Gram Dal,6000,6200,6100,
,27/03/2018,1.2,Bengal Gram Dal,6000,6200,6100,
,28/03/2018,1,Bengal Gram Dal,6000,6100,6050,
,30/03/2018,1.5,Bengal Gram Dal,5000,5100,5040,
,31/03/2018,1.2,Bengal Gram Dal,6000,6200,6100,
Dadri,01/03/2018,6,Bengal Gram Dal,5000,5300,5170,
,03/03/2018,5,Bengal Gram Dal,5050,5350,5200,
,05/03/2018,6,Bengal Gram Dal,5100,5400,5250,
,06/03/2018,5,Bengal Gram Dal,5150,5400,5280,
,08/03/2018,6,Bengal Gram Dal,5150,5450,5300,
,09/03/2018,5,Bengal Gram Dal,5200,5500,5350,
,11/03/2018,6,Bengal Gram Dal,5250,5500,5400,
,12/03/2018,5,Bengal Gram Dal,5250,5550,5420,
,13/03/2018,8,Bengal Gram Dal,5250,5550,5400,
,15/03/2018,9,Bengal Gram Dal,5200,5550,5380,
,16/03/2018,12,Bengal Gram Dal,5150,5450,5320,
,18/03/2018,9,Bengal Gram Dal,5100,5400,5280,
,20/03/2018,11,Bengal Gram Dal,5000,5350,5200,
,22/03/2018,12,Bengal Gram Dal,4900,5200,5050,
,23/03/2018,13,Bengal Gram Dal,4700,5000,4850,
,25/03/2018,11,Bengal Gram Dal,4650,5000,4800,
,26/03/2018,8,Bengal Gram Dal,4650,5000,4820,
,27/03/2018,6,Bengal Gram Dal,4700,5000,4850,
,29/03/2018,9,Bengal Gram Dal,4700,5000,4820,
,30/03/2018,12,Bengal Gram Dal,4650,4950,4800,
,31/03/2018,8,Bengal Gram Dal,4650,4950,4800,
Faizabad,03/03/2018,3.5,Bengal Gram Dal,5150,5300,5200,
,04/03/2018,3.1,Bengal Gram Dal,5350,5500,5400,
,05/03/2018,3.2,Bengal Gram Dal,5350,5500,5400,
,06/03/2018,2.8,Bengal Gram Dal,5450,5550,5500,
,07/03/2018,2.5,Bengal Gram Dal,5450,5550,5500,
,09/03/2018,3,Bengal Gram Dal,5450,5550,5500,
,10/03/2018,2.8,Bengal Gram Dal,5450,5550,5500,
,11/03/2018,3,Bengal Gram Dal,5450,5550,5500,
,12/03/2018,3.2,Bengal Gram Dal,5450,5550,5500,
,13/03/2018,3.5,Bengal Gram Dal,5450,5550,5500,
,14/03/2018,3,Bengal Gram Dal,5450,5600,5500,
,16/03/2018,2.5,Bengal Gram Dal,5450,5550,5500,
,17/03/2018,2,Bengal Gram Dal,5450,5550,5500,
,18/03/2018,2.2,Bengal Gram Dal,5400,5500,5450,
,19/03/2018,2.5,Bengal Gram Dal,5400,5500,5450,
,20/03/2018,3,Bengal Gram Dal,5400,5500,5450,
,21/03/2018,3.2,Bengal Gram Dal,5400,5500,5450,
,23/03/2018,4,Bengal Gram Dal,5100,5250,5200,
,24/03/2018,4.5,Bengal Gram Dal,4950,5100,5000,
,25/03/2018,4,Bengal Gram Dal,5150,5300,5200,
,26/03/2018,4.2,Bengal Gram Dal,5150,5300,5200,
,27/03/2018,3.8,Bengal Gram Dal,5300,5450,5400,
,28/03/2018,3,Bengal Gram Dal,5300,5450,5400,
,30/03/2018,3.2,Bengal Gram Dal,5200,5400,5300,
,31/03/2018,3,Bengal Gram Dal,5200,5400,5300,
Fatehpur,17/03/2018,1.2,Bengal Gram Dal,5060,5200,5150,
,18/03/2018,1.3,Bengal Gram Dal,5000,5200,5130,
,21/03/2018,1,Bengal Gram Dal,5000,5100,5050,
,25/03/2018,1.3,Bengal Gram Dal,4900,5050,4970,
,30/03/2018,1,Bengal Gram Dal,4800,4900,4850,
Gorakhpur,01/03/2018,120,Bengal Gram (Split),4330,5410,5370,
,04/03/2018,85,Bengal Gram (Split),5330,5440,5380,
,05/03/2018,90,Bengal Gram (Split),5300,5400,5350,
,07/03/2018,96,Bengal Gram (Split),5250,5340,5300,
,08/03/2018,100,Bengal Gram (Split),5210,5320,5275,
,09/03/2018,75,Bengal Gram (Split),5250,5330,5280,
,10/03/2018,85,Bengal Gram (Split),5250,5300,5270,
,12/03/2018,80,Bengal Gram (Split),5250,5300,5275,
,14/03/2018,95,Bengal Gram (Split),5210,5300,5265,
,15/03/2018,88,Bengal Gram (Split),5245,5300,5275,
,16/03/2018,85,Bengal Gram (Split),5240,5300,5270,
,17/03/2018,71,Bengal Gram (Split),5215,5280,5250,
,18/03/2018,70,Bengal Gram (Split),5215,5300,5260,
,19/03/2018,76,Bengal Gram (Split),5240,5290,5250,
,21/03/2018,79,Bengal Gram (Split),5170,5280,5225,
,22/03/2018,65,Bengal Gram (Split),5250,5360,5300,
,23/03/2018,63,Bengal Gram (Split),5250,5375,5310,
,24/03/2018,70,Bengal Gram (Split),5240,5350,5290,
,25/03/2018,74.5,Bengal Gram (Split),5250,5360,5300,
,26/03/2018,70,Bengal Gram (Split),5260,5380,5315,
,29/03/2018,70,Bengal Gram (Split),5250,5355,5300,
,30/03/2018,68,Bengal Gram (Split),5275,5385,5325,
,31/03/2018,80,Bengal Gram (Split),5270,5380,5320,
Jahangirabad,04/03/2018,1,Bengal Gram Dal,5400,5500,5460,
,08/03/2018,1,Bengal Gram Dal,5300,5400,5350,
,13/03/2018,1,Bengal Gram Dal,5250,5350,5300,
,17/03/2018,10,Bengal Gram Dal,5200,5300,5250,
,20/03/2018,1,Bengal Gram Dal,5150,5250,5200,
,26/03/2018,1,Bengal Gram Dal,5000,5100,5050,
,29/03/2018,1,Bengal Gram Dal,4950,5050,5000,
Kayamganj,01/03/2018,1,Bengal Gram Dal,5675,5725,5700,
,03/03/2018,1.5,Bengal Gram Dal,5650,5700,5675,
,05/03/2018,1.2,Bengal Gram Dal,5675,5725,5700,
,19/03/2018,1.5,Bengal Gram Dal,5600,5680,5630,
,20/03/2018,1.8,Bengal Gram Dal,5500,5575,5550,
,21/03/2018,1.2,Bengal Gram Dal,5550,5600,5575,
,22/03/2018,1.5,Bengal Gram Dal,5500,5550,5525,
,23/03/2018,1.2,Bengal Gram Dal,5500,5550,5525,
,24/03/2018,1,Bengal Gram Dal,5500,5575,5550,
,26/03/2018,1.5,Bengal Gram Dal,5450,5520,5470,
,27/03/2018,1.8,Bengal Gram Dal,5400,5475,5450,
,28/03/2018,2,Bengal Gram Dal,5350,5400,5375,
,29/03/2018,1.5,Bengal Gram Dal,5325,5375,5350,
,30/03/2018,1.2,Bengal Gram Dal,5325,5375,5350,
,31/03/2018,1,Bengal Gram Dal,5350,5400,5375,
Pratapgarh,01/03/2018,0.5,Bengal Gram Dal,6900,6920,6910,
,02/03/2018,0.5,Bengal Gram Dal,6900,6920,6910,
Pukhrayan,01/03/2018,1,Bengal Gram (Split),5100,5200,5150,
,03/03/2018,1,Bengal Gram (Split),5100,5200,5140,
,04/03/2018,1,Bengal Gram (Split),5100,5200,5150,
,06/03/2018,1,Bengal Gram (Split),5100,5300,5200,
,07/03/2018,1,Bengal Gram (Split),5200,5300,5220,
,08/03/2018,1,Bengal Gram (Split),5200,5300,5225,
,09/03/2018,1,Bengal Gram (Split),5200,5300,5225,
,10/03/2018,1,Bengal Gram (Split),5200,5300,5220,
,11/03/2018,1,Bengal Gram (Split),5200,5300,5250,
,13/03/2018,1.5,Bengal Gram (Split),5100,5300,5200,
,14/03/2018,1,Bengal Gram (Split),5000,5200,5100,
,15/03/2018,1,Bengal Gram (Split),5100,5300,5200,
,16/03/2018,1,Bengal Gram (Split),5100,5200,5150,
,17/03/2018,1,Bengal Gram (Split),5000,5200,5100,
,18/03/2018,1,Bengal Gram (Split),5100,5200,5150,
,20/03/2018,1,Bengal Gram (Split),5100,5200,5180,
,21/03/2018,1,Bengal Gram (Split),5100,5300,5200,
,22/03/2018,1.5,Bengal Gram (Split),5180,5260,5210,
,23/03/2018,1,Bengal Gram (Split),5150,5300,5210,
,24/03/2018,1,Bengal Gram (Split),5110,5310,5210,
,26/03/2018,1.5,Bengal Gram (Split),5100,5300,5200,
,27/03/2018,1,Bengal Gram (Split),5100,5300,5200,
,28/03/2018,0.5,Bengal Gram (Split),5000,5200,5100,
,29/03/2018,3,Bengal Gram (Split),4920,5120,5020,
,30/03/2018,2,Bengal Gram (Split),4800,5000,4900,
,31/03/2018,2,Bengal Gram (Split),4800,5000,4900,
Saharanpur,03/03/2018,6,Bengal Gram Dal,4750,5100,4975,
,05/03/2018,5,Bengal Gram Dal,4800,5100,4980,
,06/03/2018,9.5,Bengal Gram Dal,4750,5100,4950,
,07/03/2018,8,Bengal Gram Dal,4750,5180,4960,
,08/03/2018,9,Bengal Gram Dal,4750,5150,4970,
,09/03/2018,12,Bengal Gram Dal,4750,5160,4950,
,10/03/2018,9,Bengal Gram Dal,4750,5100,4950,
,12/03/2018,10,Bengal Gram Dal,4720,5100,4950,
,13/03/2018,11,Bengal Gram Dal,4700,5060,4920,
,14/03/2018,12,Bengal Gram Dal,4700,5050,4910,
,15/03/2018,11,Bengal Gram Dal,4750,5150,4900,
,16/03/2018,11,Bengal Gram Dal,4700,5000,4900,
,17/03/2018,10,Bengal Gram Dal,4700,5000,4900,
,19/03/2018,8,Bengal Gram Dal,4700,5050,4910,
,20/03/2018,7,Bengal Gram Dal,4700,5050,4910,
,21/03/2018,8,Bengal Gram Dal,4700,5000,4850,
,22/03/2018,7,Bengal Gram Dal,4620,5020,4800,
,23/03/2018,7.5,Bengal Gram Dal,4620,5025,4800,
,24/03/2018,8,Bengal Gram Dal,4600,4950,4800,
,26/03/2018,6,Bengal Gram Dal,4600,4980,4790,
,27/03/2018,5,Bengal Gram Dal,4580,5010,4790,
,28/03/2018,5.5,Bengal Gram Dal,4600,4900,4790,
,31/03/2018,8,Bengal Gram Dal,4600,4880,4780,
