Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Agra,01/11/2018,7.5,Bengal Gram Dal,5100,5300,5200,
,02/11/2018,7,Bengal Gram Dal,5100,5350,5220,
,03/11/2018,8,Bengal Gram Dal,5100,5300,5190,
,05/11/2018,7.5,Bengal Gram Dal,5250,5500,5350,
,06/11/2018,7,Bengal Gram Dal,5250,5500,5380,
,12/11/2018,8.5,Bengal Gram Dal,5200,5400,5280,
,13/11/2018,9,Bengal Gram Dal,5150,5350,5250,
,15/11/2018,7.5,Bengal Gram Dal,5100,5400,5250,
,16/11/2018,7,Bengal Gram Dal,5150,5400,5280,
,17/11/2018,6,Bengal Gram Dal,5150,5400,5280,
,19/11/2018,6.5,Bengal Gram Dal,5150,5450,5300,
,20/11/2018,6,Bengal Gram Dal,5280,5420,5350,
,21/11/2018,7.5,Bengal Gram Dal,5150,5350,5280,
,22/11/2018,6,Bengal Gram Dal,5200,5450,5360,
,26/11/2018,7,Bengal Gram Dal,5100,5350,5250,
,27/11/2018,7.5,Bengal Gram Dal,5100,5300,5180,
,28/11/2018,6,Bengal Gram Dal,5100,5400,5260,
,29/11/2018,6.5,Bengal Gram Dal,5150,5450,5300,
,30/11/2018,8,Bengal Gram Dal,5150,5380,5280,
Ajuha,01/11/2018,4, ,NR,NR,NR,
,03/11/2018,4.5,Bengal Gram Dal,5200,5300,5250,
,04/11/2018,5,Bengal Gram Dal,5200,5300,5250,
,05/11/2018,4,Bengal Gram Dal,5200,5300,5250,
,06/11/2018,4.5,Bengal Gram Dal,5200,5300,5250,
,08/11/2018,4,Bengal Gram Dal,5250,5350,5300,
,10/11/2018,4.5,Bengal Gram Dal,5250,5350,5300,
,11/11/2018,4,Bengal Gram Dal,5250,5350,5300,
,12/11/2018,3.5,Bengal Gram Dal,5300,5380,5350,
,13/11/2018,3,Bengal Gram Dal,5325,5375,5350,
,14/11/2018,4,Bengal Gram Dal,5300,5400,5350,
,15/11/2018,3,Bengal Gram Dal,5350,5450,5400,
,17/11/2018,4.5,Bengal Gram Dal,5350,5450,5400,
,18/11/2018,4,Bengal Gram Dal,5350,5450,5400,
,19/11/2018,4.5,Bengal Gram Dal,5300,5400,5350,
,20/11/2018,4,Bengal Gram Dal,5300,5400,5350,
,21/11/2018,4.5,Bengal Gram Dal,5300,5400,5350,
,22/11/2018,4,Bengal Gram Dal,5300,5400,5350,
,24/11/2018,3,Bengal Gram Dal,5350,5450,5400,
,25/11/2018,4,Bengal Gram Dal,5350,5450,5400,
,26/11/2018,4.5,Bengal Gram Dal,5350,5450,5400,
,27/11/2018,4,Bengal Gram Dal,5350,5450,5400,
,28/11/2018,4.5,Bengal Gram Dal,5350,5450,5400,
,29/11/2018,5,Bengal Gram Dal,5350,5400,5375,
Akbarpur,02/11/2018,2.8,Bengal Gram Dal,5630,5720,5680,
,09/11/2018,3,Bengal Gram Dal,5600,5700,5650,
,16/11/2018,3.5,Bengal Gram Dal,5650,5750,5700,
,23/11/2018,4,Bengal Gram Dal,5850,5950,5900,
,30/11/2018,4.2,Bengal Gram Dal,6050,6150,6100,
Aligarh,01/11/2018,4,Bengal Gram Dal,5100,5300,5200,
,02/11/2018,4, ,NR,NR,NR,
,03/11/2018,4,Bengal Gram Dal,5200,5400,5300,
,05/11/2018,4,Bengal Gram Dal,5200,5400,5300,
,06/11/2018,4,Bengal Gram Dal,5200,5400,5300,
,12/11/2018,4,Bengal Gram Dal,5300,5500,5400,
,13/11/2018,4,Bengal Gram Dal,5200,5400,5300,
,14/11/2018,4,Bengal Gram Dal,5250,5350,5300,
,15/11/2018,4,Bengal Gram Dal,5200,5400,5300,
,16/11/2018,4,Bengal Gram Dal,5200,5400,5300,
,17/11/2018,4,Bengal Gram Dal,5200,5400,5300,
,19/11/2018,4,Bengal Gram Dal,5200,5400,5300,
,20/11/2018,4,Bengal Gram Dal,5150,5350,5250,
,21/11/2018,4,Bengal Gram Dal,5150,5350,5250,
,22/11/2018,4,Bengal Gram Dal,5150,5350,5250,
,23/11/2018,4,Bengal Gram Dal,5100,5300,5200,
,24/11/2018,4,Bengal Gram Dal,5100,5300,5200,
,26/11/2018,4,Bengal Gram Dal,5100,5300,5200,
,27/11/2018,4,Bengal Gram Dal,5100,5300,5200,
,28/11/2018,4,Bengal Gram Dal,5150,5350,5250,
